,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance
Region,Spain,Estonia,Micronesia,Ghana,Equatorial Guinea,Guatemala,Hong Kong SAR (China),Honduras,Haiti,Iceland,Israel,Italy,Cambodia,Saint Kitts and Nevis,Laos,Lebanon,Liechtenstein,Lithuania,Luxembourg,Latvia,Maldives,Mali,Malta,Mongolia,Mauritius,Malawi,Niger,Nigeria,Nicaragua,Norway
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,359204167,359204177,359204257,359204297,359204337,359204377,359204417,359204427,359204457,359204537,359204547,359204557,359204627,359204647,359204697,359204707,359204777,359204827,359204837,359204847,359204917,359204977,359204987,359205027,359205067,359205077,359205127,359205137,359205147,359205177
SR Code,SR6395532,SR5305847,SR103192267,SR5260092,SR103196767,SR5261063,SR6002889,SR5265011,SR103194377,SR5417333,SR5305715,SR5294121,SR6002929,SR103194487,SR5634016,SR5262823,SR146675047,SR7114547,SR5301359,SR5300584,SR103191647,SR103198297,SR5304695,SR5275050,SR5249691,SR5438426,SR103198777,SR7551856,SR5300006,SR5417819
Trade Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
