,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance
Region,New Zealand,Panama,Peru,Poland,Portugal,Solomon Islands,Sierra Leone,El Salvador,Somalia,Suriname,Sweden,Eswatini,Seychelles,Chad,Togo,Tonga,Tunisia,Tanzania,Vietnam,Vanuatu,South Africa,"Congo, Democratic Republic of",Zambia,Zimbabwe,Oman,Qatar,India,United Kingdom,Thailand,Philippines
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,359205197,359205257,359205267,359205307,359205337,359205467,359205477,359205487,359205507,359205577,359205607,359205617,359205637,359205667,359205677,359205727,359205747,359205777,359205877,359205887,359205937,359205947,359205957,359205967,359205227,359205377,359204497,359204277,359205687,359205277
SR Code,SR5303634,SR5256167,SR6590051,SR5267064,SR5304433,SR103192807,SR103199477,SR7028680,SR103199637,SR103195097,SR5439026,SR103199817,SR103199367,SR103196197,SR103199977,SR103192957,SR5303399,SR5607435,SR5255931,SR103193097,SR5276326,SR103196457,SR5433317,SR103200127,SR5302131,SR5246704,SR5297957,SR5292577,SR5302906,SR5300645
Trade Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
