Year,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Ecuador,Egypt,Estonia,Finland,France
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541072.47684055
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555658.24254698
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570502.23467513
1960,,,,227040.53190666,,,,,,,,,,,,,,,,160636.00197884,,,,,,,,,,616096.5022285
1961,,,,227093.77434155,,,,,,,,,,,,,,318999.5848499,,116830.56423291,,,,,,,,,,646778.92661913
1962,,,,239509.61436497,,,,,,,,,,,,,,341964.40938386,,110311.41876016,,,,,,,,,,691041.46876645
1963,,,,254233.36604493,,,,,,,,,,,,,,359964.68022597,,121673.49488857,,,,,,,,,,734117.92737023
1964,,,,269993.12677032,,,,,,,,,,,,,,383999.28372172,,143793.73625168,,,,,,,,,,782952.92565753
1965,,,,283535.93166544,,,,,,,,,,,,,,408802.5694516,,168166.77455203,,,,,,,,,,821015.60757552
1966,,,,291842.49098546,,,,,,,,,,,,,,436189.08798904,,186076.53603915,,,,,131288.46543956,,,,,864133.98099509
1967,,,,312833.32093811,,,,,,,,,,,,,,449837.62553792,,175339.91990215,,,,,138549.21525488,,,,,906660.01286741
1968,,,,329527.782187,,,,,,,,,,,,,,474175.98249716,,168150.98320981,,,,,146242.87353927,,,,,947381.00602151
1969,,,,350007.63266043,,,,,,,,,,,,,,499516.81444377,,196635.75975894,,,,,155762.37376052,,,,,1014734.58581141
1970,,,,374354.21496724,,,,,,,,,,,,,,513351.32350091,,234586.46138596,,,,,158249.54132933,,,,,1076721.45031841
1971,,,,388896.05499468,,,,,,,,,,,,,,541679.21210157,,251148.26555639,,,,,163004.99226259,,,,,1133968.06931835
1972,,,,397756.48353314,,,,,,,,,,,,,,571128.24322345,,260717.01447462,,,,,169410.01886056,,,,,1185125.58306712
1973,,,,415102.42513108,,,,,,,,,,,,,,611582.35974112,,280948.65480001,,,,,176343.84427502,,,,,1260316.64441498
1974,,,,421802.0981872,,,,,,,,,,,,,,635010.34188851,,287438.56873419,,,,,174364.54039812,,,,,1314520.85573445
1975,,,,432251.66551127,,,,,,,,,,,,,,648471.13677191,,312503.21192063,,,,,171824.8480971,,,,,1301903.19950533
1976,,,,448840.38136866,,,,,,,,,,,,,,687380.80419243,,307596.91148822,,,,,182004.73934651,,,,,1358623.93903227
1977,,,,455495.68572904,,,,,,,,,,,,,,711511.05017814,,330881.99769209,,,,,185408.75321961,,,,,1405690.64434153
1978,,,,464691.83739857,,,,,,,,,,,,,,739170.32692769,,368357.61991667,,,,,189536.52425688,,,,,1461616.74200052
1979,,,,486007.29830835,,,,,,,,,,,,,,770461.36155993,,396320.84282806,,,,,196869.79932522,,,,,1513504.14184227
1980,,,,499208.46424631,,,,,,,,,,,,,,780502.05184861,,427369.1923836,,,,,195918.93344347,,,,,1537399.3638126
1981,,,,520084.67506831,,,,,,,,,,,,,,803877.78485797,,449219.55816496,,,,,194613.85273061,,,,,1553834.35913334
