Year,Georgia,Germany,Ghana,Greece,Hong Kong SAR (China),Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Ivory Coast,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Luxembourg,Macau SAR (China),Malawi,Malaysia,Malta,Mauritius
1961,,,,,12088.1173975,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,13815.65741516,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,15993.48355271,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,17373.42844182,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,,19917.27857771,,,,,,,,,9525.39955597,,,,,,,,,,,,,,,,
1966,,,,,20274.75424488,,,,,,,,,10628.01260626,,,,,,,,,,,,,,,,
1967,,,,,20599.81286397,,,,65742.92658264,,,,,11116.31830526,,,,,,,,,,,,,,,,
1968,,,,,21299.66584715,,,,72918.88441781,,,,,12511.06194687,,,,,,,,,,,,,,,,
1969,,,,,23715.84610191,,,,77893.62819232,,,,,13704.67619047,,,,,,,,,,,,,,,,
1970,,,,,25899.33412114,,,,83778.20711242,,,,,15126.97653147,,,,,,,,,,,,,,,,
1971,,,,,27788.18225818,,,,89662.78603148,,,,,16557.60796762,,,,,,,,,,,,,,,,
1972,,,,,30737.02346048,,,,95972.93300232,,,,,17258.75096464,,,,,,,,,,,,,,,,
1973,,,,,34511.38921591,,,,103750.55601325,,,,,18283.74679994,,,,,,,,,,,,,,,,
1974,,,,,35344.90701378,,,,111256.12419701,,,,,19075.0283029,,,,,,,,,,,,,,,,
1975,,,,,35518.76008669,,,,117494.78536694,,,,,20649.23556545,,,,,,,,,,,,,,,,
1976,,,,,41260.13014987,,,,125813.00026017,,,,,23316.04870481,,5437.17839895,,,,,,,,,,,,,,
1977,,,,,46098.15254107,,,,136210.76887672,,,,,25022.14854195,,5888.39919422,,,,,,,,,,,,,,
1978,,,,,49906.26755204,,,,145568.7606316,,,,,27751.54348787,,6752.5417301,,,,,,,,,,,,,,
1979,,,,,55673.72667788,,,,155966.52924815,,,,,28415.96065119,,8157.3768024,,,,,,,,,,,,,,
1980,,,,,61301.30402092,,,,171563.18217296,,,,,25302.59588148,,9069.79545761,,,,,,,,,,,,,,
1981,,,,,66978.2840571,,,,185080.28137447,,,,,26188.18143796,,10627.82674856,,,,,,,,,,,,,,
1982,,,,,68954.05873059,,,,189239.38882109,,,,,26240.78071925,,11374.49739409,,,,,,,,,,5608.14412234,,,,
1983,,,,,73075.46452813,,,,197557.60371432,,,,,25217.46096227,,11122.17421043,,,,,,,,,,6170.26734556,,,,
1984,,,,,80363.86049877,,,,211074.70291583,,,,,24536.35696042,,11599.46411013,,,,,,,,,,6692.23890997,,,,
1985,,,,,80972.34625398,,,,216273.5872241,,,,,25640.64608903,,11285.34749374,,,,,,,,,,6741.26386353,,,,
1986,,,,,89924.78035357,,,,228750.90956395,,,,,26476.1464817,,11906.50022903,,,,,,,,,,7192.47090221,,,,
1987,,,,,101973.37559657,,,,240188.45504215,,,,,26398.52926671,,12183.28331315,,,,,,,,,,8220.55301664,,,,
1988,,,,,110652.92920241,,,,253705.55424365,,,,,26674.81105865,,12361.26127305,,,,,,,,,,8862.6468089,,,,
1989,,,,,113172.46655224,,,,273461.31461508,,,,,27474.44830498,,11034.95535485,,,,,,,,,,9307.9752898,,,,
1990,,,,,117507.58062906,,,,293217.07498652,,,,,27171.44785282,,11004.70232007,,,,,,,,,,10050.78097762,,,,
1991,,2890324.99603472,,,124207.80700819,,,,313084.92868968,,,,,27171.44785282,,11181.71475759,,,,,,,,,,10418.57904553,,96817.90722507,,
1992,,2945907.99367795,,,131952.03996312,,,,333427.64234048,,,,,27147.48979217,,12768.33692349,,,,,,,,,,11804.14402271,,105421.20056944,,
1993,,2917131.03614586,,,140134.68018813,,,,355088.46276673,,,,,27036.27706622,,13359.82929,,,,,,,,,,12416.29044515,,115853.40262883,,
1994,,2986906.46293725,,,148593.42040825,,,,381862.03022331,,,,,27603.72816927,4130586.95805369,14027.93342663,,,,,,,,,,12944.36239971,,126524.95571476,,
1995,,3033028.27536679,,201186.57470452,152120.66168073,92637.30638285,9747.92743803,,413251.11736345,,112345.07295649,151956.26118911,,29563.90176066,4239262.68507385,14893.72255595,,,,,,14751.92551286,,21425.44212561,35803.5305234,13370.94604542,,138962.03536235,,
1996,,3057468.6935107,,206944.79377934,158598.74246669,92713.64765877,10193.12414329,,445559.86281735,,120634.58304228,160875.70630414,1995973.89692047,31603.54118283,4372115.70866704,15204.39365399,,,,,,15133.70760673,,22530.73972158,36304.03775665,13314.93337223,,152861.07441597,,
1997,,3112263.5847166,,216224.61042179,166686.90697966,95627.7552094,10781.4252492,,466500.63659196,,133932.36296863,167008.51101258,2032502.52577267,33412.17757583,4415016.16420234,15677.97296366,,,,,,16471.06014892,,24403.20329213,38271.66979732,13277.77645041,,164054.69629151,,
1998,,3174942.14560628,,224646.35311418,156881.41603952,99357.23778388,11575.24013061,,405264.37860273,,145671.29281029,173814.98924721,2069302.2151681,35059.68861652,4358930.86752626,16180.4151901,,,,,,17514.65627234,,26227.49505005,40826.12580105,12670.84308865,,151981.23005009,,
1999,,3234861.68263769,,231548.82947345,160813.87041298,102408.52956157,12042.29221879,,408470.53080518,,161010.42403802,179682.41649613,2102940.67083721,35626.72069999,4344375.09152471,16734.66408456,,,,,,17997.39071262,,25928.11320631,44163.66275348,12372.03488752,,161309.24827972,,
2000,,3329077.52757298,,240625.01277301,173137.78853007,106995.61120587,12642.60563538,,428567.5576505,,176151.21942909,195398.42326688,2182575.15609746,34889.83779769,4464481.75111883,17435.76899476,,,,,,19018.87605235,,26886.37397477,47227.84176162,13083.00763037,,175311.49198586,7693.93397842,
2001,,3385055.2297625,,250566.7048018,174108.74573041,111354.70642714,13150.01630525,,444182.27281992,,185498.52064378,195380.30644001,2225164.39372039,34932.1834234,4481719.26811997,18350.13850659,,,,,,20221.53623124,,28640.99575576,48679.78001658,13460.89907108,,176219.03630452,7603.5535937,
2002,,3378353.06840708,,260396.11550795,176993.1969057,116634.34776043,13223.59315471,,464168.14486729,,196440.62756268,195228.72444795,2230813.41638013,34349.67226371,4483599.90953154,19420.42801211,,,,,,21654.86473572,,30574.50349658,50249.96570139,14660.34669061,,185718.98396101,7798.60479271,
2003,7365.45924382,3354700.7567005,,275484.84982125,182402.62527794,121386.32237764,13506.93354978,,486357.09554686,,202361.70619539,197870.51196961,2233905.37323629,33882.71191503,4552428.79503491,20228.44782833,,,,,,23478.82415345,,33805.06715083,51566.13358136,16366.90310583,,196469.81790605,8116.32522301,
2004,8785.35880594,3394121.71042989,,289427.11762599,198271.76946815,127461.24738418,14560.79846133,,510825.1079461,,216099.07256676,207218.00457913,2265705.55992549,34299.98147126,4651950.15540039,21961.48579822,,,,,,25423.84422021,29525.56954135,36026.01331077,53748.3243504,20725.46549323,,209796.20851909,8127.70987367,
