Year,Mexico,Mongolia,Morocco,Mozambique,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka
1946,,,,,,,,,,,,,,,,9442.58860492,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,,,13070.26881668,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,15152.87317461,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,16162.6425146,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,17396.897807,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,19241.66579315,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,20471.96605391,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,22296.96834454,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,24032.8179662,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,25671.33340406,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,27390.56734413,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,28850.24226853,,,,,,,,,,,65729.68184499,23210.3854155,,
1958,,,,,,,,,,,,,,,,29872.39268599,,,,,,,,,,,67588.22946531,24750.05117576,,
1959,,,,,,,,,,,,,,,,31900.21994599,,,,,,,,,,,70717.06361179,26140.7288979,,
1960,,,,,,,,,,,,,,,,32359.35825222,,,,,,,,6260.52381146,,,72832.23604404,26751.68108141,,
1961,,,,,,,,,,,,,,,,34202.37610197,,,,,,,,6769.97578398,,,75632.45450441,28607.17571557,,
1962,,,,,,,,,,,,,,,,35859.92386722,,,,,,,,7281.34212586,,,80304.93912581,29721.50317304,,
1963,,,,,,,,,,,,,,,,38375.95122071,,,,,,,,8012.40149482,,,86226.3143842,32402.55166144,,
1964,,,,,,,,,,,,,,,,39681.69082667,,,,,,,,7763.76320311,,,93072.49548765,35472.31261002,,
1965,,,,,,,,,,,,,,,,41802.71264815,,,,,,,,8371.9966343,,,98771.10178227,38068.33024775,,
1966,,,,,,,,,,,,,,,,43659.23738729,,,,,,,,9224.27387077,,,103154.86775798,42634.22925923,,
1967,,,,,,,,,,,,,,,,45939.42296085,,,,,,,,10378.1025679,,,110578.48615282,46505.24953329,,
1968,,,,,,,,,,,,,,,,48253.92431603,,,,,,,,11781.94790267,,,115171.30255159,52628.02292956,,
1969,,,,,,,,,,,,,,,,50516.77928034,,,,,,,,13411.84197079,,,120602.58608968,60291.3823334,,
1970,,,,,,,,,,,,,,,,52382.10503357,,,,,,149748.84285167,,15281.72138114,,,126932.62283132,66352.31511101,,
1971,,,,,,,,,,,,,,,,55204.9810823,,,,,,180465.65007423,,17178.70826155,,,132364.03222759,73349.50749324,,
1972,,,,,,,,,,,,,,,,58202.82547131,,,,,,221847.5790658,,19466.14991542,,,134554.3419883,78641.20555146,,
1973,,,,,,,,,,,,,,,,63314.20291415,,,,,,275469.31147348,,21530.14637828,,,140706.16355892,90357.42609615,,
1974,,,,,,,,,,,,,,,,65463.47088369,,,,,,320172.65114297,,22847.23249393,,,149304.79384401,98952.07576917,,
1975,,,,,,,,,,,,,,,,69031.95202486,,,,,,291585.66998272,,23758.54888128,,,151836.17924981,106709.85254615,,
1976,,,,,,,,,,,,,,,,75091.85519951,,,,,,343549.07699314,,25525.51179515,,,155252.3476021,120818.44000073,,
1977,,,,,,,,,,,,,,,,79269.19276595,,,,,,367918.24945545,,27274.63278664,,,155106.35212302,135722.58124752,,
1978,,,,,,,,,,198213.42842355,,,,,,83385.1540682,,,,,,348713.92468495,,29395.8306058,,,159782.10905688,150588.2561571,,
1979,,,,,,,,,,206880.3448089,,,,,,88051.02963126,,,,,,390278.6422664,,32204.44017265,,,165838.65599159,163646.10524275,,
1980,,,,,,,,,,216322.9784,,,,,,92630.30928518,,,,,,412338.97704784,,35461.39504224,,,176818.14530922,160953.0015147,,
1981,,,,,,,,165656.75395163,,219780.39124485,,,,,,95800.31182217,,,,,,420350.74175452,,39296.87233065,,,186296.90178845,172615.93974063,,
1982,,,,,,,,154384.26234232,,220297.66418169,,,,,,99343.39639764,,,,,,333212.50247639,,42087.79312466,,,185582.65666451,187008.79158666,,
1983,,,,,,,,137517.7295694,,229050.30154666,,,,,,101227.89273238,,,,,,279727.27679228,,45688.18585638,,,182155.79036763,212023.41386162,,
1984,,,,,,,,135988.23577326,,242913.26750709,,,,,,94102.07851798,,,,,,266687.92426202,,49705.22193434,,,191444.1234332,234395.36196066,,
1985,,,,,,,,144031.54257965,,256403.1101601,,,,,,87648.20301328,,,,,,240567.16948046,,49395.70669716,,,189124.80904658,252769.29565803,,
1986,,,,,,,,144118.45210148,,266767.14818241,,,,,,90725.25447801,,,,,,281494.25160702,,50058.99739098,,,189158.53903658,281401.13400128,,
1987,,,,,,,,148730.92051885,,271445.02788963,,,,,,94682.51740329,,,,,,262824.15658683,,55464.33412456,,,193132.25908914,317205.74791189,,
1988,,,,,,,100246.98584795,159640.331842,,270752.46900342,,,,,,101023.34036283,,,,,,297278.59775413,,61711.61050009,,,201244.06996641,355231.47070958,,
1989,,,,,,,101349.46426861,162704.53802405,,273563.57897649,,,,,,107270.54109704,,,,,,295783.23919545,,67980.78726103,,,206063.43107409,380356.61468547,,
1990,,,,,,,102654.32556784,181868.35262387,,278849.70605333,,,,,65787.41014062,110577.34059844,,,,,,340722.84643798,,74657.11209621,,,205408.59100715,417926.53899469,,
1991,,,,3696.58422777,,,100255.30295255,182519.81011216,,287450.63394166,,,,19325.60959479,67247.40322865,110094.79205254,,,,,,391858.12322258,,79650.47654478,,,203316.95405299,462970.89593673,,
1992,,,,3416.50708096,,,101244.11427703,190972.15363298,,297725.23512723,,,,19653.4546493,66883.92487806,110554.57990378,,,,,,407483.62327177,,84939.11332253,,,198972.07825232,491668.80803623,,
1993,850676.94239704,,,3790.28781722,,,106158.59897199,187082.53387094,,306196.10801657,,,,20623.6198082,70391.03498484,112966.75921218,,,,,,401926.60027252,,94672.83916582,,,202224.33436416,525483.20310774,,
1994,888056.77517262,,,4034.38931675,,,113814.95581624,183682.71760369,,321675.21555548,,,,21720.3669266,79054.87859852,117907.54785722,,,,,,404172.24533688,,105177.44326064,,,208695.51306381,574188.4878649,,
