Year,Sweden,Switzerland,Taiwan,Thailand,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Zambia
1929,,,,,,,,,,1148494.37277825,,,,
1930,,,,,,,,,,1050782.23597052,,,,
1931,,,,,,,,,,983472.62322247,,,,
1932,,,,,,,,,,856618.18559396,,,,
1933,,,,,,,,,,846028.26070266,,,,
1934,,,,,,,,,,937466.27921232,,,,
1935,,,,,,,,,,1020940.88247322,,,,
1936,,,,,,,,,,1152473.66987616,,,,
1937,,,,,,,,,,1211533.49683072,,,,
1938,,,,,,,,,,1171389.55319743,,,,
1939,,,,,,,,,,1265396.22871433,,,,
1940,,,,,,,,,,1376965.03588652,,,,
1941,,,,,,,,,,1620885.24525113,,,,
1942,,,,,,,,,,1927015.35756226,,,,
1943,,,,,,,,,,2255058.1197031,,,,
1944,,,,,,,,,,2434392.6112316,,,,
1945,,,,,,,,,,2410581.43075353,,,,
1946,,,,,,,,,,2130819.58540064,,,,
1947,,,,,,,,,,2106427.95014842,,,,
1948,,,,,,,,,,2193219.43783306,,,,
1949,,,,,,,,,,2180974.92757224,,,,
1950,,,,,,,,,,2370542.58607438,,,,
1951,,,,,,,,,,2561251.86991306,,,,
1952,,,,,,,,,,2665852.3271636,,,,
1953,,,,,,,,,,2790821.73309199,,,,
1954,,,,,,,,,,2774716.52363562,,,,
1955,,,,,,,,,,2972686.3132042,,,,
1956,,,,,,,,,,3036072.55306845,,,,
1957,,,,,,,,,770716.43125557,3099999.71507274,,,,
1958,,,,,,,,,781095.96146473,3077004.25675237,,,,
1959,,,,,,,,,814442.09357548,3290292.45993727,,,,
1960,,,,,,,,,865938.78609281,3374999.32433002,,,,
1961,,,,,,,,,889052.15394633,3461579.64989583,,,,
1962,,,,,,,,,898581.34946489,3673761.90353595,,,,
1963,,,,,,,,,941974.1405536,3833838.21698434,,,,
1964,,,,,,,,,995681.40065629,4054772.61013446,,,,
1965,,,,,,,,,1016732.47992744,4318270.15128391,,,,
1966,,,,,,,,,1032534.78510302,4603074.81801361,,,,
1967,,,,,,,,,1060974.09265571,4729321.80297149,,,,
1968,,,,,,,,,1118852.83450573,4961744.76528121,,,,
1969,,,,,,,,,1140244.35026333,5116674.12260925,,,,
1970,,,,,,,,,1171066.71322118,5126120.49374282,,,,
1971,,,,,,,,,1213420.03823793,5294909.41406709,,,,
1972,,,,,,,,,1266329.92043679,5573183.48248224,,,,
1973,,,,,,,,,1348704.95880085,5887827.57428806,,,,
