Year,United States
1948,3.76666667
1949,5.90833333
1950,5.325
1951,3.33333333
1952,3.03333333
1953,2.925
1954,5.55
1955,4.38333333
1956,4.14166667
1957,4.25833333
1958,6.8
1959,5.475
1960,5.50833333
1961,6.68333333
1962,5.54166667
1963,5.66666667
1964,5.19166667
1965,4.525
1966,3.78333333
1967,3.84166667
1968,3.58333333
1969,3.50833333
1970,4.93333333
1971,5.95833333
1972,5.61666667
1973,4.89166667
1974,5.59166667
1975,8.46666667
1976,7.71666667
1977,7.06666667
1978,6.06666667
1979,5.83333333
1980,7.14166667
1981,7.6
1982,9.70833333
1983,9.61666667
1984,7.525
1985,7.19166667
1986,6.99166667
1987,6.19166667
1988,5.49166667
1989,5.26666667
1990,5.61666667
1991,6.81666667
1992,7.50833333
1993,6.9
1994,6.08333333
1995,5.60833333
1996,5.41666667
1997,4.95
1998,4.50833333
1999,4.21666667
2000,3.99166667
2001,4.73333333
2002,5.775
2003,5.99166667
2004,5.53333333
2005,5.06666667
2006,4.61666667
2007,4.61666667
2008,5.775
2009,9.26666667
2010,9.61666667
2011,8.95
2012,8.06666667
2013,7.375
2014,6.16666667
2015,5.29166667
2016,4.86666667
2017,4.35
2018,3.9
2019,3.66666667
2020,8.09166667
2021,5.36666667
2022,3.65
2023,3.63333333
