Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Air Asia,https://www.crunchbase.com/organization/air-asia,"Air Transportation, Tourism, Travel","Melaka, Melaka, Malaysia",Air Asia dreams of making flying possible for everyone.,"7,386",Active,2001-01-01,year,2006-05-11,day,,,For Profit,http://airasia.com,"Asia's leading airline was established with the dream of making flying possible for everyone. Since 2001, AirAsia has swiftly broken travel norms around the globe and has risen to become the world's best. With a route network that spans through  to over 20 countries, AirAsia continues to pave the way for low-cost aviation through our innovative solutions, efficient processes and a passionate approach to business. Together with our associate companies, AirAsia X, Thai AirAsia, Indonesia AirAsia, Philippines' AirAsia Inc and AirAsia Japan , AirAsia is set to take low-cost flying to an all new high with our belief, ""Now Everyone Can Fly"".",IPO,145650000,USD,145650000
MOL,https://www.crunchbase.com/organization/mol,"E-Commerce, Financial Services, Information Technology, Payments, Service Industry","Kuala Lumpur, Kuala Lumpur, Malaysia",MOL is a leading e-payment enabler for online goods and services in emerging and developed markets.,"34,086",Closed,2000-01-01,year,2014-10-09,day,,none,For Profit,http://molglobal.mol.com/,"MOL Global, Inc. (NASDAQ: MOLG) is a leading e-payment enabler for online goods and services in emerging and developed markets. They operate a payments platform that connects consumers with digital content providers, telecommunications service providers and online merchants by providing a vast network of payment channels that accept cash and online payment methods. Their physical distribution network comprises more than 970,000 locations in 11 countries across 4 continents. They also have mobile payment channels, electronic distribution channels that accept major credit cards and online banking from over 100 banks. Their products provide various opportunities to acquire and retain customers and their payment credentials, which present cross-selling opportunities for their existing and future solutions. With a clear focus on emerging markets, they continue to build great products and make an impact on the e-payment world of tomorrow.",M&A,39900000,USD,39900000
Leaves Berhad,https://www.crunchbase.com/organization/leaves-berhad,Food and Beverage,"Kuching, Sarawak, Malaysia",Leaves offer different kinds of drinks such as tea and herbal drinks.,"61,376",Active,2001-01-01,year,,,,,For Profit,https://leavesfood.com/,"The year was 1998, Pat Poh Cooling Herbal Tea, made in the loving, humble home kitchen of Josephine and Andy, was being served in glass bottles and delivered lovingly by their own hands to the satisfaction of all their customers. Why did Josephine start on this journey? Besides passion, it started because of love — to raise her 4 lovely children and support her family. One of our mainstays is the Leaves® Teh C Special Syrup, which was invented in 2004, also known as the Three Layer Milk Tea Syrup. With greatest pride, we are the First in the World to invent and develop Teh C Special Syrup. Over the years, we have created a trio of blended flavours, which consists of Teh C Special Syrup, evaporated milk and black tea, all in visibly separated layers. Throughout the years we have perfected the ratios, to create the perfect syrup for your enjoyment. After years of research and development, in year 2020, we are delighted to announce that we have launched a new beverage that combines the amazing Leaves® Teh C Special Syrup with a ready-to-drink approach. The Sarawak Teh C Special canned drink is a new cooling and refreshing drink that combines the best of both worlds. Leaves® is a passionate company that wants to bring great tea-flavors to everyone, so that you can enjoy them with friends and family. That way, we create great memories for the people, because a world with better memories, is a world with a better future.",Seed,2000000,MYR,480885
AWC,https://www.crunchbase.com/organization/awc-344d,"Impact Investing, Industrial Engineering, Mechanical Engineering","Selangor, Selangor, Malaysia","AWC is an investment holding firm that specializes in engineering, environmental engineering and facilities services.","68,777",Active,2001-01-01,year,2019-01-02,day,,,For Profit,http://www.awc.com.my,"AWC is an investment holding firm that specializes in engineering, environmental engineering and facilities services.",IPO,100000000,MYR,21157305
GoQuo,https://www.crunchbase.com/organization/goquo,"E-Commerce, Information Technology, Travel","Kuala Lumpur, Kuala Lumpur, Malaysia",Increasing Airline Ancillary Revenues,"72,877",Active,2002-09-01,day,,,,,For Profit,http://www.goquo.com,"GoQuo provides a Full-Service e-Commerce Solution to leading Airlines and OTAs in creating a personalized and inspiring Digital Shopping Experience. We assist our Customers in becoming Successful e-Retailers, thereby increasing their Ancillary Revenue from Non-Air Products. GoQuo rapidly adapts to the ever changing requirements and ancillary innovations with our Cloud e-Retail platform. With GoQuo the time to market is weeks rather than months. Larger host systems and booking engine providers, are unable to adapt as quick to industry/regional trends, due to their legacy issues.",Early Stage Venture,5580000,USD,5580000
Mindvalley,https://www.crunchbase.com/organization/mindvalley,"Business Intelligence, Education, Incubators, Mobile, News","Kuala Lumpur, Kuala Lumpur, Malaysia","Mindvalley incubates and accelerates businesses that innovate on transformational education for all ages, through mediums","92,263",Active,2003-01-01,year,,,,,For Profit,http://www.mindvalley.com/,"Mindvalley incubates and accelerates businesses that innovate on transformational education for all ages, through mediums that range from digital publishing, educational technology, online learning, mobile apps, content, events and more. We stand for ideas that enable people to unleash their full potential and live extraordinary lives. Founded in 2003 by Vishen Lakhiani, we are a team of 200 people from over 30 countries, working across a wide range of inter-related businesses that are dedicated towards pushing humanity forward through transformational education.",,,,
Catcha Digital,https://www.crunchbase.com/organization/catcha-digital-84dd,"Advertising, Digital Media, Software","Kuala Lumpur, Kuala Lumpur, Malaysia","Catcha Digital Berhad is an investment holding company that focuses on digital media, advertising, and software businesses.","94,512",Active,2000-01-01,year,,,,,For Profit,https://catchadigital.com,"Catcha Digital Berhad is an investment holding company that focuses on digital media, advertising, and software businesses.",,29700000,MYR,6494216
Stampede Solution,https://www.crunchbase.com/organization/stampede-solution,"Accounting, Computer, Debt Collections, Software","Kuala Lumpur, Kuala Lumpur, Malaysia",Stampede Solution is an enterprise software firm specializing in accounts receivable management and recovery industry.,"103,715",Active,2002-01-01,year,,,,,For Profit,http://stampedesolution.com/,"Stampede Solution is an enterprise software firm specializing in accounts receivable management and recovery industry involving banks, telco, collection agencies, and various organizations. They provide solution technology for the entire collection process, from A to Z, for business from all industries. The all-in-one debt collection management system, Volare, is a proven solution unlike any other. Stampede Solution was founded in 2002 and is headquartered in Kuala Lumpur, Malaysia.",,2550000,USD,2550000
Village Grocer,https://www.crunchbase.com/organization/village-grocer,Grocery,"Petaling Jaya, Selangor, Malaysia",Village Grocer is a full-fledged chain of premium grocers.,"119,092",Active,2004-01-01,year,2014-09-01,day,,,For Profit,http://villagegrocer.com.my,Village Grocer is a full-fledged chain of premium grocers across the Klang Valley and aims to be the leading premium supermarket chain in Malaysia.,M&A,,,
iFiber,https://www.crunchbase.com/organization/ifiber,"Internet, Internet of Things, Telecommunications, Wired Telecommunications","Kuala Lumpur, Kuala Lumpur, Malaysia",iFiber is is a network infrastructure provider that supplies Open Access high speed fiber to the home connectivity to homes in Malaysia.,"121,042",Active,2003-07-03,day,,,,,For Profit,https://www.ifiber.my,"iFiber is a network infrastructure provider that supplies open access Gigabit-speed fiber optic broadband connectivity to homes in Malaysia. iFiber had been awarded fixed lined telecommunication license by Malaysia Government (MCMC) to operate open access network in Malaysia for property developers and township. iFiber installs and operates a true OPEN ACCESS fibre network. This means accredited service providers may make use of the fibre to supply services (data, VOIP, IPTV) to their customers. Service providers compete on a level playing field for the consumer. This gives the consumer more choice, and allows them to select a service provider and package that is right for them. It is also easy to switch from poor performing providers.  iFiber’s network is capable of delivering up to 1 gigabit per second of broadband to homes at ADSL prices.",Seed,2600900,USD,2600900
