Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Thunes,https://www.crunchbase.com/organization/thunes,"Financial Services, FinTech, Mobile Payments, Payments","Singapore, Central Region, Singapore",Thunes offers a global cross-border payment network for seamless transfer of funds to 130 countries in 80 currencies.,378,Active,2016-01-01,year,,,,,For Profit,https://www.thunes.com,"Founded in 2016, Thunes is a global B2B payment infrastructure platform that powers payments for the world’s fastest-growing businesses – from gig economy giants such as Uber and Deliveroo and Southeast Asia’s super-app Grab to global fintech leaders such as PayPal, Remitly, Finastra and Revolut. Through a single, simple connection, consumers and businesses can send payments to – and get paid in – every corner of the world. Thunes currently supports 80 currencies, enables payments to 132 countries and helps to accept 300 payment methods.  In April 2022, Thunes acquired a controlling stake in a leading anti-money laundering and compliance platform company Tookitaki, which now enables the company’s advanced compliance, anti-fraud and anti-money laundering capabilities, setting an international benchmark for sustainable compliance.  The company is headquartered in Singapore, with regional offices in London, Paris, Shanghai, Beijing, Dubai, Hong Kong, Barcelona, Miami and Nairobi. Current investors include Visa, EDBI, Endeavor Catalyst, Marshall Wace, Bessemer Venture Partners, 01Fintech, Future Shape, Insight Partners, Checkout.com, Helios Investment Partners and GGV Capital. For more information, visit www.thunes.com",Late Stage Venture,202000000,USD,202000000
Doctor Anywhere,https://www.crunchbase.com/organization/doctor-anywhere,"Health Care, Hospital, Information Technology, Telehealth, Unified Communications","Singapore, Central Region, Singapore",Doctor Anywhere is a telehealth company .,"1,281",Active,2016-01-01,year,,,,,For Profit,https://www.doctoranywhere.com,"Doctor Anywhere is a Singapore-based telehealth company that provides on demand healthcare solutions to help you lead happier, healthier lives. Their digital platform gives you quick access to health and wellness solutions, wherever you are.  Their platform makes healthcare simple, seamless and convenient, and is optimised to help you manage your health in a way that best suits your lifestyle needs. With technology, better health outcomes are more achievable than ever before. They recognize modern-day struggles and are dedicated to improving healthcare services to suit our evolving lifestyle preferences. ",Late Stage Venture,176390583,USD,176390583
Advance Intelligence Group,https://www.crunchbase.com/organization/advance-intelligence-group,"Artificial Intelligence (AI), Finance, Financial Services, FinTech, Information Technology","Singapore, Central Region, Singapore","Advance Intelligence Group is a financial technology firm that offers an ecosystem of AI-powered, credit-enabled products and services.","3,000",Active,2016-01-01,year,,,,,For Profit,https://www.advancegroup.com,"Advance Intelligence Group is a financial technology firm that builds an ecosystem of AI-powered, credit-enabled products, and services. Founded in 2016, it leverages innovative technology and partnerships to build an ecosystem of products and services serving consumers, enterprises, and merchants.",Private Equity,616000000,USD,616000000
ADVANCE.AI,https://www.crunchbase.com/organization/advance-ai,"Artificial Intelligence (AI), Big Data, FinTech, Fraud Detection","Singapore, Central Region, Singapore",ADVANCE.AI is a fintech company that uses artificial intelligence for fraud prevention and process automation solutions.,"4,715",Active,2016-01-01,year,,,,,For Profit,https://advance.ai,"ADVANCE.AI is a data-driven financial technology company with multiple offices in the APAC region. In our quest to build a better financial world, one of our key goals is to revolutionize the credit system by creating a more holistic, accurate, and democratic alternative to existing credit scoring methods. ADVANCE.AI is built and backed by experienced and successful entrepreneurs and investors in Singapore, China, and US who are from top-tier schools like Stanford, CMU, UIUC, Tsinghua, Fudan, SJTU, NUS, and NTU with rich industrial experiences from Goldman Sachs, Farallon Capital, Two Sigma, Amazon, Accenture, Tencent, Baidu, and HSBC.",Private Equity,330000000,USD,330000000
Pontem Network,https://www.crunchbase.com/organization/pontem-technology,"Blockchain, Cryptocurrency","Singapore, Central Region, Singapore",Pontem is a product development studio building products with Move on Aptos and other L1s.,"5,795",Active,2016-01-01,year,,,,,For Profit,https://pontem.network/,"Pontem Network is a product studio building the first-ever suite of foundational dApps for Aptos. Pontem Wallet, the secure and powerful wallet for Aptos, is available for Chrome, Mozilla Firefox, iOS and Android. Use Pontem Wallet to store and send any tokens on Aptos. The wallet is integrated with our Liquidswap DEX, the first DEX and AMM for Aptos, Topaz and Souffl3 NFT marketplaces, Ditto and Tortuga liquid staking platforms, Argo and Aries lending protocols, and all other major Aptos dApps.  Our other products include the browser code editor Move Playground,  the Move IntelliJ IDE plugin for developers, and the Solidity-to-Move code translator ByteBabel – the first ever implementation of the Ethereum Virtual Machine for Aptos.",,10500000,USD,10500000
Freightify,https://www.crunchbase.com/organization/freightify,"Freight Service, Industrial Automation, Information Technology, Service Industry, Software","Singapore, Central Region, Singapore","Freightify is a digital freight forwarder that automates rate procurement, rate administration, and quote operations.","7,847",Active,2016-01-01,year,,,,,For Profit,https://www.freightify.com,"Freightify is a digital freight forwarder that automates rate acquisition, administration, and quote operations. Additionally, it offers track-and-trace services that give freight forwarders instant access to real-time vessel locations and automatic milestones.",Early Stage Venture,14481063,USD,14481063
Homage,https://www.crunchbase.com/organization/homage,"Elder Care, Health Care, Home Health Care, Nursing and Residential Care, Therapeutics, Wellness","Singapore, Central Region, Singapore",Homage is a healthcare center that offers non-medical and medical services to seniors and adults.,"9,473",Active,2016-01-01,year,,,,,For Profit,https://www.homage.sg,"Homage provides non-medical and medical services to seniors and adults. Their services include disability assessments, activities of daily living assistance, nursing procedures, and rehabilitation services, including physiotherapy, speech therapy, and occupational therapy. They also provide health screening, mobile medicine, telemedicine, ambulance, and medication delivery services.",Late Stage Venture,45171592,USD,45171592
BondbloX,https://www.crunchbase.com/organization/bondevalue,"Financial Services, FinTech","Singapore, Central Region, Singapore",BondEvalue is a Singapore based Fintech company that focuses on Asian bond markets.,"11,812",Active,2016-01-01,year,,,,,For Profit,https://bondblox.com/,"BondEvalue is a Singapore based Fintech company that focuses on Asian bond markets. Unlike equities which have already been digitally disrupted, bonds have remained unchanged for decades, with private bank clients unable to access live prices. We envision using our deep domain expertize to level the playing field for them via the simplicity and convenience of an App.",Early Stage Venture,20125000,USD,20125000
ZUZU Hospitality,https://www.crunchbase.com/organization/zuzuhotels,"Hospitality, Hotel, Information Technology, Marketing, Travel Accommodations","Singapore, Central Region, Singapore",ZUZU Hospitality is a chain of independent hotels that delivers revenue growth through distribution and revenue management.,"12,002",Active,2016-01-01,day,,,,,For Profit,https://zuzuhospitality.com,"Zuzu Hospitality is a chain of independent hotels that delivers revenue growth through distribution and revenue management. They are the indisputable primary partner for hoteliers in driving revenue. Acting as their hotel operating system, they power their back office revenue generation business operations, allowing them to focus on being hoteliers.",Early Stage Venture,25433558,USD,25433558
Parcel Perform,https://www.crunchbase.com/organization/parcel-perform-pte-ltd,"E-Commerce, Logistics, SaaS, Software, Supply Chain Management","Singapore, Central Region, Singapore",The leading delivery experience platform for businesses worldwide,"13,067",Active,2016-01-01,year,,,,,For Profit,https://www.parcelperform.com,"Parcel Perform is the leading delivery experience platform. It enables modern e-commerce enterprises to create unique end-to-end customer journeys and optimize logistics operations with powerful data integrations, parcel tracking, delivery notifications, and logistics performance reports in real-time.  Parcel Perform's scalable SaaS platform executes more than 100 million parcel updates daily and integrates with 900+ carriers. The data-first company is pioneering innovative ML / AI use cases in e-commerce logistics, including its 'Date of Arrival' prediction engine. Parcel Perform is the partner of choice for top brands, marketplaces, and carriers across all major verticals globally.",Early Stage Venture,21450000,USD,21450000
ImmunoScape,https://www.crunchbase.com/organization/immunoscape,"Biotechnology, Life Science, Medical","Singapore, Central Region, Singapore",ImmunoScape offers a tech platform that allows profiling and characterization of the human immune response.,"13,835",Active,2016-01-01,year,,,,,For Profit,https://immunoscape.com/,"ImmunoScape is an immunomics-focused company with a technology platform that allows for immune profiling and characterization of the human immune response at extremely high resolution. The company’s Deep Immunomics platform combines mass cytometry, single cell sequencing, and proprietary computational bioinformatics, data analysis, and visualization tools to provide novel, reproducible immune profiling information. This technology has been utilized across multiple therapeutic areas, especially in oncology and infectious disease, both to better understand immunotherapy safety and efficacy and to identify drug targets.",,42038509,USD,42038509
