Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Ismaya Group,https://www.crunchbase.com/organization/ismaya-group,Lifestyle,"Jakarta, Jakarta Raya, Indonesia","ISMAYA GROUP is a market leader in conceptualizing, developing, operating exclusive yet diverse group of lifestyle/hospitality.","19,434",Active,2003-01-01,year,,,,,For Profit,http://ismaya.com,"Established in 2003, ISMAYA GROUP’s vision is to be a leader in building strong and everlasting lifestyle brands globally in the lifestyle & hospitality industry. It is their passion and objective to consistently create an outstanding and memorable experience every single time they ‘touch’ a customer. With this vision in mind, Ismaya Group continues to create original and innovative lifestyle concepts in major cities in Indonesia, South East Asia and Internationally.",,266000000000,IDR,17924528
Blue Bird Group,https://www.crunchbase.com/organization/blue-bird,"Logistics, Service Industry, Transportation","Jakarta, Jakarta Raya, Indonesia",Blue Bird Group is an Indonesian company providing transportation services across the country.,"44,519",Active,2001-03-29,day,2014-10-03,day,,,For Profit,http://www.bluebirdgroup.com/,"Blue Bird is an Indonesian company providing transportation services across the country. The company was established in 1972 with 25 taxi cabs. It now owns a fleet of 28,000 vehicles, including containers and heavy-duty vehicles.",IPO,30000000,USD,30000000
Kimia Farma Apotek,https://www.crunchbase.com/organization/kimia-farma-apotek,"Health Care, Medical, Pharmaceutical, Retail","Jakarta Pusat, Jakarta Raya, Indonesia",Kimia Farma Apotek is a retail chain pharmaceutical company providing healthcare solutions.,"53,866",Active,2003-01-01,year,,,,,For Profit,https://kimiafarmaapotek.co.id,"Kimia Farma Apotek is a retail-chain pharmaceutical company providing pharmaceutical solutions and healthcare solutions ranging from prescription drugs, nonprescription drugs, traditional medicines, medical equipment, diet and nutrition, vitamins, minerals and supplements, baby and child necessities, personal care to beauty products.",,1860000000000,IDR,119234971
FLN,https://www.crunchbase.com/organization/fln,"Industrial Manufacturing, Manufacturing, Plastics and Rubber Manufacturing","Bekasi, Jawa Barat, Indonesia","FLN is a manufacturer that offers plastic extrusion molding, injection, paint line, assembly, and vacuum forming services.","69,442",Active,2000-01-01,year,,,,,For Profit,https://www.fln.co.id,"FLN is a manufacturer that offers plastic extrusion molding, injection, paint line, assembly, and vacuum forming services.",,104169954,USD,104169954
PT Mitra Pinasthika Mustika Rent,https://www.crunchbase.com/organization/pt-mitra-pinasthika-mustika-rent,"Automotive, Car Sharing, Transportation","Serpong, Jawa Barat, Indonesia",PT Mitra Pinasthika Mustika Rent offers automotive rental and driver services.,"71,917",Active,2001-01-01,year,,,,,For Profit,https://mpm-rent.com,"PT Mitra Pinasthika Mustika Rent (MPMRent) is a car rental company with a fleet of over 13,000 vehicles and financing services. It understands every detail and concern about the business as one of the largest rental service companies in Indonesia, and it ensures that it provides personalized and customized top-of-the-line solutions that suit all business's needs.",,54000000,USD,54000000
Sicepat Express,https://www.crunchbase.com/organization/sicepat-express,"Courier Service, Delivery, E-Commerce","Jakarta Pusat, Jakarta Raya, Indonesia","Sicepat Express provides services for last-mile delivery, warehousing and fulfillment, and middle-mile logistics.","72,991",Active,2004-01-01,day,,,,,For Profit,http://www.sicepat.com,"Sicepat Express provides several services to support businesses and puts forward practical solutions for e-commerce. SiCepat Ekspres has branches and outlets spread across cities in Indonesia. The company currently provides last-mile, warehousing and fulfillment, commerce-enabling services, online distribution, and middle-mile logistic. It was founded in 2004 and headquartered in Jakarta Pusat, Jakarta Raya.",Early Stage Venture,273500000,USD,273500000
PT Geo Dipa Energi,https://www.crunchbase.com/organization/pt-geo-dipa-energi,"Energy, Geothermal Energy, Oil and Gas, Renewable Energy","Dki Jakarta, Jakarta Raya, Indonesia","PT Geo Dipa Energi is a geothermal Energy Company through Geodipa Personnel, Operational Excellence and Sustainable Growth.","86,549",Active,2002-01-01,year,,,,,For Profit,https://www.geodipa.co.id/,"PT Geo Dipa Energi is a geothermal Energy Company through Geodipa Personnel, Operational Excellence and Sustainable Growth.",,50000000,USD,50000000
Hukumonline.com,https://www.crunchbase.com/organization/hukumonline-com,"Information Services, Legal, Legal Tech","Jakarta, Jakarta Raya, Indonesia",Hukumonline bertujuan untuk menjadi solusi satu atap bagi praktisi hukum Indonesia,"98,301",Active,2000-01-01,year,,,,,For Profit,https://www.hukumonline.com,"PT Justika Siar Publika or known as Hukumonline.com was founded by prominent law observers at the beginning of the reform era. It was initiated to provide education and enlightenment to the public about the world of law in Indonesia. Facing the disruption era, Hukumonline.com transformed into a reg-tech company that provides the most complete, integrated and trusted legal products and services with the use and use of technology.",Early Stage Venture,,USD,
Reliance Capital Management,https://www.crunchbase.com/organization/reliance-capital-management,"Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia","Reliance Capital Management an integrated financial services company, provides financial service products in Indonesia.","103,142",Active,2003-01-01,year,,,,,For Profit,http://relianceindonesia.com/,"Reliance Capital Management is an integrated financial services company, provides financial service products in Indonesia. It offers equities, underwriting, fixed income, asset management, and general and health insurance products. The company provides securities brokerage services in equity and fixed income markets; property, motor vehicle, cargo, engineering, and miscellaneous insurance products; hospitalization, outpatient, dental care, maternity care, and glasses insurance products; and health insurance support services.",Private Equity,45000000,USD,45000000
PT Mitra Bisnis Keluarga Ventura,https://www.crunchbase.com/organization/pt-mitra-bisnis-keluarga-ventura,"Finance, Financial Services, Micro Lending","Banten, Jawa Barat, Indonesia",PT Mitra Bisnis Keluarga Ventura is a microfinance institution that provides working capital to low-income women.,"103,181",Active,2004-01-01,year,,,,,For Profit,https://www.mbk-ventura.com/,"PT Mitra Bisnis Keluarga Ventura is a microfinance institution that provides working capital to low-income women to provide them with formal and cost-effective financial services (financial inclusion), reduce their vulnerability, and improve their lives. The institution's objective is to contribute to the government’s Sustainable Development Goals, particularly in fighting poverty and empowering women.",,19350666,EUR,23108146
