Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Perusahaan Otomobil Nasional Sdn Bhd,https://www.crunchbase.com/organization/perusahaan-otomobil-nasional-sdn-bhd,"Automotive, Manufacturing","Selangor, Selangor, Malaysia","Perusahaan Otomobil Nasional Sdn. Bhd. was officially incorporated on May 7, 1983.","7,831",Active,1983-05-07,day,,,,,For Profit,https://www.proton.com,"Perusahaan Otomobil Nasional Sdn. Bhd. was officially incorporated on May 7, 1983. PROTON is Malaysia's leading automotive manufacturer with 25 years of innovation and exports to over 25 countries. Today, it has over a dozen models in its stable with more than 3 million units sold.  As a strategic component of Malaysia's Industrial Master Plan (IMP), PROTON's objectives include the development of indigenous research and development capabilities, world class manufacturing and production standards, design capabilities as well as a presence in the global market.  This continuous process of improvement and global competitiveness has produced one of the largest pools of trained and talented engineers in Malaysia, many of whom are specialised in diverse and highly-specialised areas including automotive, materials and design engineering.  Using the resources, technology, innovations, manpower and design capabilities which includes the expertise of PROTON's wholly-owned subsidiary Lotus Engineering UK, one of the world's leading automotive engineering consultancy companies, has provided PROTON with an invaluable resource which has helped place the national car company at the forefront of the automotive industry.",,1880000000,MYR,454930980
Yinson Holdings Berhad,https://www.crunchbase.com/organization/yinson-holdings-berhad,"Manufacturing, Real Estate, Transportation, Warehousing","Kuala Lumpur, Kuala Lumpur, Malaysia","Yinson provides Floating, Production, Storage and Offloading services.","44,311",Active,1983-01-01,day,2006-05-11,day,,,For Profit,http://yinson.com.my/,"Yinson provides Floating, Production, Storage, and Offloading services.",IPO,300000000,USD,300000000
YYC Advisors,https://www.crunchbase.com/organization/yyc-advisors,"Consulting, Financial Services, Information Technology","Kuala Lumpur, Kuala Lumpur, Malaysia",YYC Advisors is a professional accounting firm that provides advice and assistance to businesses as they grow.,"62,720",Active,1974-01-01,year,,,,,For Profit,https://www.yycadvisors.com/,"YYC Advisors is a professional accounting firm that provides advice and assistance to businesses as they grow. YYC Advisors offers assurance, accounting, tax, business advisory, digital transformation, and entrepreneurial training solutions.",,60000000,MYR,14508524
Bake With Yen,https://www.crunchbase.com/organization/bake-with-yen,"Bakery, Food and Beverage, Food Processing, Manufacturing, Productivity Tools","Puchong, Selangor, Malaysia",Bake With Yen is established in 1987 and we continue to provide a wide range of high quality baking products,"68,509",Active,1987-01-01,year,,,,,For Profit,http://bakewithyen.my,"Bake With Yen is They  continue to provide a wide range of high quality baking products until today. We are known as one of the largest provider of quality bakery and confectionery ingredients.With an extensive product range, established reputation, proven technical expertise and a wide network of outlets in Malaysia, Bake With Yen is trusted to continue deliver total bakery solutions to enhance our customers’ businesses.",,13000000,USD,13000000
Lablink Medical Laboratory,https://www.crunchbase.com/organization/lablink-medical-laboratory,"Health Care, Medical, Wellness","Kuala Lumpur, Kuala Lumpur, Malaysia",Lablink Medical Laboratory provides a wide range of medical laboratory services.,"68,690",Active,1989-01-01,year,,,,,For Profit,https://www.kpjlablink.com,"Lablink Medical Laboratory provides a wide range of medical laboratory services. The company’s services include hematology, chemical pathology, immunology & serology, histology, biosafety & mycobacteriology, medical microbiology, cytology, molecular diagnostics, and health screening.",Private Equity,119920000,MYR,30572339
Tasco Bhd,https://www.crunchbase.com/organization/tasco-bhd,Logistics,"Selangor, Selangor, Malaysia",Tasco Bhd is a logistics and warehousing company .,"75,876",Active,1974-09-10,day,2007-12-28,day,,,For Profit,http://www.tasco.com.my/,"Their company was incorporated in Malaysia under the Act on 10 September 1974 as a private limited company under the name of Trans-Asia Shipping Corporation Sdn Bhd. Subsequently, on 14 December 2001, it was converted to a public limited company and assumed the name of Trans-Asia Shipping Corporation Berhad.Our company was listed on the Main Board of Bursa Malaysia Securities Berhad on 28 December 2007 under the stock name ""TASCO"" (Stock Code:5140) in the category Trading/Services. Effective from 10 September 2009, Their company name has officially change to TASCO Berhad (20218-T).",IPO,30060000,USD,30060000
Hong Heng Holdings Berhad,https://www.crunchbase.com/organization/hong-heng-holdings-berhad,"Freight Service, Logistics, Transportation","Ipoh, Perak, Malaysia","Logistic, Distribution, Goods and Freight Services, Technology Company","130,796",Active,1979-01-01,year,,,,,For Profit,http://www.honghenggroup.com,"One of the fastest growing tech-centric transport and logistic company based in Ipoh handling peninsula Malaysia’s heavy cargo, mining and quarries products.",Seed,5000000,MYR,1166981
Real Education Group Sdn Bhd,https://www.crunchbase.com/organization/real-education-group-sdn-bhd,"Consumer, Education","Kampung Subang, Selangor, Malaysia",REAL Education Group is a provider of an educational services.,"135,008",Active,1986-01-01,day,,,,,For Profit,http://real.edu.my/,"R.E.A.L Education Group engenders Transformation. We provide a complete range of quality and integrated educational programmes for learners of all ages, to engage the community in lifelong learning that will lead to transformation of society for the better.",,33000000,MYR,10237983
Petroliam Nasional Berhad,https://www.crunchbase.com/organization/petronas,"Energy, Oil and Gas, Renewable Energy","Kuala Lumpur, Kuala Lumpur, Malaysia","PETRONAS was incorporated on 17 August 1974 as the national oil company of Malaysia, vested with the entire ownership and control of the","158,838",Active,1974-08-01,day,,,,,For Profit,http://petronas.com,"PETRONAS was incorporated on 17 August 1974 as the national oil company of Malaysia,  vested with the entire ownership and control of the petroleum resources in the country. It has since grown from merely being the manager and regulator of Malaysia’s upstream sector into a fully integrated oil and gas corporation, ranked among the FORTUNE Global 500® largest corporations in the world.",,,,
MISC Berhad,https://www.crunchbase.com/organization/misc-berhad,"Education, Energy, Transportation","Kuala Lumpur, Kuala Lumpur, Malaysia",MISC Berhad  is a leading provider of international energy-related maritime solutions and services.,"183,937",Active,1968-01-01,year,2006-05-11,day,,,For Profit,https://misc.com.my/,"MISC Berhad  is a leading provider of international energy-related maritime solutions and services.There core businesses include energy shipping and its related activities, owning and operating offshore floating solutions, marine repair and conversion, as well as engineering and construction works. In addition to our shipping business, we place maritime education at the forefront; our Malaysian Maritime Academy (ALAM) is ranked amongst the top 10% of the world’s Maritime Education and Training (MET) institutions.",IPO,,,
Tune Protect,https://www.crunchbase.com/organization/tune-protect,"Financial Services, Internet, Online Portals","Kuala Lumpur, Kuala Lumpur, Malaysia",Tune Protect is a digital insurance provider that underwrites and reinsures non-life insurance products through its subsidiary companies.,"190,392",Active,1976-01-01,year,2013-03-01,day,,,For Profit,https://www.tuneprotect.com,"Tune Protect is a digital insurance provider that underwrites and reinsures non-life insurance products through its subsidiary companies. The company operates two core businesses; an online business, through which it sells insurance products to customers in more than 20 different markets as part of their online booking process with its online partners or directly with offices in Kuala Lumpur and Dubai, and a general insurance business in Malaysia and Thailand, through its subsidiaries Tune Protect Malaysia and Tune Protect Thailand respectively.",IPO,5000000,USD,5000000
Bank Negara Malaysia,https://www.crunchbase.com/organization/bank-negara-malaysia,"Banking, Finance, Financial Services","Kuala Lumpur, Kuala Lumpur, Malaysia",Bank Negara Malaysia is a Malaysian bank that offers banking and financial services.,"194,561",Active,1959-01-26,day,,,,,For Profit,https://www.bnm.gov.my/,,,,,
Sunway Group Malaysia,https://www.crunchbase.com/organization/sunway-group-malaysia,"Construction, Education, Health Care, Real Estate, Retail","Selangor, Selangor, Malaysia","Sunway Group Malaysia is a core interests in property, construction, education and healthcare.","197,620",Active,1974-01-01,year,2011-08-26,day,,,For Profit,https://www.sunway.com.my/,"Sunway Group is one of Malaysia’s largest conglomerates with core interests in property, construction, education and healthcare. We are a 15,000-strong team operating in 50 locations worldwide, working together to improve the quality of life of our communities through 12 business divisions – real estate, construction, retail, hospitality, leisure, healthcare, education, commercial, trading and manufacturing, building materials, quarrying and Real Estate Investment Trust (REIT).",IPO,,,
