Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
HistoSonics,https://www.crunchbase.com/organization/histosonics,"Health Care, Medical, Medical Device","Plymouth, Minnesota, United States","HistoSonics specializes in developing non-invasive medical devices, interventional radiology, and surgical robotics.","3,991","Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",$1M to $10M,Active,2009-01-01,year,,,,,For Profit,http://www.histosonics.com,"HistoSonics provides the Edison Platform, which uses advanced imaging and proprietary sensing technology to deliver non-invasive, personalized treatments with precision and control, and uses the science of histotripsy and focused sound energy to generate pressures to liquify and completely destroy targeted tissues at sub-cellular levels.",Health Care,3,"Brian Fowlkes, M. Christine Gibbons, Thomas Davison",11-50,10,Late Stage Venture,121785313,USD,121785313,226785313,USD,226785313,"Signature Bank, Johnson & Johnson Innovation – JJDC, Lumira Ventures, Varian, Hatteras Venture Partners",9,17,,Private,,,,,,
Mineralys Therapeutics,https://www.crunchbase.com/organization/mineralys-therapeutics,"Biopharma, Biotechnology, Medical, Pharmaceutical","Radnor, Pennsylvania, United States",Mineralys Therapeutics is a clinical-stage biopharmaceutical company committed to developing therapy for the treatment of hypertension.,"3,992","Greater Philadelphia Area, Great Lakes, Northeastern US",$1M to $10M,Active,2020-01-01,year,2023-02-09,day,,,For Profit,http://www.mineralystx.com,Mineralys Therapeutics is a biopharmaceutical company that provides hypertension treatment. They also bring a targeted approach to the management of hypertension.,"Biotechnology, Health Care, Science and Engineering",1,BT Slingsby,11-50,4,IPO,278000000,USD,278000000,278000000,USD,278000000,"Andera Partners, RA Capital Management, OrbiMed, Adams Street Partners, RTW Investments",5,17,,Public,2023-02-09,,,MLYS,https://www.crunchbase.com/ipo/mineralys-therapeutics-ipo--06d652cb,NASDAQ
Lexion,https://www.crunchbase.com/organization/lexion,"Artificial Intelligence (AI), Information Technology, Procurement, Productivity Tools, SaaS","Seattle, Washington, United States",Lexion is an AI-powered contract management and operations workflow platform that helps teams get deals done faster.,"3,995","Greater Seattle Area, West Coast, Western US",$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://www.lexion.ai,"Lexion is an AI-powered contract management and operations workflow platform that helps every team do faster, by streamlining and centralizing the contracting process in a system that works the way you do.  Lexion's co-founder Paul Allen’s artificial intelligence research institute (AI2) and backed by the same investors that funded OpenAI (Khosla Ventures), helped launch Amazon (Madrona Venture Group), and have advised Google (Wilson Sonsini). With a top-notch and experienced team from Microsoft, Facebook, Google, and Amazon.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software, Transportation",3,"Emad Elwany, Gaurav Oberoi, James Baird",51-100,3,Early Stage Venture,35200000,USD,35200000,35200000,USD,35200000,"Khosla Ventures, Point72 Ventures, Madrona, Citi Ventures, Wilson Sonsini Goodrich & Rosati",4,5,,Private,,,,,,
Alight Solutions,https://www.crunchbase.com/organization/alight-solutions,"Consulting, Employee Benefits, Finance, Human Resources, Software","Lincolnshire, Illinois, United States",Alight Solutions is a cloud-based human capital technology company that offers HR and financial solutions.,"3,996","Greater Chicago Area, Great Lakes, Midwestern US",$1B to $10B,Active,2017-01-01,year,2021-07-30,day,,,For Profit,https://www.alight.com,"Alight Solutions provides cloud-based human capital solutions that empower clients and employees to manage health, wealth, and HR needs. Their platform combines data and analytics with a simple, seamless user experience.","Administrative Services, Financial Services, Health Care, Professional Services, Software",1,Norman Weiss,10001+,6,M&A,1620184095,USD,1620184095,1642684095,USD,1642684095,"GIC, New Mountain Capital, Abu Dhabi Investment Authority, Blackstone Group, Suvretta Capital Management",3,11,6,Public,2021-07-30,,,A9L0,https://www.crunchbase.com/ipo/alight-solutions-ipo--5491292b,FRA - Frankfurt Stock Exchange
Sharecare,https://www.crunchbase.com/organization/sharecare,"Consumer, Health Care, Information Technology, mHealth","Atlanta, Georgia, United States","Sharecare is a health and wellness engagement platform that provides information, programs, and resources to improve individuals health.","3,996","Greater Atlanta Area, East Coast, Southern US",$1B to $10B,Active,2010-10-07,day,2021-10-29,day,,,For Profit,https://www.sharecare.com,"Sharecare is the digital health company that helps people – no matter where they are in their health journey – unify and manage all their health in one place. Our comprehensive and data-driven virtual health platform is designed to help people, providers, employers, health plans, government organizations, and communities optimize individual and population-wide well-being by driving positive behavior change. Driven by our philosophy that we are all together better, at Sharecare, we are committed to supporting each individual through the lens of their personal health and making high-quality care more accessible and affordable for everyone.","Health Care, Information Technology, Mobile, Other",2,"Jeff Arnold, Mehmet Oz",1001-5000,14,M&A,790000000,USD,790000000,850000000,USD,850000000,"HCA, Warner Bros. Discovery, Elevance Health, Summit Partners, Swiss Re",8,25,18,Public,2021-10-29,,,8DJ0,https://www.crunchbase.com/ipo/sharecare-ipo--f6b85d9a,FRA - Frankfurt Stock Exchange
Uptake Technologies,https://www.crunchbase.com/organization/uptake-3,"Analytics, Artificial Intelligence (AI), Industrial, Machine Learning, SaaS, Software","Chicago, Illinois, United States",Uptake Technologies designs and develops enterprise software.,"3,997","Greater Chicago Area, Great Lakes, Midwestern US",$100M to $500M,Active,2014-07-01,month,,,,,For Profit,http://www.uptake.com,"Uptake Technologies develops a predictive analytics platform. Its platform analyzes data to predict and prevent failures, uncover hidden profits, and discover new opportunities in healthcare, insurance, locomotives, construction, manufacturing, and other industries that offer a platform for equipment monitoring, diagnostic troubleshooting, event and condition prediction, and task management to improve uptime, streamline operations, and spot growth opportunities.","Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software",1,Bradley Keywell,251-500,5,Late Stage Venture,218000000,USD,218000000,218000000,USD,218000000,"Baillie Gifford, New Enterprise Associates, GreatPoint Ventures, Revolution, Lightbank",5,8,2,Private,,,,,,
Shopmonkey,https://www.crunchbase.com/organization/shopmonkey-io,"Automotive, Cloud Management, Information Technology, SaaS, Software","San Jose, California, United States",Shopmonkey provides a process management software designed for auto repair shops.,"3,998","San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://www.shopmonkey.io,"Shopmonkey provides a process management software designed for auto repair shops. The platform eliminates double entry and avoids missing unpaid invoices by tracking everything payment-related in one shop management system. It integrates with Quickbooks and offers customers the ability to pay in-person or online. Shopmonkey utilizes built-in tools to communicate with customers via text and email. It enables users to send automated appointment confirmations and reminders, share invoices, inspection sheets, collect payments or answer questions with just a few clicks. The company was founded in 2016 and is headquartered in San Jose, California.","Information Technology, Internet Services, Software, Transportation",2,"Ashot Iskandarian, Travis Brown",101-250,3,Late Stage Venture,110000000,USD,110000000,110000000,USD,110000000,"ICONIQ Growth, Bessemer Venture Partners, Index Ventures, Headline, I2BF Global Ventures",2,7,,Private,,,,,,
Reality Defender,https://www.crunchbase.com/organization/reality-defender,"Artificial Intelligence (AI), Identity Management, Network Security","New York, New York, United States",Reality Defender develops a detection platform to identify and assess risks associated with false media content.,"4,000","Greater New York Area, East Coast, Northeastern US",,Active,2021-01-01,year,,,,,For Profit,https://realitydefender.com/,"Reality Defender develops a detection platform to identify and assess risks associated with false media content. Using synthetic media detection algorithms in real-time, the platform points out manipulated contents that help enterprise and government clients effectively combat synthetically altered images, videos, audio phone calls, and documents. Reality Defender was founded in 2021 and is headquartered in New York.","Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,1-10,4,Early Stage Venture,15000000,USD,15000000,15004000,USD,15004000,"Y Combinator, Bantam Group, Gutbrain Ventures, Comcast Ventures, Argon Ventures",3,14,,Private,,,,,,
Formant,https://www.crunchbase.com/organization/formant,"Cloud Data Services, Information Services, Information Technology, Robotics, Sensor, Software","San Francisco, California, United States","Formant is a monitoring and operations software that connects people, processes, sensors, and robots through a robotic approach platform.","4,001","San Francisco Bay Area, West Coast, Western US",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://formant.io/,"Formant is a monitoring and operations infrastructure that allows companies to monitor robot fleets, receive alerts, and embark on root cause analyses when something goes wrong. Its platform is built on a secure and scalable cloud stack that can integrate robotic applications and existing tools that lets clients with a cloud infrastructure aid in robotic automation. Founded by a team of former Google, Savioke, and Redwood Robotics software engineers, roboticists, and product managers—Formant believes that more efficient cloud infrastructure can help unlock the shared potential of humans and robots. The company was established in 2017 and is based in San Francisco, California.","Hardware, Information Technology, Internet Services, Science and Engineering, Software",1,Jeff Linnell,11-50,3,Early Stage Venture,45000000,USD,45000000,45000000,USD,45000000,"Ericsson, Intel Capital, SignalFire, Picus Capital, Pelion Venture Partners",2,12,1,Private,,,,,,
Modernizing Medicine,https://www.crunchbase.com/organization/modernizing-medicine,"Electronic Health Record (EHR), Health Care, Software","Boca Raton, Florida, United States",Modernizing Medicine creates an cloud-based specialty-specific electronic medical record system.,"4,004","Greater Miami Area, East Coast, Southern US",$100M to $500M,Active,2010-01-01,year,,,,,For Profit,https://www.modmed.com,"ModMed is transforming healthcare by placing doctors and patients at the center of care through an intelligent, specialty-specific cloud platform. Their specialty-specific, data-driven, and cloud-based electronic health records (EHR) and practice management (PM) systems, plus revenue cycle management (RCM) services, were built by a team including specialty physicians and practice management professionals.","Health Care, Software",1,Daniel Cane,1001-5000,10,,375505486,USD,375505486,385930486,USD,385930486,"IBM, Warburg Pincus, Summit Partners, Silicon Valley Bank, Sands Capital Ventures",4,6,6,Private,,,,,,
