Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Citi,https://www.crunchbase.com/organization/citigroup,"Banking, Credit Cards, Financial Services, Wealth Management","New York, New York, United States",Citigroup is a diversified financial services holding company that provides various financial products and services.,1,"Greater New York Area, East Coast, Northeastern US",$10B+,Active,1812-06-16,day,1998-10-08,day,,,For Profit,https://www.citigroup.com,"Citigroup is a diversified financial services holding company that provides various financial products and services. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. The ICG segment offers various banking, and financial products and services to corporate, institutional, public sector, and high-net-worth clients. This segment provides wholesale banking products and services, including fixed-income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed-income research, corporate lending, investment banking, and advisory services, private banking, cash management, trade finance, and securities services.","Financial Services, Lending and Investments, Payments",1,Sanford Weill,10001+,2,IPO,8700000000,USD,8700000000,8700000000,USD,8700000000,"Abu Dhabi Investment Authority, ValueAct Capital",2,2,7,Public,1998-10-08,,,C,https://www.crunchbase.com/ipo/citigroup-ipo--e24f850c,NYSE - New York Stock Exchange
Perplexity AI,https://www.crunchbase.com/organization/perplexity-ai,"Artificial Intelligence (AI), Chatbot, Generative AI, Search Engine, Software","San Francisco, California, United States",Perplexity AI is an AI-chat-based conversational search engine that delivers answers to questions using language models.,3,"San Francisco Bay Area, West Coast, Western US",$10M to $50M,Active,2022-01-01,year,,,,,For Profit,https://www.perplexity.ai,"Perplexity is a search engine platform that uses artificial intelligence to provide large language models and search engines. The company's platform enables the development of beneficial artificial general intelligence, as well as an open-source environment that is accessible to the public, allowing clients to develop skills and knowledge in artificial intelligence.","Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",5,"Andy Konwinski, Aravind Srinivas, Denis Yarats, Gaurav Agarwal, Johnny Ho",1-10,3,Early Stage Venture,102300000,USD,102300000,102300000,USD,102300000,"NVIDIA, Nat Friedman, Bessemer Venture Partners, Kindred Ventures, New Enterprise Associates",3,29,,Private,,,,,,
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,"Artificial Intelligence (AI), Audio, Content Creators, Developer APIs, Publishing","New York, New York, United States",ElevenLabs is a research company developing AI voice synthesis software for creators and publishers.,4,"Greater New York Area, East Coast, Northeastern US",$1M to $10M,Active,2022-04-17,day,,,,,For Profit,http://elevenlabs.io,ElevenLabs researching and deploying novel methods in voice AI to make content enjoyable in any language and voice to benefit new audiences and viewers. The company's mission is to make content universally accessible in any language and voice.,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",3,"Carlos Virella, Mati Staniszewski, Piotr Dabkowski",11-50,3,Early Stage Venture,101000000,USD,101000000,101000000,USD,101000000,"Andreessen Horowitz, Embark Studios, Sequoia Capital, Storytel, Alex Macdonald",4,24,,Private,,,,,,
Bristol Myers Squibb,https://www.crunchbase.com/organization/bristol-myers-squibb,"Biotechnology, Health Care, Medical, Pharmaceutical, Precision Medicine","New York, New York, United States","Bristol Myers Squibb focuses on discovering, developing, and delivering medicines for patients with serious diseases.",5,"Greater New York Area, East Coast, Northeastern US",$1B to $10B,Active,1887-01-01,year,1972-01-01,day,,,For Profit,http://www.bms.com,"Bristol-Myers Squibb Company, through its subsidiaries, engages in the discovery, development, licensing, manufacturing, marketing, distribution, and sale of pharmaceuticals and nutritional products.  Bristol Myers Squibb focuses on areas such as oncology, cardiovascular, immunoscience, and fibrosis to develop therapies that address significant unmet medical needs. The company's research and development efforts are centered around discovering new drugs and advancing existing ones to improve patient outcomes. BMS has a diverse portfolio of medicines, including several blockbuster drugs used in the treatment of cancer and other diseases. The company is committed to advancing the science of medicine to help people fight serious diseases and improve their quality of life.","Biotechnology, Health Care, Science and Engineering",3,"E. R. Squibb, John Ripley Myers, William McLaren Bristol",10001+,3,IPO,80000000,USD,80000000,10580000000,USD,10580000000,"Venrock, RA Capital Management, Connecticut Innovations, OUP (Osage University Partners), Aisling Capital",1,13,24,Public,1972-01-01,,,BMY,https://www.crunchbase.com/ipo/bristol-myers-squibb-ipo--0ebf9176,NYSE - New York Stock Exchange
NVIDIA,https://www.crunchbase.com/organization/nvidia,"Artificial Intelligence (AI), GPU, Hardware, Software, Virtual Reality","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",6,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,1993-01-01,year,1999-01-29,day,,,For Profit,https://www.nvidia.com,"NVIDIA is a computing platform company, innovating at the intersection of graphics, HPC, and AI. The company specializes in the manufacture of graphics-processor technologies for workstations, desktop computers, and mobile devices. The company is a major supplier of integrated circuits used for personal computer motherboard chipsets, graphics processing units (GPUs), and game consoles. Founded in 1993, NVIDIA is headquartered in Santa Clara, California.","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Chris Malachowsky, Curtis Priem, Jensen Huang",10001+,7,IPO,4065000000,USD,4065000000,4095000000,USD,4095000000,"Pioneer Holding Group, Sequoia Capital, TriplePoint Capital, DARPA, SoftBank Vision Fund",5,8,23,Public,1999-01-29,,,NVDA,https://www.crunchbase.com/ipo/nvidia-ipo--984a8497,NASDAQ
KeyBank,https://www.crunchbase.com/organization/keycorp,"Banking, Finance, Financial Services","Cleveland, Ohio, United States",KeyBank is a bank holding company. It is a bank-based financial services company.,8,"Great Lakes, Midwestern US",$1B to $10B,Active,1825-01-01,year,1978-01-13,day,,,For Profit,https://www.key.com,"KeyCorp, is a bank holding company. It is a bank-based financial services company. KeyCorp is the parent holding company for KeyBank National Association (KeyBank), its principal subsidiary, through which most of its banking services are provided. Through KeyBank and certain other subsidiaries, the Company provides a range of retail and commercial banking, commercial leasing, investment management, consumer finance and investment banking products and services to individual, corporate and institutional clients through two major business segments: Key Community Bank and Key Corporate Bank. In August 2013, KeyCorp closed on its agreement to sell Victory Capital Management and its broker dealer affiliate Victory Capital Advisers.","Financial Services, Lending and Investments",1,Samuel H. Mather,10001+,1,IPO,500000000,USD,500000000,500000000,USD,500000000,,,,6,Public,1978-01-13,,,KEY,https://www.crunchbase.com/ipo/keycorp-ipo--9b5a41b3,NYSE - New York Stock Exchange
Vicarius,https://www.crunchbase.com/organization/vicarius,"B2B, Cloud Security, Cyber Security, Enterprise, Enterprise Software, Software","New York, New York, United States",Vicarius develops a vulnerability remediation platform to help teams protect their apps and assets against software exploitation.,9,"Greater New York Area, East Coast, Northeastern US",$10M to $50M,Active,2016-05-23,day,,,,,For Profit,https://vicarius.io,"Vicarius helps Security and IT teams protect their most critical apps and assets against software exploitation through vRx, a consolidated end-to-end vulnerability remediation platform that combines discovery, prioritization, and mitigation in a single platform. Backed by tier-one Silicon Valley investors, Vicarius was founded by security experts on a mission to provide problem-solving remediation solutions that proactively reduce risk wherever assets reside. Effortlessly find and eliminate threats while reducing the strain on internal security resources, freeing up personnel to focus on other mission-critical tasks without sacrificing security. Get started for free today or learn more at https://vicarius.io Vicarius was founded in 2016 by three entrepreneurs from the information-security industry and operates from headquarters in New York and Tel Aviv.","Information Technology, Other, Privacy and Security, Software",3,"Michael Assraf, Roi Cohen, Yossi Zeevi",51-100,7,Early Stage Venture,56105000,USD,56105000,57755000,USD,57755000,"Jerusalem Venture Partners (JVP), Silicon Valley Bank, Bright Pixel, AllegisCyber, AlleyCorp",4,14,,Private,,,,,,
Amazon,https://www.crunchbase.com/organization/amazon,"Crowdsourcing, Delivery, E-Commerce, Retail","Seattle, Washington, United States","Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",12,"Greater Seattle Area, West Coast, Western US",$10B+,Active,1994-07-05,day,1997-05-15,day,,,For Profit,https://amazon.com,"Amazon operates a vast online marketplace where customers can purchase a wide variety of products, including electronics, books, apparel, household goods, and more. The company has a robust logistics and delivery network, allowing for efficient shipping and quick delivery times for customers around the world. Amazon started as an online bookstore but rapidly expanded its product and service offerings over the years.","Administrative Services, Commerce and Shopping, Other",1,Jeff Bezos,10001+,3,IPO,108000000,USD,108000000,8108000000,USD,8108000000,"DBS Bank, Mizuho Bank, Kleiner Perkins, AOL",1,4,98,Public,1997-05-15,,,AMZN,https://www.crunchbase.com/ipo/amazon-ipo--be4580aa,NASDAQ
PayPal,https://www.crunchbase.com/organization/paypal,"E-Commerce Platforms, FinTech, Mobile Payments, Transaction Processing","San Jose, California, United States",PayPal is a financial service company that provides online payment solutions to its users worldwide.,15,"San Francisco Bay Area, Silicon Valley, West Coast",$1B to $10B,Active,1998-12-01,day,2015-07-20,day,,,For Profit,https://www.paypal.com/home,"PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 375 million consumers and merchants in more than 200 markets to join and thrive in the global economy.","Commerce and Shopping, Financial Services, Internet Services, Mobile, Payments, Software",5,"Elon Musk, Ken Howery, Luke Nosek, Max Levchin, Peter Thiel",10001+,6,M&A,216000000,USD,216000000,5216000000,USD,5216000000,"Singtel, Sequoia Capital, Deutsche Bank, Goldman Sachs, Temasek Holdings",5,27,23,Public,2015-07-20,,,PYPL,https://www.crunchbase.com/ipo/paypal-ipo--9aae00d7,NASDAQ
Netflix,https://www.crunchbase.com/organization/netflix,"Digital Entertainment, Media and Entertainment, TV, Video Streaming","Los Gatos, California, United States",Netflix is an online streaming platform that enables users to watch TV shows and movies.,17,"San Francisco Bay Area, Silicon Valley, West Coast",$10B+,Active,1997-01-01,day,2002-05-23,day,,,For Profit,https://www.netflix.com,"Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD. The network enables members to access and view more than one billion hours of TV shows and movies per month, including Netflix's original series. Members can play, pause, and resume watching its content without commercial breaks or commitments. The company also provides DVDs-by-mail membership services. Netflix was founded in 1997 by Mitch Lowe, Reed Hastings, and Marc Randolph, and is headquartered in Los Gatos, California.","Content and Publishing, Media and Entertainment, Video",3,"Jim Cook, Marc Randolph, Reed Hastings",10001+,13,IPO,103735952,USD,103735952,5007714724,USD,5007714724,"TCV, Foundation Capital, IVP, WS Investments, Groupe Arnault",4,8,9,Public,2002-05-23,,,NFLX,https://www.crunchbase.com/ipo/netflix-ipo--0b074a76,NASDAQ
