Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Stock Symbol,Stock Symbol URL,Stock Exchange
Arizona Counties Insurance Pool,https://www.crunchbase.com/organization/arizona-counties-insurance-pool,"Auto Insurance, Government, Insurance, Property Insurance","Phoenix, Arizona, United States",Arizona Counties Insurance Pool is an insurance agency.,"584,000","Greater Phoenix Area, Western US",$10M to $50M,Active,1988-01-01,year,,,,,For Profit,https://www.aciponline.org,"The Arizona Counties Insurance Pool covers workers' compensation, auto, property, and casualty insurance. They provide county government with claim adjudication, risk management, and consultation services unique to county government.","Financial Services, Government and Military",,,11-50,,,,,,,,,,,,,Private,,,,,,
Electronics TakeBack Coalition,https://www.crunchbase.com/organization/electronics-takeback-coalition,"Electronics, Non Profit","Oakland, California, United States",Electronics TakeBack Coalition is a group of non-profit organizations that promote responsible recycling and green design.,"584,000","San Francisco Bay Area, West Coast, Western US",Less than $1M,Active,2001-01-01,year,,,,,For Profit,http://www.electronicstakeback.com,"Electronics TakeBack Coalition is a group of non-profit organizations that promote responsible recycling and green design in the electronics industry. The organization’s goal is to protect the health and well being of electronics users, workers, and the communities where electronics are produced and discarded by requiring consumer electronics manufacturers and brand owners to take full responsibility for the life cycle of their products through effective public policy requirements or enforceable agreements. Electronics TakeBack Coalition aims to improve the next generation of solid waste and toxic material policies, promote the manufacture of cleaner computers, curb the flow of toxic electronic waste by pushing manufacturers to take responsibility for their waste, internalize its cost in corporate bottom lines, and phase out the use of hazardous substances. Electronics TakeBack Coalition was founded in 2001 in Oakland, California.","Consumer Electronics, Hardware, Other, Social Impact",,,51-100,,,,,,,,,,,,,Private,,,,,,
EndOffice,https://www.crunchbase.com/organization/endoffice,"Cloud Computing, Data Center, Developer Tools, DevOps, Information Technology, Web Hosting","Boston, Massachusetts, United States","EndOffice is an IT firm that offers web hosting, hosted NAS, startup partnerships, cloud data, server management, and DevOps services.","584,001","Greater Boston Area, East Coast, New England",$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://endoffice.com,,"Hardware, Information Technology, Internet Services, Software",,,1-10,,,,,,,,,,,,,Private,,,,,,
Sears Contract,https://www.crunchbase.com/organization/sears-contract,"Commercial, Construction, Manufacturing, Project Management","Raleigh, North Carolina, United States","Sears Contract specializes in commercial metal stud construction, metal stud framing, gypsum wallboard and specialty systems.","584,001","Research Triangle, East Coast, Southern US",$10M to $50M,Active,1995-01-01,year,,,,,For Profit,https://www.searscontract.com/,,"Administrative Services, Manufacturing, Other, Real Estate",,,251-500,,,,,,,,,,,,,Private,,,,,,
ReadyNet Solutions,https://www.crunchbase.com/organization/readynet-solutions,"Computer, Consumer Electronics, Information Technology, Telecommunications","Midvale, Utah, United States",ReadyNet Solutions is a next-generation communications technology company founded in 1988.,"584,006",Western US,$10M to $50M,Active,1988-01-01,day,,,,,For Profit,http://www.readynetsolutions.com/,,"Consumer Electronics, Hardware, Information Technology",,,11-50,,,,,,,,,,,,,Private,,,,,,
Catholic Charities San Francisco,https://www.crunchbase.com/organization/catholic-charities-san-francisco,"Charity, Non Profit, Social, Social Assistance","San Rafael, California, United States","Catholic Charities San Francisco is a charity organization that offers housing, immigration, children, youth, and elderly support services.","584,007","San Francisco Bay Area, West Coast, Western US",$50M to $100M,Active,1907-01-01,year,,,,,Non-profit,https://www.catholiccharitiessf.org/,,"Community and Lifestyle, Government and Military, Other, Social Impact",,,501-1000,,,,,,,,,,,,,Private,,,,,,
Priority Metrics Group,https://www.crunchbase.com/organization/priority-metrics-group,"Consulting, Marketing","Spartanburg, South Carolina, United States",Priority Metrics Group is a marketing consulting firm.,"584,007","East Coast, Southern US",$1M to $10M,Active,1993-01-01,day,,,,,For Profit,https://pmgco.com/,,"Professional Services, Sales and Marketing",,,11-50,,,,,,,,,,,,,Private,,,,,,
Roots Apothecary,https://www.crunchbase.com/organization/roots-apothecary,"E-Commerce, Personal Health, Therapeutics, Wellness","Colorado Springs, Colorado, United States",Roots Apothecary is an e-commerce firm selling health care products.,"584,011",Western US,,Active,,,,,,,For Profit,https://www.rootsapothecary.com,"Roots Apothecary is a research, development, and retail brand for health care products that strengthen the foundational mechanisms by which the body takes care of itself. They follow the rapidly evolving medical research relating to the whole-body methodology and develop organic applications that bridge traditional approaches with modern knowledge. Their products include body care, face care, deodorant, beard care, mushrooms, tinctures, herbal tea, essential oils, and muscle rub.","Commerce and Shopping, Health Care",,,,,,,,,,,,,,,,Private,,,,,,
Foxx Capital Funding,https://www.crunchbase.com/organization/foxx-capital-funding,"Banking, Finance, Financial Services, Lending, Personal Finance","Astoria, New York, United States","Foxx Capital Funding provides mortgage, investment properties, cash-out refinance, commercial, construction, and home equity loan services.","584,012","Greater New York Area, East Coast, Northeastern US",Less than $1M,Active,1999-01-01,year,,,,,For Profit,https://www.foxxcapital.com,,"Financial Services, Lending and Investments",,,11-50,,,,,,,,,,,,,Private,,,,,,
Hollub Group,https://www.crunchbase.com/organization/hollub-group,"Construction, Home Services, Real Estate","Miami, Florida, United States",Hollub Group is a construction company that focuses on home building and remodeling services.,"584,013","Greater Miami Area, East Coast, Southern US",$1M to $10M,Active,1954-01-01,year,,,,,For Profit,https://hollubhomes.com/,"Renovating a house requires as much attention and focus as designing it from the ground up. Identifying the key aspects of the structure, the essence, and spirit of a house, and having a vision of what this can reveal through a renovation process is what we are known for. Like a sculptor with a block of marble, we see the potential, and transform it into a work of art, maintaining what is possible from the original structure and blending it with new work to enhance the house and its living experience.",Real Estate,2,"Helene Hollub, MARVIN HOLLUB",11-50,,,,,,,,,,,,,Private,,,,,,
