Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
Tony E. Williams CPA,https://www.crunchbase.com/organization/tony-e-williams-cpa,"Accounting, Consulting, Financial Services","Watseka, Illinois, United States","Tony E. Williams CPA provides accounting, bookkeeping, IRS representation, outsourcing, payroll, taxation and business consulting services.","3,200,005","Great Lakes, Midwestern US",Active,2002-03-03,day,,,,,For Profit,https://www.cpatony.com,,"Financial Services, Professional Services",,1-10,,,,,,,,,,,
Navarre Beach Realty Inc,https://www.crunchbase.com/organization/navarre-beach-realty-inc,Property Management,"Navarre, Florida, United States","Navarre Beach Realty Inc is a company which specialized in Rentals, Sales, & Property Management!","3,200,006","East Coast, Southern US",Active,2003-04-01,day,,,,,For Profit,https://navarrebeachrealty.com/,,Real Estate,,11-50,,,,,,,,,,,
ManyUP,https://www.crunchbase.com/organization/manyup,"Advertising, Lead Generation","Newport Beach, California, United States",ManyUP is an Advertising company.,"3,200,009","Greater Los Angeles Area, West Coast, Western US",Closed,,,,,,none,For Profit,http://www.manyUP.com,,"Advertising, Sales and Marketing",,1-10,,,,,,,,,,,
Redden Total Therapy,https://www.crunchbase.com/organization/redden-total-therapy,"Health Care, Therapeutics, Wellness","Henderson, Tennessee, United States","Redden Total Therapy provides manual, neurokinetic, and physical therapy.","3,200,016",Southern US,Active,2007-01-01,year,,,,,For Profit,https://reddentherapy.com,"Redden Total Therapy is a physiotherapy facility. They provide services that include back, neck pain, foot, ankle pain, shoulder pain, hip, knee pain, hand, wrist, elbow pain, TMJ, vertigo, sports injuries, neurological disorders, post-surgical rehab, balance, fall prevention, and workers' compensation services.",Health Care,,11-50,,,,,,,,,,,
MOPED Productions,https://www.crunchbase.com/organization/moped-productions,"Broadcasting, Digital Media, Video","Los Angeles, California, United States","MOPED Productions is a broadcasting firm that offers story strategy, planning, production, post-production, and impact activations services.","3,200,020","Greater Los Angeles Area, West Coast, Western US",Active,2007-01-01,year,,,,,For Profit,https://www.mopedproductions.tv/,"MOPED Productions is a digital media company that specializes in video production and broadcasting. The company focuses on the intersection of storytelling and technology, providing full-service digital media solutions. They assist in developing a story as a vehicle and then leveraging the platforms to share it with the world. MOPED Productions also works on social impact projects, creating videos that aim to make a difference. They have worked on a variety of projects, including solo shows, partner programming, and family conversations.","Media and Entertainment, Video",1,11-50,,,,,,,,,,,
Cuddlie Cuties,https://www.crunchbase.com/organization/cuddlie-cuties,E-Commerce,"Montgomery, New York, United States","Cuddlie Cuties is the best store which offers an extensive kind of top quality baby blankets, hats and car seat canopies.","3,200,024","Greater New York Area, East Coast, Northeastern US",Active,,,,,,,For Profit,https://www.cuddliecuties.com/,"Cuddlie Cuties is the best store which provides an extensive range of premium quality baby blankets, hats and car seat canopies. We offer an extensive collection of top quality baby blanket and car seat canopies at competitive cost.",Commerce and Shopping,,51-100,,,,,,,,,,,
DailyEsportz,https://www.crunchbase.com/organization/dailyesportz,"Communities, Sports","San Francisco, California, United States",DailyEsportz they are planning to launch a social network for Clash Royale players. ,"3,200,025","San Francisco Bay Area, West Coast, Western US",Closed,2017-01-01,year,,,,none,For Profit,https://DailyEsportz.com,,"Community and Lifestyle, Sports",,,,,,,,,,,,,
Bentley DeNight Insurance,https://www.crunchbase.com/organization/bentley-denight-insurance,"Consulting, Financial Services, Insurance","Saint Petersburg, Florida, United States",Bentley DeNight Insurance is a licensed independent insurance agency that offers insurance plans for all personal and business needs.,"3,200,026","Tampa Bay Area, East Coast, Southern US",Active,,,,,,,For Profit,http://www.bentleydenight.com/,,"Financial Services, Professional Services",,11-50,,,,,,,,,,,
TCM Bertha,https://www.crunchbase.com/organization/tcm-bertha,,"Morgan, Utah, United States",Company was started as a merger between two mining companies.,"3,200,028",Western US,Active,2006-10-06,day,,,,,For Profit,,"Company was started as a merger between two mining companies. They currently have several mines with good assays on 3.  They set up a pilot plant to concentrate ore in an environmentally clean manner. They are looking for up to $250,000  to expand the pilot plant and  clean up tailing piles on their land and mining claims. Their primary objective is to provide jobs and opportunity  for others to survive in this difficult economy.",,,1-10,1,,,,,145000,USD,145000,,,
Portero Concierge Services,https://www.crunchbase.com/organization/portero-concierge-services,"Event Management, Events, Small and Medium Businesses","Foothill Ranch, California, United States",Portero Concierge Services is a concierge services and event planning service company.,"3,200,031","Greater Los Angeles Area, West Coast, Western US",Active,1999-01-01,year,,,,,For Profit,https://porteroconcierge.com,,"Events, Media and Entertainment, Other",1,1-10,,,,,,,,,,,
