Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - Alquiler Seguro,https://www.crunchbase.com/funding_round/alquiler-seguro-series-unknown--a0f8b782,"Payments, Real Estate, Rental","Madrid, Madrid, Spain, Europe",Venture - Series Unknown,,,,2023-07-13,Alquiler Seguro,https://www.crunchbase.com/organization/alquiler-seguro,http://alquilerseguro.es,,,,Aurica Capital,Alquiler Seguro is a Residential Rental Company.,,Yes,$10M to $50M,,USD,,,1,Aurica Capital,1,,"27,001"
Grant - Affinna,https://www.crunchbase.com/funding_round/affinia-8d11-grant--532d5356,"Digital Entertainment, Events, SaaS, Ticketing","Louisville, Kentucky, United States, North America",Grant,25000,USD,25000,2023-08-15,Affinna,https://www.crunchbase.com/organization/affinia-8d11,https://www.affinna.com,,,,Community Foundation of Louisville,Affinna is an event ticketing and fan engagement platform that specializes in offering ticket booking and selling services.,,No,,25000,USD,25000,,1,Community Foundation of Louisville,1,1,"27,030"
Pre Seed Round - Shook,https://www.crunchbase.com/funding_round/shook-f080-pre-seed--c7f37184,"Freelance, Marketplace, SaaS, Virtual Workforce","Los Angeles, California, United States, North America",Pre-Seed,120000,USD,120000,2023-11-28,Shook,https://www.crunchbase.com/organization/shook-f080,https://shoook.io,,,,Techstars,Shook's infrastructure as a service enables any service-providing agency to transform their offering into an expert marketplace,Seed,Yes,,120000,USD,120000,Seed,1,Techstars,1,,"27,048"
Pre Seed Round - Afforai,https://www.crunchbase.com/funding_round/afforai-pre-seed--9a6c7178,"Artificial Intelligence (AI), Productivity Tools, SaaS, Vertical Search","Austin, Texas, United States, North America",Pre-Seed,100000,USD,100000,2023-07-01,Afforai,https://www.crunchbase.com/organization/afforai,https://afforai.com,,,,Sputnik ATX,Your second brain to distill infinite knowledge to produce TRUSTWORTHY research,Seed,Yes,,820000,USD,820000,Seed,2,Sputnik ATX,1,,"27,000"
Seed Round - Office Otter,https://www.crunchbase.com/funding_round/office-otter-seed--57814ca4,"SaaS, Software, Task Management","Los Angeles, California, United States, North America",Seed,,,,2021-04-30,Office Otter,https://www.crunchbase.com/organization/office-otter,https://www.officeotter.com/,,,,"Alumni Ventures, Root and Shoot Ventures, Titan Angels",Office Otter provides a centralized communication task management platform offering on-demand insights.,Seed,Yes,,,USD,,Seed,1,,3,,"27,001"
Seed Round - Nolus,https://www.crunchbase.com/funding_round/nolus-seed--933a982b,"Asset Management, Financial Services, Risk Management","Tórtola, Castilla-La Mancha, Spain, Europe",Seed,2500000,USD,2500000,2023-05-02,Nolus,https://www.crunchbase.com/organization/nolus,https://nolus.io,17500000,USD,17500000,"Autonomy Capital, Cogitent Ventures, DoraHacks, Everstake, Token Metrics",Nolus is an interoperable application on Cosmos.,Seed,Yes,,2500000,USD,2500000,Seed,3,,5,,"27,003"
Pre Seed Round - Roost,https://www.crunchbase.com/funding_round/roost-dbd9-pre-seed--802ab457,"Construction, Green Building, Home Services","London, England, United Kingdom, Europe",Pre-Seed,120000,USD,120000,2023-10-11,Roost,https://www.crunchbase.com/organization/roost-dbd9,https://roostrent.com/,,,,Techstars,Roost builds co-operative housing societies that is managed by the people who live in it.,Seed,Yes,,120000,USD,120000,Seed,1,Techstars,1,1,"27,062"
Pre Seed Round - Antares Health,https://www.crunchbase.com/funding_round/antares-health-pre-seed--aec79bf4,"Fertility, Health Care, Medical","London, England, United Kingdom, Europe",Pre-Seed,120000,USD,120000,2023-10-11,Antares Health,https://www.crunchbase.com/organization/antares-health,https://www.antares.health/,,,,Techstars,Antares Health is a medical care company that provides fertility treatments.,Seed,Yes,,120000,USD,120000,Seed,1,Techstars,1,,"27,097"
Pre Seed Round - Alt/Finance,https://www.crunchbase.com/funding_round/alt-finance-pre-seed--dd137b88,"Artificial Intelligence (AI), Finance, Generative AI","New York, New York, United States, North America",Pre-Seed,120000,USD,120000,2023-10-15,Alt/Finance,https://www.crunchbase.com/organization/alt-finance,https://www.altfndata.com/,,,,Techstars,"Alt/Finance is an alternative investment using real-time data, spurring innovation in insurance, lending and asset/wealth management.",Seed,Yes,,120000,USD,120000,Seed,1,Techstars,1,,"27,083"
Venture Round - Litecore,https://www.crunchbase.com/funding_round/litecore-series-unknown--e149d5ff,"Information Services, Manufacturing, Semiconductor","Fuhou, Fujian, China, Asia",Venture - Series Unknown,,,,2023-08-14,Litecore,https://www.crunchbase.com/organization/litecore,https://www.litecore.com.cn/sy,,,,"Fosun International, Legend Capital, Xiamen C&D Emerging Industry Equity Investment","Litecore is a manufacturer of optoelectronic devices and processors for broadband, large data centers, and information security.",,Yes,,,USD,,,2,Legend Capital,3,1,"27,026"
