Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Venture Round - Sweep,https://www.crunchbase.com/funding_round/sweep-series-unknown--8cf07fb2,"Banking, Financial Services, FinTech, Personal Finance","San Francisco, California, United States, North America",Venture - Series Unknown,,,,2015-05-19,Sweep,https://www.crunchbase.com/organization/sweep,http://sweep.co,,,,Village Capital,"Save intelligently, spend confidently.",,Yes,Less than $1M,1000000,USD,1000000,M&A,3,,1,,"194,405"
Equity Crowdfunding - Little Yellow Bird,https://www.crunchbase.com/funding_round/little-yellow-bird-equity-crowdfunding--8cc7796e,"E-Commerce, Fashion","Wellington, Wellington, New Zealand, Oceania",Equity Crowdfunding,472818,NZD,311193,2019-06-20,Little Yellow Bird,https://www.crunchbase.com/organization/little-yellow-bird,https://littleyellowbird.com,,,,,Little Yellow Bird  is a garment startup.,,Yes,Less than $1M,1511193,USD,1511193,,2,,,,"194,407"
Seed Round - the gut stuff,https://www.crunchbase.com/funding_round/the-gut-stuff-seed--1ef2496b,"Food and Beverage, Health Care, Retail, Wellness","London, England, United Kingdom, Europe",Seed,,,,2019-12-01,the gut stuff,https://www.crunchbase.com/organization/the-gut-stuff,https://thegutstuff.com,,,,Astanor Ventures,The Gut Stuff offers online health tips and fiber chocolates.,Seed,Yes,$1M to $10M,321662,GBP,411513,,2,,1,,"194,460"
Seed Round - cheerapp,https://www.crunchbase.com/funding_round/cheerapp-seed--d20bb4a4,"Apps, Messaging, Navigation, Shopping","Augsburg, Bayern, Germany, Europe",Seed,220000,USD,220000,2014-06-10,cheerapp,https://www.crunchbase.com/organization/cheerapp,http://theappthatchangestheworld.com/,,,,,"A realtime messaging app to facilitate contact, help, service and sales, anonymously, for smartphone users in close proximity.",Seed,Yes,,220000,USD,220000,Seed,1,,,,"194,464"
Private Equity Round - AdvisorPort,https://www.crunchbase.com/funding_round/advisorport-private-equity--99af88f8,Consulting,"Plymouth Meeting, Pennsylvania, United States, North America",Private Equity,5000000,USD,5000000,2002-11-01,AdvisorPort,https://www.crunchbase.com/organization/advisorport,https://www.advisorport.com/,,,,Newhouse Special Situations Fund I,AdvisorPort is a fully integrated and competitively priced investment consulting platform that enables advisors and brokers to automate.,Private Equity,Yes,Less than $1M,10000000,USD,10000000,M&A,2,Newhouse Special Situations Fund I,1,,"194,479"
Grant - MyMusic.com.ng,https://www.crunchbase.com/funding_round/mymusic-com-ng-grant--16478579,"Mobile, Music, Payments","Lagos, Lagos, Nigeria, Africa",Grant,,,,2017-06-22,MyMusic.com.ng,https://www.crunchbase.com/organization/mymusic-com-ng,https://www.mymusic.com.ng/,,,,THE WORLD BANK,Africa's music streaming and download service,,No,$1M to $10M,,USD,,,3,,1,,"194,483"
Grant - Visikol,https://www.crunchbase.com/funding_round/visikol-grant--cc1bdeed,"Analytics, Biotechnology, Developer Tools, Information Technology, Neuroscience","Whitehouse Station, New Jersey, United States, North America",Grant,115000,USD,115000,2019-09-21,Visikol,https://www.crunchbase.com/organization/visikol,http://visikol.com/,,,,,"Visikol is a contract research organization focused on digital pathology, 3D tissue imaging and 3D cell culture assays and models.",,No,Less than $1M,4748999,USD,4748999,M&A,9,,,,"194,489"
Venture Round - Shenzhen Daotong Technology,https://www.crunchbase.com/funding_round/autel-897f-series-unknown--32911025,"Automotive, Electronics, Manufacturing","Shenzhen, Guangdong, China, Asia",Venture - Series Unknown,50000000,CNY,7923239,2018-03-06,Shenzhen Daotong Technology,https://www.crunchbase.com/organization/autel-897f,http://www.auteltech.cn,,,,"Shenzhen Lava Ventures, TI-Capital",Autel is an automotive electronic products manufacturer.,,Yes,$1M to $10M,103000000,CNY,16001012,IPO,3,,2,,"194,491"
Post-IPO Equity - Quokka Sports,https://www.crunchbase.com/funding_round/quokka-sports-inc-post-ipo-equity--7f5a2f80,"Digital Entertainment, Information Technology, Sports","San Francisco, California, United States, North America",Post-IPO Equity,76000000,USD,76000000,2000-09-18,Quokka Sports,https://www.crunchbase.com/organization/quokka-sports-inc,http://www.quoka.de/,,,,"Accele Venture Partners, AllegisCyber, GE Capital, Trinity Ventures, Wakefield Group",Quokka Sports provides sports entertainment services for the global digital world.,,Yes,,76000000,USD,76000000,IPO,1,,5,,"194,496"
Post-IPO Debt - LBT Innovations Limited,https://www.crunchbase.com/funding_round/lbt-innovations-limited-post-ipo-debt--96438f63,"Artificial Intelligence (AI), Clinical Trials, Health Care, Health Diagnostics, Medical Device","Adelaide, South Australia, Australia, Oceania",Post-IPO Debt,4000000,USD,4000000,2018-02-19,LBT Innovations Limited,https://www.crunchbase.com/organization/lbt-innovations-limited,http://www.lbtinnovations.com/,,,,,Designer of platform AI and intelligent imaging technology for automated analysis of microbiology processes.,,No,Less than $1M,6500000,USD,6500000,IPO,2,,,,"194,499"
Seed Round - BrainFx,https://www.crunchbase.com/funding_round/brainfx-seed--f88f42a5,"Health Care, Medical, Neuroscience","Pickering, Ontario, Canada, North America",Seed,,,,2015-10-18,BrainFx,https://www.crunchbase.com/organization/brainfx,http://brainfx.com/,,,,Creative Destruction Lab (CDL),BrainFx develops assessment tools for neurofunction.,Seed,Yes,$1M to $10M,500000,USD,500000,M&A,5,,1,,"194,503"
