Transaction Name,Transaction Name URL,Organization Industries,Organization Location,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Name,Organization Name URL,Organization Website,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation Currency (in USD),Investor Names,Organization Description,Funding Stage,Equity Only Funding,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - CareLuLu,https://www.crunchbase.com/funding_round/carelulu-seed--d9875c7f,"Child Care, Education","Oakland, California, United States, North America",Seed,1700000,USD,1700000,2014-11-01,CareLuLu,https://www.crunchbase.com/organization/carelulu,http://www.CareLuLu.com,,,,"500 Global, Khosla Ventures, The Startup Factory, Tuesday Capital",CareLuLu is the easiest way for parents to find a daycare or preschool that fits their family's needs.,Seed,Yes,Less than $1M,1700000,USD,1700000,Seed,1,Khosla Ventures,4,,"298,928"
Seed Round - MetaLogics,https://www.crunchbase.com/funding_round/metalogics-seed--c558b09d,"Health Care, Personal Health, Software, Wearables, Wellness","Minneapolis, Minnesota, United States, North America",Seed,200000,USD,200000,2011-12-28,MetaLogics,https://www.crunchbase.com/organization/metalogics,https://www.metalogicscorp.com/,,,,,MetaLogics manufactures and markets wearable calorie monitoring devices that measure metabolism.,Seed,Yes,Less than $1M,200000,USD,200000,Seed,2,,,,"298,984"
Debt Financing - SmartStory Technologies,https://www.crunchbase.com/funding_round/transilio-debt-financing--3d624906,"Analytics, CRM, E-Commerce, Enterprise Software, Marketing Automation","Meridian, Idaho, United States, North America",Debt Financing,2459222,USD,2459222,2015-07-21,SmartStory Technologies,https://www.crunchbase.com/organization/transilio,http://www.smartstory.com/,,,,,SmartStory develops an enterprise content delivery and analytics platform designed to help businesses communicate more effectively.,,No,$1M to $10M,20140949,USD,20140949,,5,,,,"299,025"
Series F - Strava,https://www.crunchbase.com/funding_round/strava-series-f--426ed0aa,"Fitness, Internet, Mobile, Social Network, Sports","San Francisco, California, United States, North America",Series F,110000000,USD,110000000,2020-11-17,Strava,https://www.crunchbase.com/organization/strava,http://www.strava.com,1390000000,USD,1390000000,"Dragoneer Investment Group, Go4it Capital, Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital, TCV","Strava is an online network where runners and cyclists can record their activities, compare performance, and compete with their community.",Late Stage Venture,Yes,$50M to $100M,151850000,USD,151850000,Late Stage Venture,7,"Sequoia Capital, TCV",6,3,"299,048"
Post-IPO Equity - Metalla Royalty & Streaming,https://www.crunchbase.com/funding_round/metalla-royalty-streaming-post-ipo-equity--6c59703f,"Mining, Mining Technology, Precious Metals","Vancouver, Alberta, Canada, North America",Post-IPO Equity,3943818,USD,3943818,2017-02-13,Metalla Royalty & Streaming,https://www.crunchbase.com/organization/metalla-royalty-streaming,https://www.metallaroyalty.com/,,,,,Metalla Royalty & Streaming generates leveraged precious metal exposure by acquiring royalties and streams.,,Yes,$1M to $10M,77414959,USD,77414959,IPO,6,,,,"299,049"
Venture Round - Pots & Co,https://www.crunchbase.com/funding_round/pots-co-series-unknown--5951afdc,Restaurants,"London, England, United Kingdom, Europe",Venture - Series Unknown,16700000,EUR,20014381,2021-04-14,Pots & Co,https://www.crunchbase.com/organization/pots-co,http://www.potsandco.com/,,,,301,"Pots & Co has a divine range of individual desserts, developed by Michelin-trained chefs for restaurant quality at home.",,Yes,$10M to $50M,16700000,EUR,20014382,,1,301,1,1,"299,054"
Venture Round - LoyalTree,https://www.crunchbase.com/funding_round/loyaltree-series-unknown--3f067470,"Hospitality, Retail, Software, Sports","Pittsburgh, Pennsylvania, United States, North America",Venture - Series Unknown,644840,USD,644840,2012-09-07,LoyalTree,https://www.crunchbase.com/organization/loyaltree,http://www.loyaltree.com/,,,,,"LoyalTree is an industry leading rewards platform for hospitality, retail, and sports.",,Yes,$1M to $10M,1369840,USD,1369840,M&A,4,,,,"299,070"
Seed Round - inZair,https://www.crunchbase.com/funding_round/inzair-seed--1fd9e726,"Messaging, Privacy, SMS","Plan-les-ouates, Geneve, Switzerland, Europe",Seed,100000,USD,100000,2011-01-01,inZair,https://www.crunchbase.com/organization/inzair,http://www.inzair.com,,,,,InZair is a mobile messaging platform that uses geo-localized messaging to enable its users to communicate with others.,Seed,Yes,Less than $1M,770000,USD,770000,Seed,3,,,,"299,080"
Post-IPO Equity - Biolase,https://www.crunchbase.com/funding_round/biolase-post-ipo-equity--00ee94f4,"3D Printing, Biotechnology, Health Care, Manufacturing, Medical Device","Foothill Ranch, California, United States, North America",Post-IPO Equity,10000000,USD,10000000,2016-08-01,Biolase,https://www.crunchbase.com/organization/biolase,http://biolase.com,,,,Oracle,Biolase develops lasers and related products for providing biological treatments that reduce pain.,,Yes,$1M to $10M,121082753,USD,121082753,IPO,13,,1,,"299,084"
Seed Round - Joopp,https://www.crunchbase.com/funding_round/joopp-seed--befba7df,"Advertising, App Marketing, Apps, Mobile, Small and Medium Businesses, Social Media","The Hague, Zuid-Holland, The Netherlands, Europe",Seed,15000,EUR,20328,2013-10-13,Joopp,https://www.crunchbase.com/organization/joopp,http://www.joopp.com,,,,"Startupbootcamp, Startupbootcamp Commerce Amsterdam",Websites that create and update themselves,Seed,Yes,$1M to $10M,15000,EUR,20328,Seed,1,,2,,"299,091"
