Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Hookipa Pharma,https://www.crunchbase.com/organization/hookipa-biotech,"Biotechnology, Clinical Trials, Oncology, Therapeutics","Vienna, Wien, Austria",Hookipa is a clinical stage biotech company developing best-in-class active immunization therapies for infectious diseases and oncology.,"4,148",$1M to $10M,Active,2011-08-07,day,2019-04-17,day,,,For Profit,https://www.hookipapharma.com/,"Hookipa Biotech is a clinical stage company developing next-generation immunotherapies for infectious diseases and cancer using novel proprietary arenavirus vector platforms.  Hookipa´s TheraT® and Vaxwave® platforms have shown promising abilities to elicit high neutralizing antibody responses, but also necessary levels of T cell responses, currently missing in most vaccine and therapeutic approaches. Hookipa’s vectors are not impeded by vector-neutralizing antibodies and can be administered repeatedly, providing even greater immune protection. Levels of specific T cells generated by TheraT® are unprecedented in the field and have the potential to transform active immune-therapy in cancers. Hookipa has completed the active phase of a Phase 1 trial of a Vaxwave®-based vaccine against cytomegalovirus (CMV) and is finalizing clinical development plans for TheraT® in Human Papilloma Virus (HPV)- related head and neck cancers. ",IPO,288726431,USD,288726431
Aether Biomedical,https://www.crunchbase.com/organization/aether-biomedical,"Artificial Intelligence (AI), Biotechnology, Electronics, Health Care, Information Technology, Medical, Medical Device, Robotics","Poznan, Wielkopolskie, Poland",Aether Biomedical is a rehabiliation robotics startup focused on building bionic limbs for upper limb amputees,"13,969",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.aetherbiomedical.com,"Aether Biomedical is a medical robotics startup focused on AI based biomedical signal processing for development of rehabilitation robotics devices. Zeus, developed by Aether Biomedical, is a multi action bionic limb filling the gap of low cost - high efficacy bionic limbs.",Early Stage Venture,11283322,USD,11283322
Themis Bioscience,https://www.crunchbase.com/organization/themis-bioscience,"Biotechnology, Clinical Trials, Health Care","Vienna, Wien, Austria",Themis Bioscience is a start-up biotechnology company.,"26,764",$1M to $10M,Active,2009-09-01,month,2020-05-26,day,,,For Profit,http://www.themisbio.com/,"Themis Bioscience is a start-up biotechnology company developing vaccines to prevent infectious diseases. The company’s development focus is primarily concentrated on emerging and specialist indications, advancing promising vaccines from preclinical to late-stage clinical development phases. We aim to exploit the increasing licensing and acquisition trend to generate value by developing and partnering our technology programs and vaccine candidates. It is our mission to establish Themis as a first class biotech development boutique and to become a preferred licensing partner for leading biotech and pharmaceutical companies.",M&A,150218858,USD,150218858
Arkeon Biotechnologies,https://www.crunchbase.com/organization/arkeon-biotechnologies,"Biotechnology, Organic Food","Tulln, Niederosterreich, Austria",Arkeon Bio is a biotechnology company that captures CO2 from industry and converts inorganic gases into organic food.,"26,772",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://arkeon.bio,Arkeon Bio is a biotechnology company that captures CO2 from industry and converts inorganic gases into organic food.,Seed,10500000,EUR,11329937
Fermify,https://www.crunchbase.com/organization/fermify,"Artificial Intelligence (AI), Biopharma, Biotechnology","Gerasdorf Bei Wien, Niederosterreich, Austria",Fermify is to domesticate microorganisms and build a super simple and fully automated production platform.,"26,811",$1M to $10M,Active,2021-01-01,year,,,,,For Profit,https://www.fermify.org/,Fermify is to domesticate microorganisms and build a super simple and fully automated production platform to address the issue of large-scale milk protein production.,,6683532,USD,6683532
Ribbon Biolabs,https://www.crunchbase.com/organization/ribbon-biolabs,Biotechnology,"Vienna, Wien, Austria",Ribbon Biolabs defines new standards for molecular biology by applying innovative methods for DNA synthesis.,"27,258",Less than $1M,Active,2018-01-01,year,,,,,For Profit,http://www.ribbonbiolabs.com/,Ribbon Biolabs defines new standards for molecular biology by applying innovative methods for DNA synthesis.,Early Stage Venture,18000000,EUR,20212909
Genomtec,https://www.crunchbase.com/organization/genomtec,"Biotechnology, Health Care, Life Science, Medical Device","Wroclaw, Dolnoslaskie, Poland",Genomtec is a biotechnology company that develops mobile technology designed for molecular diagnostics.,"28,779",Less than $1M,Active,2016-11-22,day,,,,,For Profit,http://genomtec.com/en/,"Genomtec is a biotechnology company that develops mobile technology designed for molecular diagnostics. The company also develops a smartphone-sized genetic analyzer for infection detection in a doctor's office in less than 15 minutes, thanks to patent-pending optical, contactless heating technology. It is also a condition for humanity to be able to effectively fight such threats as growing antibiotic resistance, an increase in the number of cancer cases, or complications due to bacterial and viral infections.  Genomtec's technology combines mobility with an incredible simplicity of testing by applying biological material to the reaction card and send a report directly to an email address to electronic medical record systems, enabling physician to analyze biological materials for amplification of deoxyribonucleic acid and ribonucleic acid fragments.",,10713545,USD,10713545
Proteon Pharmaceuticals,https://www.crunchbase.com/organization/proteon-pharmaceuticals,Biotechnology,"Lodz, Lodzkie, Poland",Proteon Pharmaceuticals is an innovative biotech company.,"30,121",,Active,2005-01-01,year,,,,,For Profit,http://proteonpharma.com/,"PROTEON uses precision biology for microbiome protection to improve animal and human health, increasing environmental sustainability and eliminating the unnecessary use of antibiotics. We have developed a platform to develop and deliver bacteriophages for animal health solutions. Our pipeline includes solutions to prophylactically improve performance and food safety in poultry, as well as important prevent economically important bacterial diseases in aquaculture and dairy.",,21000000,EUR,24616106
Nabriva Therapeutics,https://www.crunchbase.com/organization/nabriva-therapeutics,"Biotechnology, Health Care, Medical","Vienna, Wien, Austria",Nabriva Therapeutics is a biopharmaceutical company focused on the R&D of antibiotics for use in community and hospital infections.,"31,524",$1M to $10M,Active,2001-01-01,year,2015-09-18,day,,,For Profit,http://www.nabriva.com,"Nabriva Therapeutics is a biopharmaceutical company engaged in the commercialization and development of innovative anti-infective agents to treat serious infections. Nabriva Therapeutics received U.S. Food and Drug Administration approval for XENLETA® (lefamulin injection, lefamulin tablets), the first systemic pleuromutilin antibiotic for community-acquired bacterial pneumonia (CABP). Nabriva Therapeutics is also developing CONTEPO™ (fosfomycin) for injection, a potential first-in-class epoxide antibiotic for complicated urinary tract infections (cUTI), including acute pyelonephritis. Nabriva entered into an exclusive agreement with subsidiaries of Merck & Co. Inc., Kenilworth, N.J., USA to market, sell and distribute SIVEXTRO® (tedizolid phosphate) in the United States and certain of its territories.",IPO,325869173,USD,325869173
Ryvu,https://www.crunchbase.com/organization/ryvu,"Biotechnology, Health Care, Medical, Oncology, Pharmaceutical","Krakow, Malopolskie, Poland",Ryvu is a biopharmaceutical company developing small molecule therapies that address clinical limitations of current treatments in oncology.,"31,931",$50M to $100M,Active,2007-01-01,day,2013-01-04,day,,,For Profit,https://ryvu.com/,Ryvu is a biopharmaceutical company developing small-molecule therapies that address the clinical limitations of current treatments in oncology.,IPO,62837683,USD,62837683
