Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Galapagos,https://www.crunchbase.com/organization/galapagos,"Biopharma, Biotechnology, Clinical Trials, Health Care, Medical","Mechelen-bovelingen, Limburg, Belgium","Galapagos is a clinical-stage biotechnology company, specialized in the discovery and development of small molecule medicines with novel.","4,209",$100M to $500M,Active,1999-01-01,year,2017-10-05,day,,,For Profit,http://www.glpg.com,"Galapagos is a clinical-stage biotechnology company, specialized in the discovery and development of small molecule medicines with novel modes of action. Our ambition is to become a leading global biopharmaceutical company, focused on the discovery, development and commercialization of innovative medicines that will improve people's lives.",IPO,5446287155,USD,5446287155
Aphea.Bio,https://www.crunchbase.com/organization/aphea-bio,"Agriculture, Biotechnology, Chemical","Zwijnaarde, Oost-Vlaanderen, Belgium",Aphea.Bio offers research and development in the areas of bioinsecticides and bioherbicides.,"9,105",$1M to $10M,Active,2017-06-26,day,,,,,For Profit,http://aphea.bio/,"Aphea.Bio will develop next generation ‘biopesticides’ based on natural microorganisms. These products will provide an alternative for chemical pesticides, which are currently under serious pressure. In addition, the company will develop novel ‘biostimulants’, i.e. microorganisms that stimulate crop growth, for example through promoting the uptake of nutrients from the soil.",Late Stage Venture,101000000,EUR,113468140
Protealis,https://www.crunchbase.com/organization/protealis,"Agriculture, AgTech, Biotechnology","Gent, Oost-Vlaanderen, Belgium",Sustainable plant proteins for Europe​,"10,079",,Active,2021-01-01,year,,,,,For Profit,https://www.protealis.com/,Protealis creates improved seeds and seed technologies for legume crops in order to improve their adaptability to the European environment. The objective of the company is to be Europe's best germplasm provider for sustainable plant proteins.,Early Stage Venture,39400000,EUR,44595920
Biobest,https://www.crunchbase.com/organization/biobest,"Agriculture, Biotechnology, Food Processing, Health Care, Manufacturing","Westerlo, Antwerpen, Belgium",Biobest is develops and supplies natural crop care systems.,"11,002",$100M to $500M,Active,1987-01-01,year,,,,,For Profit,http://www.biobestgroup.com/,"Biobest N.V. develops and supplies natural crop care systems. It specializes in bumblebee pollination and sustainable crop management. The company offers biological pollination products, such as bumblebees; biological control products, which include beneficial insects and mites, beneficial nematodes, and biopesticides; and monitoring and scouting products, including sticky traps and rolls, pheromone traps, and pheromone lures and attractants to growers.",,420000000,EUR,453145472
AgomAb Therapeutics,https://www.crunchbase.com/organization/agomab-therapeutics,"Biotechnology, Health Care, Therapeutics","Ghent, Oost-Vlaanderen, Belgium",AgomAb Therapeutics is a Company is developing growth factor-mimetic agonistic monoclonal antibodies to regenerate damaged tissues.,"11,423",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://agomab.com/,"AgomAb is developing molecular therapies for the regeneration of damaged tissues. Their unique agonistic monoclonal antibody molecules (“agomAbs”) stimulate molecular and cellular repair mechanisms that have the potential to restore organ function in patients with fibrotic, inflammatory, autoimmune and degenerative diseases.",Late Stage Venture,236963512,USD,236963512
Biotalys,https://www.crunchbase.com/organization/agrosavfe,"Agriculture, AgTech, Biotechnology","Ghent, Oost-Vlaanderen, Belgium",Biotalys is an AgTech company that employs its proprietary AGROBODY™ technology platform to develop crop protection products.,"11,885",$1M to $10M,Active,2013-01-01,year,2021-07-02,day,,,For Profit,https://biotalys.com/,"Biotalys is an Agricultural Technology (AgTech) company that employs its proprietary Agrobody technology platform to develop crop and food protection products. The company develops a new generation of protein-based biocontrol solutions, shaping the future of sustainable and safe food supply. Biotalys' unique protein-based biocontrols combine the high-performance characteristics of chemicals with the clean safety profile of biologicals, making them ideal crop protection agents for both pre- and post-harvest applications. It was incorporated in 2013 and is based in the Biotech hub in Ghent, Belgium.",IPO,77587143,USD,77587143
eTheRNA immunotherapies,https://www.crunchbase.com/organization/etherna,"Biotechnology, Health Care, Medical Device, Therapeutics","Jette, Brussels Hoofdstedelijk Gewest, Belgium",eTheRNA develops immunotherapies that target the fundamental role of dendritic cells in the human immune system.,"19,356",$10M to $50M,Active,2013-01-01,month,,,,,For Profit,http://www.etherna.be/,"eTheRNA immunotherapies' mission is to help patients to overcome certain cancers and infectious diseases by developing novel immunotherapies that target the fundamental role of dendritic cells in the human immune system. eTheRNA’s proprietary mRNA-based TriMix technology boosts dendritic cells leading to a more comprehensive, sustainable and safer enhancement of the patient’s immune system than any other similar approach investigated until now.",Early Stage Venture,111909485,USD,111909485
Univercells,https://www.crunchbase.com/organization/univercells,"Biotechnology, Health Care, Manufacturing","Gosselies, Hainaut, Belgium","Univercells is a One-stop-shop for high-density low-cost biomanufacturing ""end-to-end"" solutions","20,505",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,http://univercells.com/,"Univercells is a One-stop-shop for high-density low-cost biomanufacturing ""end-to-end"" solutions, with innovative engineering able to decrease the needs for investments of over 75% and the cost of goods of up to 90%. Univercells' technologies, aimed at low cost manufacturing of antibodies/proteins/vaccines, is based on single-use technologies, and chaining of three manufacturing steps into simulated continuous mode : cell culture under perfusion, clarification and capture.",Late Stage Venture,261718405,USD,261718405
ONTOFORCE,https://www.crunchbase.com/organization/ontoforce,"Analytics, Biotechnology, Business Intelligence, Data Integration, Data Visualization, Information Services, Information Technology, Life Science, Pharmaceutical, Software","Ghent, Oost-Vlaanderen, Belgium",ONTOFORCE is a Belgian leading company in semantic technologies with an innovative solution to improve information management.,"22,870",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://www.ontoforce.com,"ONTOFORCE helps life sciences organizations accelerate research and drug development for improved patient outcomes by unlocking hidden insights from data. Founded on semantic technology and an ontology-based knowledge graph, their flagship product, DISQOVER, is a data and knowledge platform developed specifically for the life sciences industry. DISQOVER seamlessly connects an organization’s internal, siloed data with licensed data and public data in one easy-to-use, customizable platform, enabling efficient data exploration and analysis.    DISQOVER has over 10,000 users across the globe and is deployed by many leading pharmaceutical and biotechnology companies. Users include scientific researchers, bioinformaticians, data scientists, and many other roles.  ONTOFORCE is headquartered in Ghent, Belgium and has a secondary office in the United States in Cambridge, Massachusetts. Learn more about ONTOFORCE at ontoforce.com and try DISQOVER at disqover.com.",Early Stage Venture,7500000,EUR,9132378
Promethera Biosciences,https://www.crunchbase.com/organization/promethera-biosciences,"Biotechnology, Pharmaceutical, Therapeutics","Mont-saint-guibert, Brabant Wallon, Belgium",Promethera Biosciences is a biopharmaceutical company focused on cell therapy products to treat liver diseases.,"25,137",$10M to $50M,Active,2009-01-01,year,,,,,For Profit,https://www.promethera.com/,"PrometheraÂ® Biosciences is a biopharmaceutical company, spin-off of the UniversitÃ© Catholique de Louvain, that develops innovative treatments based on allogeneic adult stem cell technology. PrometheraÂ® Biosciences' mission is to discover, develop and commercialize cell therapy products to treat liver diseases in an innovative way using allogenic progenitor cells from healthy human livers. PrometheraÂ® Biosciences develops two products based on a newly discovered and patented progenitor cell type: the human Adult Liver-Derived Mesenchymal Progenitor Cell (hALDMSC):",Late Stage Venture,149103124,USD,149103124
