Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Evaxion Biotech,https://www.crunchbase.com/organization/evaxion-biotech,Biotechnology,"Copenhagen, Hovedstaden, Denmark",Evaxion Biotech is devoted to the discovery and development of vaccines against cancer and infectious diseases.,"1,225",$1M to $10M,Active,2008-01-01,year,2021-02-04,day,,,For Profit,http://evaxion-biotech.com/,"Evaxion Biotech A/S is a clinical-stage AI-immunology™ platform company decoding the human immune system to discover and develop novel immunotherapies to treat cancer and infectious diseases. Based on its proprietary and scalable AI-immunology core technology, Evaxion is developing a broad pipeline of novel product candidates which currently includes three patient-specific cancer immunotherapies, two of which are in Phase I/IIa clinical development. In addition, Evaxion is advancing a portfolio of vaccines to prevent bacterial and viral infections with one program currently in preclinical development against S. aureus (including Methicillin-resistant S. aureus) induced skin and soft tissue infections.",IPO,92000000,USD,92000000
CardioSignal,https://www.crunchbase.com/organization/precordior,"Apps, Biotechnology, Health Care, Manufacturing, Medical, Medical Device, Mobile Apps, Sensor","Turku, Western Finland, Finland","CardioSignal offers a digital cardiac biomarker for self-monitoring, remote care, and point-of-care diagnostics.","1,522",$1M to $10M,Active,2016-12-14,day,,,,,For Profit,https://www.cardiosignal.com,"We develop groundbreaking solutions for the detection of heart diseases. CardioSignal is a mobile application and a certified medical device for the detection of atrial fibrillation. Originally an academic spinoff, the company’s patented technology is built on a decade of research and algorithm development. CardioSignal is a brand and a product by Precordior. www.cardiosignal.com",Early Stage Venture,15229881,USD,15229881
Getinge,https://www.crunchbase.com/organization/getinge,"Biotechnology, Health Care, Life Science, Medical, Medical Device","Gothenburg, Vastra Gotaland, Sweden",Getinge identifies customer issues and promotes clinical and economic benefits and follow and support the customer decision process.,"1,566",$1B to $10B,Active,1990-10-16,day,2002-06-28,day,,,For Profit,https://www.getinge.com,"Getinge’s offering is mainly targeted at care providers, care givers and care receivers. The offering to hospitals is organized in three areas: Enable, Treat and Care. This allows Getinge to identify customer issues at an early stage, promote clinical and economic benefits and follow and support the customer decision process. Getinge’s unique offering mirrors the hospital’s organization and value chain, and the solutions are used before, during and after the patients’ hospital stay.",IPO,539307200,USD,539307200
Zealand Pharma,https://www.crunchbase.com/organization/zealand-pharma,"Biopharma, Biotechnology, Health Care","Copenhagen, Hovedstaden, Denmark",Zealand Pharma is a biotechnology company that offers scientific expertise in turning peptides into medicines.,"1,830",$10M to $50M,Active,1998-01-01,year,2017-08-09,day,,,For Profit,http://www.zealandpharma.com,"Zealand Pharma A/S (Nasdaq Copenhagen: ZEAL) (“Zealand”) is a biotech company with leading-edge scientific expertise in turning peptides into medicines. Zealand has a growing proprietary pipeline of novel specialty drug candidates and a mature portfolio of products and projects under license collaborations with Sanofi, Helsinn Healthcare and Boehringer Ingelheim.  Zealand’s first invented medicine, lixisenatide, a once-daily prandial GLP-1 analogue for the treatment of Type 2 diabetes, is marketed globally outside the US as Lyxumia:registered: by Sanofi and under regulatory review in the US. The license collaboration with Sanofi covers also a single-product combination of lixisenatide and insulin glargine (Lantus:registered:) which is on track for regulatory submission in the US in December 2015 and in the European Union in Q1 2016.  The proprietary pipeline includes; danegaptide for ischemic reperfusion Injuries in Phase II development; ZP1848 for Short Bowel Syndrome in Phase II development; and the stable glucagon analogue, ZP4207, in Phase II preparation both as a single-dose rescue pen for severe hypoglycemia and for multiple-dose use to treat and control mild to moderate hypoglycemia; as well as several preclinical peptide therapeutics.  The company is based in Copenhagen (Glostrup), Denmark. For further information about Zealand’s business and activities, please visit: www.zealandpharma.com or follow us on Twitter @ZealandPharma",IPO,583255357,USD,583255357
CardioMech,https://www.crunchbase.com/organization/cardiomech,"Biotechnology, Health Care, Medical, Medical Device","Trondheim, Sor-Trondelag, Norway",CardioMech develops interventional medical devices for structural heart disease.,"3,910",$1M to $10M,Active,2015-01-01,day,,,,,For Profit,https://www.cardiomech.com,"CardioMech is a developer of therapeutic devices for structural heart disease that provides a transcatheter alternative to cardiac surgery for the placement of artificial chords for the mitral valve. The company's devices are used for the placement of artificial chords, enabling surgeons to get access to new therapeutic options for heart diseases. The technology is being developed to treat patients with severe, symptomatic, degenerative mitral regurgitation (DMR) due to prolapse or flail. CardioMech was founded in 2015 and is headquartered in Trondheim, Norway.",,54718605,USD,54718605
Enifer,https://www.crunchbase.com/organization/eniferbio,"Biotechnology, Life Science","Espoo, Southern Finland, Finland",Enifer provides harness the power of fungal fermentation to upcycle agrifood industry byproducts.,"4,878",$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.eniferbio.fi/,"Enifer Bio is an expert at squeezing every last drop of value from biorefining operations. The solution is built on decades of Finnish expertise to allow the production of valuable protein-rich feed from streams previously considered worthless. The company has developed a new, sustainable production process for high-quality fish feed raw material. The company's method enables the efficient production of a single cell protein from fish by-products as a raw material for fish feed. The protein can replace soy, which is commonly used in fish feed and whose cultivation poses ecological challenges, such as deforestation in South America.",Early Stage Venture,24000000,EUR,26369043
Calliditas Therapeutics,https://www.crunchbase.com/organization/pharmalink,"Biotechnology, Medical Device, Pharmaceutical","Stockholm, Stockholms Lan, Sweden",Calliditas Therapeutics is a specialty pharmaceutical company that develops pharmaceutical products in fields of unmet medical needs.,"6,302",$10M to $50M,Active,1991-01-01,year,2020-06-05,day,,,For Profit,https://www.calliditas.se/,"Calliditas Therapeutics AB is a specialty pharmaceutical company based in Stockholm, Sweden. It is focused on developing high quality pharmaceutical products for patients with a significant unmet medical need in niche indications, in which Calliditas can partially or completely participate in the commercialization efforts. Calliditas is focused on the development and commercialization of the product candidate Nefecon, a unique two step formulation optimized to combine a time lag effect with a concentrated release of the active substance budesonide, within a designated target area. This patented, locally acting formulation is intended for treatment of patients with the inflammatory renal disease IgA nephropathy (IgAN). Calliditas is running a global Phase 3 study within IgAN and aims to commercialize Nefecon in the United States.",IPO,209780030,USD,209780030
Medivir,https://www.crunchbase.com/organization/medivir-ltd-cambridge-uk,"Biotechnology, Oncology, Pharmaceutical","Stockholm, Stockholms Lan, Sweden",Medivir is a research-based pharmaceutical company with a research focus on oncology and infectious diseases.,"7,707",$50M to $100M,Active,1988-01-01,year,2004-10-08,day,,,For Profit,https://www.medivir.com,"Medivir is a research based pharmaceutical company with a research focus on infectious diseases and oncology. Medivir is a protease inhibitor design and the nucleotide/nucleoside science and we are dedicated to developing innovative pharmaceuticals that meet a great unmet medical need. Our commercial organization provides a portfolio of specialty care, pharmaceuticals on the Nordic market.",IPO,42638563,USD,42638563
IO Biotech,https://www.crunchbase.com/organization/io-biotech,"Biotechnology, Health Care, Therapeutics","Copenhagen, Hovedstaden, Denmark",IO Biotech is a clinical-stage biotech company developing disruptive immune therapies for the treatment of cancer.,"7,961",$1M to $10M,Active,2014-12-23,day,2021-11-05,day,,,For Profit,http://www.iobiotech.com/,"IO Biotech is a clinical stage biotech company developing disruptive immune therapies for the treatment of cancer. The pipeline of first-in-class immune modulating anti-cancer therapies is developed by a unique technology platform, T-win®, enabling the activation of T cells that are specific for immune-suppressive molecules. IO Biotech has a proven track record of progressing preclinical and clinical compounds. The two lead compounds targeting IDO and PD-L1 are in clinical development and several pipeline compounds are in pre-clinical phase.",IPO,175012360,USD,175012360
Solar Foods,https://www.crunchbase.com/organization/solar-foods-oy,"Biotechnology, Energy, Food Processing","Helsinki, Southern Finland, Finland","Solar Foods is a food technology company that develops Solein, an alternative to animal-derived proteins.","8,471",$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://solarfoods.com,"Solar Foods is a food-tech startup that specializes in testing a technology that uses electricity to produce hydrogen which is combined with carbon dioxide, water, vitamins, and minerals to feed and grow microbial biomass that can be used as edible protein. The industrial biotech startup develops a protein called Solein, a nutritious, sustainable substitute for animal-derived proteins. Solein is created using elements from the air—CO2, water, nitrogen—and electricity. This single-cell protein is cultivated through gas fermentation, essentially deriving edible calories from hydrogen-oxidizing microbes.",Early Stage Venture,57682167,USD,57682167
