Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Alira Health,https://www.crunchbase.com/organization/alira-health,"Biotechnology, Consulting, Health Care","Paris, Ile-de-France, France",Alira Health is an international advisory firm.,"6,712",$10M to $50M,Active,1999-01-01,year,,,,,For Profit,https://www.alirahealth.com," Alira Health is a international advisory firm providing integrated n and innovation services for healthcare and life science companies. Our strategists, bankers, doctors and scientists collaborate to fully understand every aspect of healthcare.",,133000000,USD,133000000
Cellectis,https://www.crunchbase.com/organization/cellectis,"Biopharma, Biotechnology, Health Care, Medical, Oncology","Paris, Ile-de-France, France",Cellectis is a biopharmaceutical company that develops adoptive immunotherapies for cancer.,"7,698",$1M to $10M,Active,1999-12-01,day,2015-04-17,day,,,For Profit,http://www.cellectis.com/en/,"Cellectis is a biopharmaceutical company that develops adoptive immunotherapies for cancer. The company’s portfolio includes several lines of proprietary chimeric antigen receptor T-cells targeting individual cancers. Its lead product candidate is UCART19, an engineered T-cell product candidate for the treatment of CD19 expressing hematologic malignancies that developed in acute lymphoblastic leukemia and chronic lymphocytic leukemia. The company’s products also include UCART123 for acute myeloid leukemia indications, and UCART38 and UCARTCS1 for multiple myeloma indications.",IPO,328217750,USD,328217750
Innate Pharma,https://www.crunchbase.com/organization/innate-pharma,"Biopharma, Biotechnology, Clinical Trials, Medical, Pharmaceutical","Marseille, Provence-Alpes-Cote d'Azur, France",Innate Pharma is a biopharmaceutical company developing immunotherapy drug candidates for the treatment of cancer and inflammatory diseases.,"8,532",$10M to $50M,Active,1999-01-01,year,2019-10-17,day,,,For Profit,https://www.innate-pharma.com/,Innate Pharma S.A. is a biopharmaceutical company developing first-in-class immunotherapy drug candidates for cancer and inflammatory diseases. The Company specializes in the development of novel monoclonal antibodies targeting receptors and pathways controlling the activation of innate immunity cells. Its innovative approaches have led to licensing agreements with Novo Nordisk A/S and Bristol-Myers Squibb.,IPO,201100000,EUR,239539953
NicOx,https://www.crunchbase.com/organization/nicox,"Biotechnology, Health Care, Medical Device","Valbonne, Provence-Alpes-Cote d'Azur, France",Nicox is an international ophthalmology company developing innovative solutions to help maintain vision and improve ocular health.,"10,703",$1M to $10M,Active,1996-01-01,year,2023-04-28,day,,,For Profit,http://www.nicox.com,"NicOx is a biopharmaceutical company, engages in the development and commercialization of nitric oxide (NO)-donating drugs primarily for inflammation and cardio-metabolic diseases. The company's primary products candidates include Naproxcinod, a Phase III product candidate for the treatment of osteoarthritis; and NCX 6560, a NO-donating compound for the treatment of cardiovascular diseases, which is in phase I clinical trials. Its product portfolio comprise PF-03187207 for the treatment of glaucoma, TPI 1020 for the treatment of respiratory disorders, and NCX 1510 for allergic rhinitis, which are in Phase II clinical trials; and NO-donating antihypertensives, which is in phase I clinical trials for the treatment of hypertension. The company's product pipeline also include NCX 1047, which is in preclinical stage of development for treating a range of skin disorders, such as atopic dermatitis, psoriasis, and seborrheic dermatitis; and NO-donors for diabetic retinopathy, cardiometabolic, inflammation, and pain. It has research and co-development agreement with Orexo AB to identify and develop compounds for the treatment of airway diseases; license and development agreement with TOPIGEN Pharmaceuticals Inc. The company also has agreements with Grupo Ferrer Internacional SA for the research, development, and marketing of NO-donating anti-inflammatory drugs for the treatment of dermatological diseases; Pfizer Inc to identify nitric oxide-donating compounds for diabetic retinopathy; and Merck & Co., for the development of new antihypertensive drugs using NicOx' nitric oxide-donating technology. NicOx S.A. was founded in 1996 and is headquartered in Sophia Antipolis, France.",IPO,199056470,USD,199056470
Eurasante,https://www.crunchbase.com/organization/eurasante,"Association, Biotechnology, Information Technology","Lille, Nord-Pas-de-Calais, France",Eurasanté is a development agency dedicated to tech transfer and business development in the life sciences sector.,"15,743",$1M to $10M,Active,1994-01-01,year,,,,,For Profit,http://lille.eurasante.com/,,,,,
GENFIT,https://www.crunchbase.com/organization/genfit,"Biopharma, Biotechnology, Health Care","Loos, Nord-Pas-de-Calais, France",GENFIT is a late-stage biopharmaceutical company.,"20,304",$1M to $10M,Active,1999-09-01,month,2019-03-27,day,,,For Profit,http://www.genfit.com,"GENFIT is a late-stage biopharmaceutical company dedicated to the discovery and development of innovative therapeutic and diagnostic solutions in metabolic and liver related diseases where there are considerable unmet medical needs, corresponding to a lack of approved treatments. Their pioneering research is based on a strong heritage, stemming from in-house knowledge and their desire to strive for excellence. Their drug discovery efforts are based on selecting specific nuclear receptors as targets and utilizing rational drug design to optimize their drug candidates. This strong skill base associated to their scientific and clinical expertise, translational disease-driven approach and strong bioinformatics capabilities, have allowed us to build a solid scientific platform enabling us to discover and develop their drug candidates and diagnostic tools. Professor Bart Staels, a world-renowned expert in nuclear receptors, co-founded GENFIT and has played a key role in shaping their company’s expertise over the years. Today, he sits as chair of the Scientific Advisory Board, lending decades of experience and essential know-how, supporting their role as an innovative leader in the discovery of solutions for the metabolic field.",IPO,112193993,USD,112193993
Transgene,https://www.crunchbase.com/organization/transgene,"Biotechnology, Manufacturing, Pharmaceutical","Illkirch-graffenstaden, Alsace, France",Transgene is a biotechnology company that designs and develops innovative immunotherapies.,"25,276",$1M to $10M,Active,1979-01-01,year,2001-01-12,day,,,For Profit,http://www.transgene.fr,"Transgene is an integrated biopharmaceutical company that designs and develops cutting-edge immunotherapeutic products to treat cancers and chronic infectious diseases. Their expertise covers all stages of product development, from research to the manufacture of clinical batches, and the conducting of clinical trials.",IPO,82500000,EUR,95643281
Sanofi Pasteur,https://www.crunchbase.com/organization/sanofi-pasteur,"Biotechnology, Health Care, Manufacturing, Pharmaceutical","Lyon, Rhone-Alpes, France","Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally.","36,292",$1B to $10B,Active,1990-01-01,year,,,,,For Profit,http://www.sanofipasteur.com,"Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally. The company provides vaccines for bacterial and viral diseases, including pertussis, diphtheria, typhoid fever, poliomyelitis, influenza, and mumps. It has production sites in France, the United States, Canada, China, Thailand, and Argentina. The company was formerly known as Aventis Pasteur S.A. and changed its name to Sanofi Pasteur SA in 2004. The company was founded in 1990 and is headquartered in Lyon, France. The company is headquartered in Lyon, France. Sanofi Pasteur SA operates as a subsidiary of Sanofi-Aventis.",,43200000,USD,43200000
Seventure Partners,https://www.crunchbase.com/organization/seventure-partners,"Biotechnology, Finance, Financial Services, FinTech, Information and Communications Technology (ICT), Information Technology, Life Science, Retail Technology, Sports, Venture Capital","Paris, Ile-de-France, France","Seventure Partners is a French venture capital firm targeting in information and communication technology, and life sciences companies.","39,383",$1M to $10M,Active,1997-01-01,year,,,,,For Profit,http://www.seventure.fr,"Seventure Partners is a French venture capital firm targeting in information and communication technology, and life sciences companies. It funds innovation and participates in the entrepreneurial adventure, alongside entrepreneurs and sharing their passion. Founded in 1997, Seventure Partners is one of the European leaders in venture capital, with € 1 billion under management as of December 31, 2022. It is an active partner of innovative companies that, according to the management team, show strong growth potential and evolving in two fields of activity: Digital Technologies and Life Sciences. With more than 20 employees, including some 15 investors, Seventure Partners has a proven track record and in-depth expertise in technology, entrepreneurship, and various private equity operations. Seventure's goal is to identify and support the development of tomorrow's European leaders in order to accelerate their growth. To do this, the firm provides entrepreneurs with the expertise, networks, and know-how of its internal team of investors. The different funds/verticals on which Seventure Partners are focusing on today: - Life Sciences : Biotech, Healthcare, Nutrition - Tech/Digital : B2B SaaS, Fintech, Retailtech - Sports & Wellbeing - Blue Economy",,,,
Biogroup-LCD,https://www.crunchbase.com/organization/biogroup-lcd,"Biotechnology, Fitness, Health Care, Medical, Wellness","Erquy, Bretagne, France","Biogroup-LCD is a player in local medical biology,supports more than 20,000 patients every day and offers more than 2000 routine.","43,446",,Active,1998-01-01,year,,,,,For Profit,https://biogroup.fr,"BIOGROUP-LCD, a major French player in local medical biology, supports more than 20,000 patients every day and offers more than 2000 routine and specialized daily examinations, based on performance and technological innovation. Partner at every moment between the patient and the medical profession, your laboratory participates in the screening, diagnosis, monitoring and prognosis of the most common pathologies to the most demanding, throughout your course of care. BIOGROUP-LCD develops for this purpose all its human and technological resources. The team of qualified, qualified medical biologists follows continuous and regular training.",Private Equity,2500000000,EUR,3030038591
