Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Infinite Roots,https://www.crunchbase.com/organization/mushlabs,"Biotechnology, Food and Beverage, Health Care","Hamburg, Hamburg, Germany",Infinite Roots is a biotech company that produces sustainable foods from the roots of mushrooms using fermentation.,282,,Active,2018-01-01,year,,,,,For Profit,https://www.infiniteroots.com/,Infinite Roots is a technology-driven company that produces food from edible mushroom mycelia. Its patented technologies enable the development of diverse and versatile food products based on edible mushroom mycelium.,Early Stage Venture,86661948,USD,86661948
ATAI Life Sciences,https://www.crunchbase.com/organization/atai-life-sciences-ag,"Biotechnology, Health Care, Life Science, Mental Health, Therapeutics","Munich, Bayern, Germany",ATAI Life Sciences develops innovative mental health treatments that address significant unmet medical needs.,491,$1M to $10M,Active,2018-01-01,year,2021-06-17,day,,,For Profit,http://atai.life,"ATAI is a global biotech company builder that leverages a decentralized, technology- and data-driven platform model to serve millions of people suffering from mental health disorders. The company is committed to acquiring and efficiently developing innovative treatments that address significant unmet medical needs and lead to paradigm shifts in the mental health space. ATAI Life Sciences was founded in 2018 and is based in Munich, Bayern, Germany.",IPO,522100000,USD,522100000
BioNTech,https://www.crunchbase.com/organization/biontech-ag,"Biopharma, Biotechnology, Pharmaceutical","Mainz, Rheinland-Pfalz, Germany",BioNTech is a biopharmaceutical company pioneering the development of individualized therapies for cancer and other diseases.,740,$100M to $500M,Active,2008-01-01,year,2019-10-09,day,,,For Profit,https://www.biontech.com/int/en/home.html,BioNTech is a next generation immunotherapy company pioneering novel therapies for cancer and other serious diseases. BioNTech exploits a array of computational discovery and therapeutic drug platforms for the rapid development of novel biopharmaceuticals.,IPO,1741003260,USD,1741003260
CureVac,https://www.crunchbase.com/organization/curevac,"Biopharma, Biotechnology, Therapeutics","Tübingen, Baden-Wurttemberg, Germany",CureVac is a clinical-stage biopharmaceutical company that provides prophylactic and therapeutic application of messenger RNA.,"5,706",$10M to $50M,Active,2000-01-01,year,2020-08-14,day,,,For Profit,http://www.curevac.com,"CureVac is a clinical-stage biopharmaceutical company that provides prophylactic and therapeutic application of messenger RNA. The company develops drugs that are based on Messenger RNA (mRNA) as a data carrier to instruct the human body to produce its own proteins capable of fighting a wide range of diseases. mRNA programs include novel mRNA-based cancer immunotherapies and prophylactic vaccines against infectious diseases (RNActive), molecular therapies designed to trigger the body’s own production of therapeutic proteins (RNArt), and RNA encoded antibodies (RNAntibody). Its most advanced product candidate, CV9104, is being developed in Phase IIb for the treatment of prostate cancer.",IPO,2096241423,USD,2096241423
Affimed,https://www.crunchbase.com/organization/affimed-therapeutics,"Biotechnology, Clinical Trials, Health Care, Medical, Therapeutics","Heidelberg, Baden-Wurttemberg, Germany",Affimed Therapeutics is focused on developing recombinant antibody therapeutics for the treatment of cancer and other diseases.,"7,107",$10M to $50M,Active,2000-01-01,year,2014-09-12,day,,,For Profit,https://www.affimed.com/,"At Affimed, they are committed to improving outcomes for patients with cancer. Their scientific team has been devoted to unlocking the power of the innate immune system for nearly two decades to provide a unqiue approach to fighting cancer. With their unparalleled expertise in innate immunity and innate cell engager-based medicines, they aim to overcome the limitations and challenges faced by current immuno-oncology (I-O) therapies.",IPO,534026273,USD,534026273
Legendairy Foods,https://www.crunchbase.com/organization/legendairy-foods,"Biotechnology, Food and Beverage, Life Science","Berlin, Berlin, Germany",Formo is a cell-ag company that develops animal-free dairy products using nature-identical milk proteins from precision fermentation.,"8,722",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://formo.bio,"Formo is Europe’s first cellular agriculture company developing animal-free dairy products using real, nature-identical milk proteins derived from precision fermentation.",Early Stage Venture,54308272,USD,54308272
Centogene,https://www.crunchbase.com/organization/centogene-ag,"Biotechnology, Clinical Trials, Genetics, Health Care, Health Diagnostics","Rostock, Mecklenburg-Vorpommern, Germany",CENTOGENE provides methods and technology for human genetics analysis.,"8,978",$50M to $100M,Active,2006-01-01,year,2019-11-07,day,,,For Profit,http://www.centogene.com,"CENTOGENE is one of the largest genetic biotech companies worldwide, the European market leader, and one of the global leaders in genetic diagnostic analyses of rare inherited diseases. Transforming global genetic data into medical decisions, that are focused on creating broarder awareness for patients of all ethnicities around the world. CENTOGENE is a rare disease company focused on transforming clinical, genetic, and biochemical data into medical solutions for Patients.  With headquarters in Rostock, Germany and further operations in Berlin, Germany as well as Cambridge, Massachusetts, USA, CENTOGENE is dedicated to transforming the science of genetic information into solutions and hope for patients with rare diseases and their families. CENTOGENE provides the full spectrum of modern methods and technology for human genetics analysis; it is active in research and is constantly developing new and innovative products for human genetics.",IPO,89933433,USD,89933433
Probably Genetic,https://www.crunchbase.com/organization/probably-genetic,"Biotechnology, Genetics, Health Diagnostics, Medical","Karlsruhe, Baden-Wurttemberg, Germany",Probably Genetic helps rare genetic disease patients.,"10,362",Less than $1M,Active,2019-01-01,month,,,,,For Profit,http://www.probablygenetic.com/,"Probably Genetic is on a mission to help get answers for those with rare genetic conditions that are commonly initially diagnosed as autism spectrum disorder. On average, a patient with a rare genetic condition waits up 7 years to find answers. In the meantime, they spend years bouncing around from doctors to specialists, often at an enormous personal financial cost, to understand if there is more to their, or their child's symptoms. They believe this is too long! Probably Genetic offers educational material and DNA sequencing tests to make it easy to find out if there is more to your symptoms. Their aim is to help those who fall through the cracks of the current healthcare system.",,10869968,USD,10869968
Cambrium,https://www.crunchbase.com/organization/cambrium,"Advanced Materials, Bioinformatics, Biotechnology, Machine Learning, Robotics","Berlin, Berlin, Germany",Cambrium is engineering biology to create high-performance proteins.,"11,677",,Active,2020-08-01,month,,,,,For Profit,https://www.cambrium.bio,"Cambrium's mission is to trigger the next wave of material innovation by harnessing nature’s protein building blocks. Our platform combines synthetic biology, machine learning and lab automation to create high-performance materials at scale. We fundamentally believe that the ability to align economic and environmental incentives makes biology the most important manufacturing technology of the 21st century. We are accelerating a Cambrian explosion of biomaterials to address the world’s most pressing problems.",Seed,8000000,EUR,8462796
traceless materials,https://www.crunchbase.com/organization/traceless-materials,"Advanced Materials, Biotechnology, Chemical, Manufacturing","Hamburg, Hamburg, Germany",traceless materials is a circular bioeconomy startup offering a holistically sustainable alternative to conventional plastics & bioplastics,"13,450",$10M to $50M,Active,2020-01-01,year,,,,,For Profit,https://www.traceless.eu/,"traceless materials is offering a holistically sustainable alternative to plastics and bioplastics. With our first-of-a-kind biomaterial it’s our mission to contribute to solving global plastic pollution. Our innovative technology filed for patent allows to use food production residues to produce materials that are compostable under natural composting conditions. While bio-based, our materials don’t compete with food nor cause land-use-change, don’t need hazardous additives or solvents and have up to 95% lower CO2 emissions. Our materials are neither chemically modified nor synthetically polymerized, therefore they will not fall under the EU Single Use Plastic Directive.  Follow us on our journey, and become a part of the solution, not the pollution!",Early Stage Venture,39020000,EUR,41577886
CatalYm,https://www.crunchbase.com/organization/catalym,"Biotechnology, Health Care, Medical, Therapeutics","Planegg, Bayern, Germany",CatalYm is a biotechnology company developing innovative immunotherapies for cancer patients.,"13,550",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://www.catalym.com,CatalYm is a biotechnology company committed to developing innovative immunotherapies for cancer patients. CatalYm has identified GDF-15 as a central regulator of the immune system in the tumor microenvironment and translates the therapeutic potential of neutralizing GDF-15 into meaningful clinical responses for patients with solid tumors. CatalYm’s CTL-002 program is poised to demonstrate clinical proof-of-concept in multiple solid tumor indications and has the potential to expand the treatment horizon for current and future immunotherapies.,Late Stage Venture,100000000,EUR,110886232
