Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
RedHill Biopharma,https://www.crunchbase.com/organization/redhill-biopharma,"Biotechnology, Health Care, Medical, Pharmaceutical","Tel Aviv, Tel Aviv, Israel",RedHill Biopharma specializes primarily in gastrointestinal and infectious diseases within the realm of specialty biopharmaceuticals.,"2,944",$1M to $10M,Active,2009-01-01,year,2013-01-18,day,,,For Profit,http://www.redhillbio.com,"RedHill Biopharma specializes in the field of gastrointestinal and infectious diseases, constituting its primary areas of focus within the realm of specialty biopharmaceuticals. It focuses on advancing gastrointestinal and infectious diseases management through innovation, dedication, and a collective mindset of delivering on its promises.",IPO,274000000,USD,274000000
Gamida Cell,https://www.crunchbase.com/organization/gamida-cell,"Biotechnology, Health Care, Life Science, Medical Device, Therapeutics","Jerusalem, Yerushalayim, Israel",Gamida Cell is a biopharmaceutical company developing advanced cell therapies for patients with blood cancers and hematologic diseases.,"3,689",$10M to $50M,Active,1998-01-01,year,2018-10-25,day,,,For Profit,http://www.gamida-cell.com,"Gamida Cell is a biopharmaceutical company developing advanced cell therapies for patients with blood cancers and hematologic diseases. Its product includes NiCord, a cell therapy based on NAM-expanded cord blood developed to improve and extend the life-saving benefits of hematopoietic stem cell transplant. The company applies an expansion platform supporting the properties of NAM to allogeneic cell sources that include omidubicel, an investigational product with potential as a life-saving alternative for patients in need of bone marrow transplant.",IPO,292753823,USD,292753823
InSightec,https://www.crunchbase.com/organization/insightec,"Biotechnology, Health Care, Manufacturing, Medical Device, Therapeutics","Tirat Carmel, Hefa, Israel",InSightec develops and manufactures MR-guided ultrasound technology devices for image-guided acoustic surgery.,"4,843",$10M to $50M,Active,1999-01-01,year,,,,,For Profit,http://www.insightec.com,InSightec is the pioneer and global leader in MR guided focused ultrasound technology for image guided acoustic surgery. ExAblate® 2000 system was the first system to use the MR guided focused ultrasound technology. The ExAblate system received CE mark in 2002 and the Food and Drug Administration (FDA) approval in 2004 for the treatment of symptomatic uterine fibroids. ExAblate received the European CE Mark for pain palliation of bone metastases in June 2007 and for adenomyosis in June 2010. This device has won numerous innovation awards and has been used to treat thousands of patients around the world.,,732900000,USD,732900000
Believer Meats,https://www.crunchbase.com/organization/future-meat-technologies,"Alternative Protein, Biotechnology, Food and Beverage, Food Processing, Manufacturing, Meat and Poultry, Organic Food","Jerusalem, Yerushalayim, Israel",Believer Meats is a food technology company focused on using clean meat and cellular agriculture to replace traditional animal-based foods.,"5,063",,Active,2018-01-01,year,,,,,For Profit,https://www.believermeats.com/,"Believer Meats is a Jerusalem-based biotechnology company aiming to transform global meat production through distributive manufacturing of fat and muscle cells, increasing food safety and reducing ecological impact worldwide. They aim to turn the timeless vision of animal-free meat production into a reality. Their cutting-edge cellular agriculture technology was developed by award-winning biologists and bioengineers and brought into reality by world-renowned innovative chefs at Jerusalem’s singular culinary scene.",Early Stage Venture,387750000,USD,387750000
Steakholder Foods,https://www.crunchbase.com/organization/meatech,"3D Printing, Alternative Protein, Biotechnology, Food Processing","Rehovot, HaMerkaz, Israel",Steakholder Foods is a deep-tech food company that develops complex cultured meat by using advanced 3D printing technologies.,"5,275",$1M to $10M,Active,2017-05-01,day,2021-03-12,day,,,For Profit,http://www.meatech3d.com,"Steakholder Foods (formerly MeaTech prior to August 2022) is a deep-tech food company that develops complex cultured meat by using advanced 3D printing technologies. The company's technology aims to enable the production of meat directly instead of raising the entire animal. The company takes a sample of stem cells from an animal, reproduces these cells, divides them into different meat components, and 3D prints the cultured meat in an accurate shape and structure. They plan to develop clean farming through an industrial cultured meat process without harming animals.",IPO,31404138,USD,31404138
Remilk,https://www.crunchbase.com/organization/remilk,"Biotechnology, Food and Beverage, Food Processing, Nutrition","Tel Aviv, Tel Aviv, Israel",Remilk is a global leader in the development of animal-free dairy through microbial fermentation.,"5,794",,Active,2019-06-14,day,,,,,For Profit,https://www.remilk.com/,"Remilk is a food-tech company that uses microbes to produce the key ingredients in milk. The company is developing technology for creating a milk substitute that is similar to cow milk in flavor, nutritional composition, composition, and functionality. It was founded in 2019 and is based in Tel Aviv, Israel.",Early Stage Venture,131301000,USD,131301000
MediWound,https://www.crunchbase.com/organization/mediwound,"Biotechnology, Manufacturing, Medical Device","Yavne, HaMerkaz, Israel","MediWound is a biotechnology specialty company focused on developing, manufacturing and commercializing innovative wound care products.","6,130",$1M to $10M,Active,2001-01-01,year,2014-03-21,day,,,For Profit,http://mediwound.com,"MediWound is a biotechnology niche-specialty company. Established in 2001, MediWound is focused on developing, manufacturing, and globally commercializing innovative products that address unmet needs in the fields of severe burns and chronic wound management. MediWound’s goal is to provide healthcare professionals and patients with its innovative burn wound eschar removal agent, NexoBrid. NexoBrid successfully completed clinical development in hospitalized burn wounds and is approved and ready to launch in Europe.",IPO,111400000,USD,111400000
BlueWind Medical,https://www.crunchbase.com/organization/bluewind-medical,"Biotechnology, Health Care, Medical, Medical Device","Herzliya, Tel Aviv, Israel",BlueWind Medical is an innovative wireless neuro-stimulation device for the treatment of peripheral neuropathic pain,"7,737",$1M to $10M,Active,2010-01-01,year,,,,,For Profit,http://www.bluewindmedical.com/,BlueWind Medical develops and markets a wireless neurostimulation device for the treatment of peripheral neuropathic pain (PNP).,Early Stage Venture,64000000,USD,64000000
MDClone,https://www.crunchbase.com/organization/mdclone,"Analytics, Biotechnology, Health Care, Medical, Medical Device","Be'er Sheva, HaDarom, Israel","MDClone offers a powerful, self-service data analytics environment enabling healthcare collaboration, research, and innovation.","9,741",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.mdclone.com/,"MDClone offers an innovative, self-service data analytics environment powering exploration, discovery, and collaboration throughout the healthcare ecosystems, cross-institutionally, and globally. The powerful underlying infrastructure of the MDClone ADAMS Platform allows users to overcome common barriers in healthcare in order to organize, access, and protect the privacy of patient data while accelerating research, improving operations and quality, and driving innovation to deliver better patient outcomes. Founded in Israel in 2016, MDClone serves major health systems, payers, and life science customers in the United States, Canada, and Israel. For more information, visit mdclone.com.",Late Stage Venture,104000000,USD,104000000
Brainsway,https://www.crunchbase.com/organization/brainsway,"Biotechnology, Health Care, Life Science","Jerusalem, Yerushalayim, Israel",Brainsway's patented breakthrough technology launches a new era in brain disorder treatment.,"12,363",$1M to $10M,Active,2003-01-01,year,2019-04-16,day,,,For Profit,http://www.brainsway.com,"Brainsway's patented breakthrough technology launches a new era in brain disorder treatment. A non-invasive, yet highly effective solution, Brainsway can make a difference in the wellbeing and health of millions of patients worldwide. Brainsway's technology releases millions of patients from a bleak cycle of insufficiently effective treatments and unpleasant side effects. Brainsway's treatment was approved by the FDA for Major Depressive Disorder patients*. The technology is also safe, with no systemic effects or long-term side effects, and highly convenient, requiring only brief daily sessions over a couple of weeks. Brainsway's technology has already been applied in thousands of cases worldwide in the framework of clinical studies. It has also been enthusiastically embraced by leading research institutions worldwide, with over 60 clinical trials performed. Brainsway technology is based on a patent registered by the U.S. National Institutes of Health (NIH). Brainsway is dedicated to research and continuously explores treatments for a variety of brain disorders.",IPO,65495696,USD,65495696
