Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Resalis Therapeutics,https://www.crunchbase.com/organization/resalis-therapeutics,"Biotechnology, Clinical Trials, Health Care, Medical, Pharmaceutical, Product Research, Therapeutics","Torino, Piemonte, Italy",Resalis Therapeutics sviluppa un farmaco in grado di inibire un micro-RNA per il trattamento di alcune malattie metaboliche,"5,794",,Active,2021-01-01,year,,,,,For Profit,https://www.resalistherapeutics.com,"Resalis Therapeutics changes the way metabolic diseases are treated by targeting a key regulator of pathways that contribute to obesity and fatty liver disease. RES-010, the company's flagship program, is being developed using its expertise in non-coding RNA drug modality and lipid metabolism to provide a safe and convenient treatment option with disease-modifying therapeutic effects, such as long-term weight loss and reduced hepatic steatosis. Resalis is rapidly moving RES-010 into clinical trials for a variety of metabolic disorders, backed by strong preclinical evidence.",Early Stage Venture,26000000,EUR,28629562
MOGU,https://www.crunchbase.com/organization/mogu,"Biotechnology, Interior Design","Varese, Lombardia, Italy","MOGU is a European company, based in Italy, developing a range of mycelium-based technologies.","10,533",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://mogu.bio/,"MOGU is a European company, based in Italy, developing a range of mycelium-based technologies for the creation of a family of sustainable and innovative products for interior design, led by the principles of Circular Economy.  Mogu was founded on the belief that it is possible to employ Nature’s intelligence to radically disrupt the design of everyday products, seeking a finer balance between the man-made and the rhythms of the natural ecosystem.",Early Stage Venture,14247570,EUR,15834179
AAVantgarde Bio,https://www.crunchbase.com/organization/aavantgarde-bio,"Biotechnology, Health Care, Therapeutics","Milano, Lombardia, Italy",AAVantgarde Bio is developing gene therapies for inherited retinal disorders.,"12,102",,Active,2021-01-01,year,,,,,For Profit,https://www.aavantgardebio.com/,AAVantgarde Bio is developing gene therapies for inherited retinal disorders.,Early Stage Venture,61000000,EUR,65254600
Enthera,https://www.crunchbase.com/organization/enthera,"Biotechnology, Health Care, Life Science, Pharmaceutical","Milano, Lombardia, Italy",Enthera is a biotech manufacturing company that develops biotherapeutics treatments for underserved auto-immune disorders.,"15,408",$1M to $10M,Active,2016-10-01,month,,,,,For Profit,https://www.entherapharmaceuticals.com/,"Enthera is a new Italian biotech start-up whose mission is to find new therapeutic approaches to treat diabetes and related gastrointestinal complication (enteropathy), as well as other intestinal disorders sharing the same biological pathway. Its name comes from the crasis of the terms entero (referring to the intestine) and therapy.   Enthera was founded by BiovelocITA in October 2016 in collaboration with the scientists: Prof. Paolo Fiorina and Dr. Francesca D’Addio.",Early Stage Venture,39000000,EUR,45991878
GFBiochemicals,https://www.crunchbase.com/organization/gfbiochemicals,"Biotechnology, Life Science","Milan, Lombardia, Italy",GFBiochemicals company to produce levulinic acid at commercial scale directly from biomass.,"18,746",Less than $1M,Active,2008-01-01,year,,,,,For Profit,http://www.gfbiochemicals.com/,"GFBiochemicals is the only company to produce levulinic acid at commercial scale directly from biomass. In 2008, a group of biobased chemical experts saw the significant potential of levulinic acid to replace petroleum-based products across a range of market sectors. GFBiochemicals was founded to develop the production technology needed for this revolution in chemicals and biofuels. GFBiochemicals demonstrated these breakthrough technologies in the Caserta plant, in partnership with the University of Pisa and the Polytechnic University of Milan. This commercial-scale plant was retrofitted with new conversion, recovery and purification technology.",Early Stage Venture,15000000,EUR,15809510
InSilicoTrials,https://www.crunchbase.com/organization/insilicotrials-technologies,"Biotechnology, Health Care, Simulation","Trieste, Friuli-Venezia Giulia, Italy",Modeling and Simulation to accelerate development and improve safety of drugs and medical devices and significantly cut R&D costs and time,"23,347",$1M to $10M,Active,2018-05-04,day,,,,,For Profit,http://www.insilicotrials.com,"InSilicoTrials is an emerging startup founded in 2018 by a team of life science, cybersecurity and digital innovation experts, which aims to revolutionize Healthcare through an innovative digital simulation platform, where complex computational simulations run in an easy and cost-effective way to hyper- accelerate drug & medical device development.   We offer Pharma and MedTech companies state-of-the-art simulation tools that can highly reduce the cost and time of  drugs & medical products’ development. The in silico technology can increase the quality of life of millions of patients by allowing cheaper treatments, bringing innovative drugs to the market in a shorter time, together with personalized cures and new solutions for rare diseases.",Seed,6504680,USD,6504680
CellPly,https://www.crunchbase.com/organization/cellply,"Biotechnology, Health Care, Medical","Bologna, Emilia-Romagna, Italy",Developing analytical systems to characterize next-generation cancer immunotherapy,"32,540",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://cellply.com,"Cellply is a life-science company focused on developing next-generation analytical tools enabling a deep characterization of cancer immunotherapies, cell therapies and cell-based biotherapeutics. The company aims to support the development of novel cancer immunotherapies by accelerating R&D,  automating the quality control and advancing the ability to monitor the  clinical response to these treatments. Through the use of proprietary microfluidic technologies with Co-Culture Array technology, highly-automated analytical instruments and AI-powered image and data analytics,  Cellply products define the function of the immune system one cell at a time, combining functional data with other multiplex data and providing unprecedented single-cell analytical solutions.",,11736841,USD,11736841
Ecopol,https://www.crunchbase.com/organization/ecopol,"Agriculture, Biotechnology, Manufacturing, Oil and Gas, Service Industry, Software","Capannori, Toscana, Italy","Ecopol is the developer of weblin, social software that makes people visible on websites through avatars.","34,393",$10M to $50M,Active,2009-01-01,year,2023-07-27,day,,,For Profit,https://ecopol.com/,"ECOPOL is the outcome of a synergy of people who have been working for years in the research and development of eco-compatible, and in particular water-soluble and biodegradable products - not only from a chemical formulation viewpoint, but also from that of technology, by building and engineering a plant to manufacture said products, and by setting up a production line which has no environmental impact.",M&A,18500000,EUR,19702204
BetaGlue Technologies,https://www.crunchbase.com/organization/betaglue-technologies,"Biotechnology, Health Care, Medical, Wellness","Milano, Lombardia, Italy",BetaGlue Technologies engages in research and offers anti-cancer products.,"36,241",Less than $1M,Active,2009-01-01,year,,,,,For Profit,https://www.betaglue.com/,Among the company's products is a beta-emitting adhesive that aids in the regulation of radioactive injection straight into tumors. It allows clinicians to help prevent problems after lung and liver biopsies and other localized treatments.,Seed,10000000,EUR,10180832
Philogen,https://www.crunchbase.com/organization/philogen,"Biopharma, Biotechnology","Sovicille, Toscana, Italy",Philogen is a Swiss-Italian integrated biotechnology company.,"38,285",,Active,1996-01-01,year,,,,,For Profit,http://www.philogen.com,"Philogen is a Swiss-Italian integrated biotechnology company founded in 1996, with the mission to develop innovative biopharmaceuticals for the treatment of angiogenesis-related disorders. Angiogenesis, i.e. the formation of new blood vessels, is a characteristic feature of many severe pathologies such as cancer, rheumatoid arthritis, and age-related macular degeneration. The company has been a pioneer in the isolation, engineering and clinical development of lead products capable of targeting angiogenesis in-vivo and has been the first in the world to demonstrate that human monoclonal antibodies, specific for a marker of angiogenesis, can efficiently and selectively target the tumor neo-vasculature both in animal models and in cancer patients. At present, Philogen has four promising anti-cancer antibody derivatives and an antibody derivative for the treatment of rheumatoid arthritis in clinical studies. Two registrational studies are in planning. Our Zurich-based daughter company Philochem serving as the R&D unit isolates the most promising candidate products, while in Siena (Italy) the pharmaceuticals are produced according to GMP standards and advanced to clinical trials. Philogen generates revenue from a diversified range of activities, has signed agreements with major pharmaceutical companies and owns a diversified portfolio of international patents.",,62000000,EUR,69460783
