Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
PRISM BioLab,https://www.crunchbase.com/organization/prism-biolab,"Biopharma, Biotechnology, Pharmaceutical, Therapeutics","Fujisawa, Kanagawa, Japan",PRISM develop therapeutic drugs that cure these intractable diseases using our unique peptide mimic technology.,"2,037",$1M to $10M,Active,2006-11-02,day,,,,,For Profit,http://www.prismbiolab.com/,"PRISM provider of a therapeutic treatment for non-oncology indications.The company develops therapeutic agents that are used to cure pulmonary fibrosis, cancer and incurable diseases.",Late Stage Venture,42136206,USD,42136206
Preferred Networks,https://www.crunchbase.com/organization/preferred-networks,"Artificial Intelligence (AI), Biotechnology, Internet of Things, Machine Learning, Robotics, Software","Otemachi, Tokyo, Japan","Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.","9,911",$10M to $50M,Active,2014-03-26,day,,,,,For Profit,https://www.preferred.jp/,"Preferred Networks (PFN) was established in March 2014 in Tokyo with the goal to develop practical, real-world applications of deep learning, robotics and other latest technologies. PFN is currently focused on three priority areas – transportation systems, manufacturing and bio-healthcare – and also exploring the use of deep learning in personal robots, plant optimization, materials discovery, sports analytics and entertainment. PFN has a U.S. subsidiary in Burlingame, California.",,16500000000,JPY,147245349
Mitsubishi UFJ Capital,https://www.crunchbase.com/organization/mitsubishi-ufj-capital,"Biotechnology, Financial Services, Semiconductor, Venture Capital","Tokyo, Tokyo, Japan","Mitsubishi UFJ Capital is a venture capital firm focusing on life science, ICT and high technology investments.","10,340",$1M to $10M,Active,1974-08-01,day,,,,,For Profit,http://www.mucap.co.jp,"Mitsubishi UFJ Capital is a venture capital firm focusing on life science, ICT, and high technology investments.",,,,
Spiber Inc.,https://www.crunchbase.com/organization/spiber,"Advanced Materials, Bioinformatics, Biotechnology, Building Material, Food Processing, Life Science, Sustainability","Yamagata, Yamagata, Japan",A biotech company developing microbially-fermented Brewed Protein™ materials to help build a more sustainable society.,"10,543",$50M to $100M,Active,2007-09-26,day,,,,,For Profit,https://spiber.inc/en/,"Established in September 2007, Spiber Inc. is a Japanese biotechnology startup utilizing cutting-edge synthetic biology, polymer, and material science for the development of its novel Brewed Protein™ materials. Produced through microbial fermentation and utilizing agricultural feedstocks as primary raw materials, Brewed Protein™ polymers are well-positioned to make significant contributions to animal- and plastic-free initiatives in a range of fields such as the apparel and automotive industries. Leveraging its R&D expertise, Spiber pursues its mission of positively contributing to sustainable human well-being. Operation of Spiber’s first mass production plant in Rayong Province, Thailand, is slated to commence within 2021. The company is also constructing a second mass production facility with partner ADM in Iowa, USA, which is scheduled to begin operating in 2023 at the earliest.",Private Equity,910868360,USD,910868360
ThinkCyte,https://www.crunchbase.com/organization/thinkcyte,"Biotechnology, Life Science, Therapeutics","Hongo, Tokyo, Japan","ThinkCyte provides single-cell analysis for research, diagnostics, and therapeutics with an integrated multidisciplinary approach.","13,536",$1M to $10M,Active,2016-02-01,month,,,,,For Profit,https://thinkcyte.com/,"ThinkCyte provides single-cell analysis for research, diagnostics, and therapeutics with an integrated multidisciplinary approach.",,5149964924,JPY,47240736
Toregem BioPharma,https://www.crunchbase.com/organization/toregem-biopharma,"Biotechnology, Health Care, Medical, Pharmaceutical","Kyoto, Kyoto, Japan",Toregem BioPharma is a startup from Kyoto University that develops a treatment for congenital adentia.,"16,114",$1M to $10M,Active,2020-05-01,month,,,,,For Profit,http://www.toregem.co.jp/,"Toregem BioPharma is a startup from Kyoto University that develops a treatment for congenital adentia. Toregem BioPharma is headquartered in Kyoto, Japan.",Early Stage Venture,889995000,JPY,7083957
PHC Holdings,https://www.crunchbase.com/organization/panasonic-healthcare-holdings,"Biotechnology, Health Care, Hospital, Medical, Medical Device, Nursing and Residential Care","Tokyo, Tokyo, Japan",PHC Holdings is a global corporation focused on the development of healthcare and research technology.,"20,626",$100M to $500M,Active,2014-01-01,year,,,,,For Profit,https://www.phchd.com/jp,"Panasonic Healthcare is a global corporation focused on the development of healthcare and research technology. Known throughout the world as a leader in consumer electronics and appliances, Panasonic addresses global needs, such as energy, food, housing, health, and information technology. Here at Panasonic Healthcare, we combine ideas and innovations from our worldwide network of industrial and consumer products into a complete line of biomedical products.",Private Equity,20000000000,JPY,180572233
Metagen Therapeutics,https://www.crunchbase.com/organization/metagen-therapeutics,"Biotechnology, Medical","Tsuruoka, Yamagata, Japan",Metagen Therapeutics is a Drug discovery and medical business company which utilizes microbiome science.,"21,688",,Active,2020-01-17,day,,,,,For Profit,https://www.metagentx.com,"Metagen Therapeutics is a drug discovery and medical business company which utilizes microbiome science. The company promotes drug discovery and medical business using microbiome science. Metagen Therapeutics is a joint venture between Fast Track Initiative Co., Ltd. and Keio Innovation Co., Ltd.",Early Stage Venture,1930000000,JPY,14382215
KAICO,https://www.crunchbase.com/organization/kaico,"Biotechnology, Pharmaceutical","Nishiku, Fukuoka, Japan","KAICO is a  pharmaceuticals, diagnostic drugs production company.","24,949",,Active,2018-04-02,day,,,,,For Profit,http://www.kaicoltd.jp/,"KAICO is a  pharmaceuticals, diagnostic drugs production company.",Early Stage Venture,590000000,JPY,4730964
Modalis Therapeutics,https://www.crunchbase.com/organization/edigene,"Biotechnology, Health Care, Life Science","Tokyo, Tokyo, Japan",Modalis is an biotech company that develops therapeutics using CRISPR based technology.,"25,317",$10M to $50M,Active,2016-01-01,month,2020-08-03,day,,,For Profit,http://www.modalistx.com/jp,Modalis Therapeutics Corporation is an biotech company focusing on developing transformative therapeutics for unmet medical needs using its proprietary technologies on CRISPR and protein engineering platforms. The company has a strong foundation on intellectual property licensed from the University of Tokyo.,IPO,38546754,USD,38546754
