Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Bluepoint Partners,https://www.crunchbase.com/organization/bluepoint-partners-2,"Artificial Intelligence (AI), Augmented Reality, Biopharma, Biotechnology, Energy, Health Care, Internet of Things, Venture Capital, Virtual Reality","Daejeon, Taejon-jikhalsi, South Korea",a hands-on partner for innovative team technology with worldwide impact,184,$1M to $10M,Active,2013-07-01,day,,,,,For Profit,https://bluepoint.ac,"Bluepoint Partners is a partnership-driven startup accelerator and early stage VC fund that concentrates on bridging talented high tech entrepreneurs to launching progressive startups with real global solutions.  Our partners and accelerating experts work hand-in-hand with entrepreneurs enabling them to build, make key connections, launch, grow, and raise capital to continue their company’s vision and journey.     Our family of offices in Deajeon (Tech Valley) and Seoul (Gangnam) keeps us very close and committed to the multi faceted high tech communities.  We host workshops and private events designed to bring our entrepreneurs closer to our family of networks that includes strategic relationships to VCs, partnerships, talent, advisors, press, and key introductions for M&A.  We form deep relationships with our entrepreneurs so we can venerate their unique qualities and play to their strengths.  Together we make a Bluepoint Family.",,11000000000,KRW,9262144
LegoChem Biosciences,https://www.crunchbase.com/organization/legochem-biosciences,"Biotechnology, Health Care","Daejeon, Taejon-jikhalsi, South Korea",Lego Chem Bioscience is a company created by people with dreams and enthusiasm for global new drug development,"7,717",,Active,2006-05-01,month,2013-05-10,day,,,For Profit,http://legochembio.com/,"Lego Chem Bioscience , a company created by people with dreams and enthusiasm for global new drug development, will open up new horizons in Korean new drug development based on systematic drug development system and core technology.",IPO,550000000000,KRW,416523092
Insilico,https://www.crunchbase.com/organization/insilico,"Biotechnology, Consulting, Information Technology, Life Science","Gunpo, Kyonggi-do, South Korea",Insilico provides information technology solutions in the field of life and material science.,"8,028",,Active,2002-11-01,month,,,,,For Profit,http://www.insilico.co.kr,"Insilico is a company that provides new material development and system construction services with a new high-efficiency/low-cost methodology based on IT and material convergence technology. The company also provides technical consulting for molecular modeling and simulation, regulation and quality control, and manufacturing and production information management solutions.",Late Stage Venture,329000000000,KRW,290687562
SIMPLE planet,https://www.crunchbase.com/organization/simple-planet-company,"Agriculture, Alternative Protein, Biotechnology, Food Processing, Sustainability","Seongsu, Seoul-t'ukpyolsi, South Korea",Food biotech company producing sustainable animal cell-based food ingredients using cellular agriculture.,"12,721",,Active,2021-01-01,year,,,,,For Profit,http://www.simpleplanet.io,,Seed,6510000,USD,6510000
Standigm,https://www.crunchbase.com/organization/standigm,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",Standigm is an AI-driven workflow drug discovery company that aims to improve the success rates and efficiency of new drug development.,"17,249",$1M to $10M,Active,2015-05-04,day,,,,,For Profit,http://www.standigm.com,"Standigm is a workflow AI-driven drug discovery company. Standigm has proprietary AI platforms encompassing novel target identification to lead generation to generate commercially valuable drug pipelines. Founded in 2015, the company has established an early-stage drug discovery workflow AI to generate First-in-Class lead compounds within seven months. Pursuing full-stack, AI-driven industrializing drug discovery, Standigm has achieved the automation of molecular design workflow through DarkMolFactory™, and the automation effort has been expanding to the whole drug discovery process on the basis of Standigm AI platforms, including Standigm ASK™ for target discovery, Standigm BEST™ for lead design, and Standigm Insight™ for drug repurposing.",Late Stage Venture,71489442,USD,71489442
Orum Therapeutics,https://www.crunchbase.com/organization/orum-therapeutics,"Biotechnology, Health Care, Therapeutics","Daejeon, Taejon-jikhalsi, South Korea",Private biotech company creating cell penetrating therapeutic antibodies,"17,939",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://www.orumrx.com/,"Orum Therapeutics is a private biotech company developing a new class of therapeutic antibodies targeting cytosolic proteins for unmet medical needs in cancer and rare diseases. Orum leverages its unique cell-penetrating antibody platform, called Oromab™ to inhibit drug targets, previously undruggable by small molecules or current antibody therapeutics. In contrast to other approaches, Orum’s antibody platform can intracellularly deliver an active antibody therapeutic or payload, is easily adaptable to target different cell types and intracellular proteins, and does not require chemical modification.",Early Stage Venture,92000000,USD,92000000
Syntekabio,https://www.crunchbase.com/organization/syntekabio-inc,"Biotechnology, Health Care, Information Technology, Medical","Daejeon, Taejon-jikhalsi, South Korea","Syntekabio is a public company, listed on the KOSDAQ. It is an AI drug discovery and development company based on genomic big data.","19,571",$1M to $10M,Active,2009-09-15,day,2019-12-17,day,,,For Profit,http://www.syntekabio.com,"Syntekabio is a Korean biotech firm, developing personal genome map which is expected to enable personalized medical service. The company also provides a technology for collecting and integrating decrypted whole genome data.",IPO,204108773,USD,204108773
Intocell,https://www.crunchbase.com/organization/intocell,"Biotechnology, Information Technology, Medical","Daejeon, Taejon-jikhalsi, South Korea",Intocell is a biotechnology company that develops antibody drug conjugate (ADC) platform technologies.,"21,008",$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.intocell.co.kr/,"Intocell is a biotechnology company that develops an antibody-drug conjugate platform for the R&D and commercialization of biopharmaceuticals. Intocell creates protein-drug complexes, antibody-drug complexes, and other complexes with their own linkers and drugs.",Late Stage Venture,35000000000,KRW,32138403
Samsung Bioepis,https://www.crunchbase.com/organization/samsung-bioepis,"Biotechnology, Pharmaceutical","Incheon, Inch'on-jikhalsi, South Korea",Samsung Bioepis is a biopharmaceutical company.,"22,906",$100M to $500M,Active,2012-01-01,year,2022-04-20,day,,,For Profit,https://www.samsungbioepis.com,"Samsung Bioepis Co., Ltd. develops and produces biopharmaceutical and biosimilar products. Samsung Bioepis Co., Ltd. has a strategic collaboration agreement with Takeda Pharmaceutical Company Limited. The company was incorporated in 2012 and is based in Incheon,",M&A,748600000000,KRW,667534598
ExoCoBio,https://www.crunchbase.com/organization/exocobio,"Biotechnology, Cosmetics, Health Care, Pharmaceutical","Seoul, Seoul-t'ukpyolsi, South Korea",ExoCoBio has been developing innovative therapeutics as well as cosmetic products based on stem cell-derived exosomes.,"23,160",$1M to $10M,Active,2017-01-01,month,,,,,For Profit,http://www.exocobio.com/,ExoCoBio has been developing innovative therapeutics as well as cosmetic products based on stem cell-derived exosomes.,Late Stage Venture,47000000,USD,47000000
