Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
SeedBlink,https://www.crunchbase.com/organization/seedblink,"Apps, Artificial Intelligence (AI), Biotechnology, Cyber Security, EdTech, Financial Services, FinTech, Machine Learning, Property Management, Software","Bucharest, Bucuresti, Romania","SeedBlink is Europe’s fastest growing investing platform specialized in sourcing, vetting, financing and scaling tech start-ups.","1,131",$1M to $10M,Active,2019-12-10,day,,,,,For Profit,https://seedblink.com/,"Seedblink is Europe’s fastest growing investing platform specialized in sourcing, vetting, financing and scaling tech start-ups. We leverage software, capital and an exclusive industry community to lower barriers to accessing VC level opportunities for both investors and founders.",Early Stage Venture,3515000,EUR,4219954
PhageLab,https://www.crunchbase.com/organization/phage-technologies-s-a,"Biotechnology, Consulting, Enterprise Software, Medical, Pharmaceutical","Santiago, Region Metropolitana, Chile",Phage Lab is a laboratory dedicated to animal welfare.,"2,393",Less than $1M,Active,2009-01-01,year,,,,,For Profit,https://phage-lab.com,"Phage Technologies SA was founded in 2009 from three Engineers interested in Biotechnology, University Andrés Bello by applying scientific research and development as a tool for generating solutions to industrial level and thus create value in products national origin, towards domestic consumption and export. This has prompted the creation of a team working believer in the ability of biotechnology, intellectually capable, proactive, innovative and entrepreneurial, who wanted to start finding the necessary solutions to the problems limiting in various industries from a point of view biological.",,11040000,USD,11040000
Alvotech,https://www.crunchbase.com/organization/alvotech,"Biotechnology, Life Science, Pharmaceutical","Reykjavík, Gullbringusysla, Iceland",Alvotech is a biotechnology company that specializes in making biosimilars to create biologic medicines.,"3,249",$10M to $50M,Active,2013-01-01,day,2022-06-16,day,,,For Profit,http://www.alvotech.com,"Alvotech is a fully integrated specialty biopharmaceutical company focused exclusively on the development and manufacture of high-quality biosimilar medicines. The company's goal is to improve patients' health and quality of life around the world by increasing access to effective therapies for various ailments. Alvotech was established on January 1, 2013, by Róbert Wessman in Reykjavík, Gullbringusysla.",IPO,757000000,USD,757000000
Eurofins Scientific,https://www.crunchbase.com/organization/eurofins,"Biotechnology, Genetics, Health Care, Life Science, Pharmaceutical","Luxembourg, Luxembourg, Luxembourg","Eurofins provides testing and support services to the pharmaceutical, food, environmental, and consumer products industries.","5,886",$1B to $10B,Active,1987-01-01,year,1997-10-24,day,,,For Profit,http://eurofins.com,"Eurofins Scientific is an international life sciences company which provides a unique range of analytical testing services to clients across multiple industries. It specializes in providing food, environment, and pharmaceutical products testing as well as laboratory services for agroscience, genomics, and discovery pharmacology, and for supporting clinical studies. In addition, Eurofins is one of the significant emerging players in specialty clinical diagnostic testing in Europe and the USA. Founded in 1987, Eurofins has developed into one of the global reference network of companies active in its fields of activity operating over 225 laboratories across the world offering more than 130,000 validated analytical methods.  The Group performs more than 150 million assays each year to establish the safety, identity, composition, authenticity, origin, traceability, and purity of biological substances and products, as well as carry out human diagnostic services. Eurofins is committed to supporting its clients’ objectives of ensuring that their products reach the best possible quality and safety levels in all markets in which they operate, and supporting medical practitioners and patients with innovative diagnostic services. The Group intends to continue to develop and acquire a unique range of state-of-the-art analytical technologies as well as expand its geographical reach in order to support its clients’ increasingly stringent quality and safety standards and the expanding demands of regulatory authorities and its customers including healthcare practitioners around the world.",IPO,30000000,USD,30000000
Juvenescence,https://www.crunchbase.com/organization/juvenescence,"Biopharma, Biotechnology, Pharmaceutical","Douglas, NA - Isle of Man, Isle of Man",Juvenescence is a biotech company that develops therapies and products to modify aging and help people live longer.,"9,053",$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.juvlabs.com,"Juvenescence Limited is a British Virgin Islands-based holding company that invests in human aging and longevity. Juvenescence has raised $111M to build an ecosystem and pipeline of assets targeting aging, age-related disease, and regeneration. Juvenescence believes that recent scientific and medical advances will enable the development of therapeutics that meaningfully extend human healthspan and eventually lifespan. A meaningful increase in lifespan in the already aging world will have profound implications on all sectors of society, and in particular healthcare, education, insurance, and leisure. The company creates and partners with new companies with longevity-related therapeutics, by in-licensing compounds from academia and industry, or forming joint ventures with the foremost longevity scientists and leading research institutions. Their work is based on a novel scientific understanding of the underlying biological causes of aging, to create evidence-based therapeutics that can treat diseases of aging. Juvenescence's goal is to extend both lifespan and healthspan, by developing therapeutics that slow aging and promote juvenescence.",Late Stage Venture,219202324,USD,219202324
Oculis,https://www.crunchbase.com/organization/oculis,"Biotechnology, Health Care, Pharmaceutical","Reykjavík, Gullbringusysla, Iceland",Oculis is a clinical-stage biopharmaceutical development company focusing on ophthalmic drugs and novel drug delivery.,"9,985",$1B to $10B,Active,2003-01-01,day,2023-03-03,day,,,For Profit,http://www.oculis.com,"The Oculis drug delivery platform consists of a novel technique to facilitate drug absorption to both anterior and posterior parts of the eye. The advantage is a drug delivery system where diseases of the posterior part of the eye can be treated with a simple topical application. The Oculis drug delivery platform allows diseases such as DME (diabetic macular edema) at the posterior part of the eye to be treated with a non-invasive topical application. Furthermore, the technique has been demonstrated to allow diseases at the anterior part of the eye to be treated with a reduced number of topical applications compared to conventional eye-drops.",IPO,225605910,USD,225605910
Kentegra Biotechnology Holdings LLC,https://www.crunchbase.com/organization/kentegra-biotechnology-holdings-llc,"Agriculture, Biotechnology, Farming","Nairobi, Nairobi Area, Kenya",Biotechnology company specialized in the production of organic insecticide pyrethrum,"20,797",,Active,2017-01-01,year,,,,,For Profit,,"Kentegra Biotechnology Holdings is a leading U.S-Kenyan company that supports a Kenyan-based biopesticide processing business that aggregates, extracts, and refines pale refine extract (PRE) from the pyrethrum flower, and sells the PRE to formulators across the world. Kentegra is committed to improving farmer’s livelihoods by investing in the communities where we are working to help farmers and their families have a more stable income and better quality of life. Grants: Norad 2021, AgriFi 2020, USAID 2020, USAID 2019, DEG 2020, DEG 2019",,15000000,USD,15000000
Botanical Solutions,https://www.crunchbase.com/organization/botanical-solutions,"Agriculture, Biotechnology, Chemical, Farming, Manufacturing","Vitacura, Region Metropolitana, Chile",Botanical Solutions is a startup company that manufactures plant-based active ingredients and products from advanced botanicals.,"22,630",$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://botanical-solution.com,"Botanical Solutions is a startup company that manufactures plant-based active ingredients and products from advanced botanicals. The company is the producer of biopesticide intended to assist in sustainable agriculture. The company's biopesticide assists in protecting crops against Botrytis effectively with no residues while taking care of field workers' safety, enabling growers to implement integrated pest management programs and meeting final customer's demands for quality and healthy food.",Early Stage Venture,16400000,USD,16400000
Polybion,https://www.crunchbase.com/organization/polybion,"Biomass Energy, Biotechnology, Manufacturing, Textiles","Irapuato, Guanajuato, Mexico",Polybion is a manufacturer of bio-assembled materials.,"31,057",$1M to $10M,Active,2015-11-25,day,,,,,For Profit,https://www.polybion.bio/,"Polybion uses waste as a raw material to design, produce, and finish bio-assembled products to help designers and material engineers. Their products reduce the environmental impact generated by textile materials derived from petroleum or from animals.",Early Stage Venture,4885388,USD,4885388
GenePlanet,https://www.crunchbase.com/organization/geneplanet,Biotechnology,"Ljubljana, Ljubljana Urban Commune, Slovenia","GenePlanet is a European company active in the field of biotechnology, specializing in genetic testing and research. ","32,052",,Active,2008-01-01,year,,,,,For Profit,http://www.geneplanet.com,"GenePlanet is a European company active in the field of biotechnology, specializing in genetic testing and research. They specialize in preventive genetic tests that are intended for the end user, but they also offer clinical genetic tests which help doctors with their therapeutic procedures. Their tests adhere to the highest standards of quality and are based on the latest scientific discoveries. They provide people with information which can help them adjust their lifestyle accordingly and take measures that will provide additional protection from health risks due to genetic predispositions.",Early Stage Venture,30000000,EUR,34203596
