Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Quibim,https://www.crunchbase.com/organization/quibim,"Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Hospital, Pharmaceutical","Valencia, Comunidad Valenciana, Spain","Quibim, a company with its headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis.","3,001",$10M to $50M,Active,2012-10-10,day,,,,,For Profit,https://www.quibim.com,"Quibim, with headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis. Quibim products are used worldwide by leading pharmaceutical companies and research teams. Partners use Quibim Precision®, a whole-body imaging ecosystem, for a wide range of applications from detecting a disease to tracking the efficacy of novel treatments.  Quibim follows an AI-first approach to help detect pathologies across every body part and imaging modality, using quantitative imaging biomarkers. We understand every body part. We speak human.",Seed,17013425,EUR,19586338
Capital Cell,https://www.crunchbase.com/organization/capital-cell,"Biotechnology, FinTech, Life Science, Medical, Medical Device, Pharmaceutical","Barcelona, Catalonia, Spain","Capital Cell offers crowdfunding, fundraising, equity, and biotech services.","4,332",$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://capitalcell.es,"Capital Cell is a crowdinvesting platform for biotech and life sciences companies. Mixing VC, business angels, accredited investors, and the power of the crowd, the company is building a global meeting point for companies and researchers working, fostering, and financing tomorrow’s medical science.",,1685098,EUR,1951400
Inbrain Neuroelectronics,https://www.crunchbase.com/organization/inbrain-neuroelectronics,"Biotechnology, Consumer Electronics, Medical Device","Barcelona, Catalonia, Spain",Inbrain Neuroelectronics is a bioelectronics company using graphene to build the least invasive and most intelligent neural platform,"9,847",$1M to $10M,Active,2019-12-09,day,,,,,For Profit,https://www.inbrain-neuroelectronics.com,Inbrain Neuroelectronics SL is a bioelectronics company dedicated to the development and commercialization of graphene neural interfaces and intelligent neuromodulation platforms,,55730000,EUR,61769607
Universal Diagnostics,https://www.crunchbase.com/organization/universal-diagnostics-sl,"Biopharma, Biotechnology, Medical","Seville, Andalucia, Spain","UDX is an in-vitro diagnostics company developing a platform of minimally-invasive, blood-based solutions for the early detection of cancer","14,562",Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://www.universaldx.com,"Universal Diagnostics S.L. (UDX) is a Spanish in-vitro diagnostics company developing a platform of minimally-invasive, blood-based solutions for detecting cancer early when treatment options are more plentiful and survival rates are still high. UDX believes that the best way to fight against cancer is by detecting it early.   The UDX diagnostic platform is designed to detect various cancer types, e.g. colorectal, liver, pancreatic, lung, and gastric cancer via one simple blood test. The assays rely on a curated set of proprietary methylation marker panels; a simple blood sample collected as part of a routine check-up, can be processed at a reference laboratory or hospital using standard equipment and then uploaded to the UDX Cloud for final algorithmic analysis.   UDX’s first marker panel is a colorectal cancer screening test. The test identifies individuals who need to be referred for colonoscopy. Colorectal cancer is the 3rd most frequent cancer and 2nd deadliest cancer worldwide. The challenge is that colorectal cancer is mostly detected in late stages, with significantly decreased survival rates (11% survival rate in stage IV vs. 85% survival rate in stage I).   To develop the test and execute its R&D and operations, UDX partners with international research institutions, hospitals, universities, and biobanks around the globe.",Early Stage Venture,100693729,EUR,112554089
Affirma Biotech,https://www.crunchbase.com/organization/affirma-biotech,"Biopharma, Biotechnology, Life Science, Medical, Pharmaceutical","Barcelona, Catalonia, Spain",Affirma Biotech is a pre-clinical startup which develops host-directed drugs as treatments for chronic and infection diseases.,"20,441",,Active,2020-01-01,year,,,,,For Profit,https://www.affirmabio.com/,Affirma Biotech is a developer of host-directed drugs as broad-spectrum treatments for chronic and severe infectious diseases. The company utilizes host-directed therapy strategies to interfere with host cell factors that are required by a pathogen for replication or persistence. The company engages in the discovery and development of new anti-infective drugs via immunomodulation.,,1975000,EUR,2134636
Splice Bio,https://www.crunchbase.com/organization/proteodesign,"Biotechnology, Life Science, Medical, Pharmaceutical","Barcelona, Catalonia, Spain",Splice Bio is a biotech company based on intein technologies developed in the Muir Lab at Princeton University.,"21,087",$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://splice.bio/,"Splice Bio is a gene therapy company based on technology developed in the Muir Lab at Princeton University. The company is developing novel gene therapies based on its proprietary intein platform technology to treat patients that suffer from incurable genetic diseases. The company’s platform has the potential to address two existing limitations of adeno-associated viruses (AAVs), both by increasing the size of the cargo gene that can be delivered and by expanding the range of tissues that can be targeted.",Early Stage Venture,51700000,EUR,58849103
Asabys Partners,https://www.crunchbase.com/organization/asabys-partners,"Biotechnology, Life Science, Medical Device, Pharmaceutical","Barcelona, Catalonia, Spain","Asabys Partners is based in Barcelona and specialises in early-stage biotech, medical technology and healthcare innovation projects.","22,871",Less than $1M,Active,2018-05-01,day,,,,,For Profit,https://asabys.com/,"Asabys Partners is a venture capital firm that invests across the board in human healthcare. The company is active in the health-tech and biopharma industries and aims to invest in Spain and abroad in innovative and transformative technologies. Asabys Partners are motivated by the idea of pushing the boundaries of science and medicine. This is done through the sourcing and financing of the most disruptive technologies, and through the collaboration with the best internal and external talents of our industry.",Seed,1000000,EUR,1191610
Oryzon Genomics SA,https://www.crunchbase.com/organization/oryzon-genomics,"Biopharma, Biotechnology, Genetics, Health Care, Medical, Therapeutics","Barcelona, Catalonia, Spain",Oryzon Genomics is a biopharmaceutical company developing epigenetics-based therapeutics for patients with cancer and CNS disorders.,"25,436",$1M to $10M,Active,2000-06-02,day,2015-12-14,day,,,For Profit,http://www.oryzon.com,"Oryzon Genomics is a biopharmaceutical company developing epigenetics-based therapeutics for patients with cancer and CNS disorders. Oryzon is able to identify and validate biomarkers and therapeutic targets through its epigenetic platform and turn them into advanced and personalized therapies. Oryzon Genomics has a growing portfolio, with two compounds in Phase II clinical trials: iadademstat (aka ORY-1001), a potent and selective LSD1 inhibitor for oncology, and vafidemstat (aka ORY-2001), a CNS optimized LSD1 inhibitor for the treatment of neurological diseases. The portfolio includes ORY-3001, a selective LSD1 inhibitor in preclinical development for the treatment of non-oncological diseases.",IPO,212433706,USD,212433706
Neuroelectrics,https://www.crunchbase.com/organization/neuroelectrics,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical Device, Software","Barcelona, Catalonia, Spain","Neuroelectrics is a digital brain health company that diagnoses and treats brain disorders, and improves overall brain health.","27,487",$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://www.neuroelectrics.com/,"Neuroelectrics is a digital brain health company that innovates at the intersection of neuroscience, physics, machine learning, and hardware. The company has developed wireless EEG and tDCS/tACS/tRNS stimulation devices with up to 32 channels, amongst other products encompassing software and research services, with the purpose of monitoring and enhancing brain health. It was founded in 2012 and headquartered in Barcelona, Catalonia.",Early Stage Venture,17500000,USD,17500000
Minoryx Therapeutics,https://www.crunchbase.com/organization/minoryx-therapeutics,"Biotechnology, Genetics, Health Care, Medical, Pharmaceutical","Barcelona, Catalonia, Spain","Minoryx Therapeutics offers pharmacological chaperones, which are small molecule drugs used for the treatment of genetic diseases.","29,215",$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://www.minoryx.com,"Minoryx, they are committed to finding innovative treatments for life threatening rare diseases. They focus on pediatric diseases and they are currently working on treatments for neurometabolic diseases of genetic origin.Minoryx develops a new generation of small molecule drugs known as pharmacological chaperones, which offer the most promising approach to the treatment of genetic diseases severely affecting the central nervous system. As a complementary approach, Minoryx is also involved in repositioning-based projects.",Late Stage Venture,127287500,EUR,143914969
