Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Prenetics,https://www.crunchbase.com/organization/prenetics,"Biotechnology, Genetics, Health Care, Health Diagnostics, InsurTech, Wellness","Quarry Bay, Hong Kong Island, Hong Kong",Prenetics is a genetic and diagnostic health testing company that helps to identify health risks with the use of DNA sequencing technology.,"7,662",$100M to $500M,Active,2009-01-01,year,2022-05-18,day,,,For Profit,https://www.prenetics.com,"Prenetics is a genetic and diagnostic health testing company that helps identify health risks with the use of a DNA sequencing technology. The startup company empowers individuals with valuable health information. It also offers a digital coaching app that provides people with a DNA profile that helps them adjust their diet. With a simple saliva sample, individuals can discover how their genes affect their diet, drug response, disease, and cancer risk. This information enables people to make health a choice, by living healthier and proactively preventing diseases. Prenetics operates its direct to consumer genomics business via its two brands, CircleDNA in Asia and DNAFit. Danny Yeung, Lawrence Tzang, and Michael M. Yang headquartered Prenetics in Quarry Bay, Hong Kong Island in 2009.",IPO,187650000,USD,187650000
PharmaEssentia,https://www.crunchbase.com/organization/pharmaessentia,"Biotechnology, Health Care, Pharmaceutical","Taipei, T'ai-pei, Taiwan","PharmaEssentia develops treatments for myeloproliferative neoplasms, hepatitis, and other diseases.","10,029",$10M to $50M,Active,2003-01-01,day,2016-07-19,day,,,For Profit,https://us.pharmaessentia.com/,"PharmaEssentia Corporation is a biopharmaceutical company that develops treatments for myeloproliferative neoplasms, and hepatitis. They deliver biologics for diseases in the areas of hematology and oncology, with products approved in a diversifying pipeline. Their services include biologics, oncology, rare disease, orphan drugs, orphan disease, drug development, pharmaceuticals, and hematology.",IPO,462700000,USD,462700000
AnBogen Therapeutics,https://www.crunchbase.com/organization/anbogen-therapeutics,"Biotechnology, Medical, Oncology","Nankang, T'ai-pei, Taiwan",Anbogen Therapeutics is a clinical-stage biotech company to creating breakthrough science that changes the life of cancer patients.,"11,839",,Active,2019-01-01,year,,,,,For Profit,https://www.anbogen.com,Anbogen is a clinical-stage biotechnology company dedicated to developing precision anti-cancer drugs that hold the/promise of curing cancers and/or improving the lives of cancer patients worldwide.,Early Stage Venture,12500000,USD,12500000
Avant Meats,https://www.crunchbase.com/organization/avant-meats,Biotechnology,"Central, Hong Kong Island, Hong Kong",Avant Meats is a technology company with patent-pending solutions to produce animal meat and protein without the animal,"14,177",$1M to $10M,Active,2018-01-01,year,,,,,For Profit,https://www.avantmeats.com/,"They focus on technology, commercial product innovation, and branding as well as intellectual property portfolio building in the area of ‘cell-based’ animal protein food products.",Early Stage Venture,13900000,USD,13900000
Eden Biologics,https://www.crunchbase.com/organization/jhl-biotech,"Biopharma, Biotechnology, Health Care, Health Diagnostics, Medical, Pharmaceutical","Hsinchu, T'ai-wan, Taiwan",Eden Biologics is a biopharmaceutical company that develops biosimilars and accelerates the development programs for clients & partners.,"15,171",$10M to $50M,Active,2012-01-01,year,2018-02-12,day,,,For Profit,https://www.edenbiologics.com,"Eden Biologics, formerly known as JHL Biotech (""JHL"") , is a biopharmaceutical company that develops biosimilars and accelerates the development programs for clients & partners through the provision of contract development and manufacturing services. We are specialists in manufacturing biologics, from cell line development to commercial manufacturing with both global and regional regulatory affairs expertise.",M&A,266600000,USD,266600000
HUTCHMED (China) Limited,https://www.crunchbase.com/organization/HUTCHMED,"Biopharma, Biotechnology, Health Care, Medical, Pharmaceutical","Kowloon City, Kowloon, Hong Kong","HUTCHMED (Nasdaq/AIM:HCM; HKEX:13) is an innovative, commercial-stage, biopharmaceutical company.","17,317",$100M to $500M,Active,2000-01-01,year,2021-06-30,day,,,For Profit,https://www.hutch-med.com/,"HUTCHMED (Nasdaq/AIM:HCM; HKEX:13) is an innovative, commercial-stage, biopharmaceutical company. It is committed to the discovery and global development and commercialization of targeted therapies and immunotherapies for the treatment of cancer and immunological diseases. It has more than 4,600 personnel across all its companies, at the center of which is a team of over 1,500 in oncology/immunology. Since inception it has advanced 12 cancer drug candidates from in-house discovery into clinical studies around the world, with its first three oncology drugs now approved and marketed. For more information, please visit: www.hutch med.com or follow us on LinkedIn.",IPO,220200000,USD,220200000
Insilico Medicine,https://www.crunchbase.com/organization/insilico-medicine,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical","Hong Kong, Hong Kong Island, Hong Kong",Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,"22,386",$1M to $10M,Active,2014-01-01,month,,,,,For Profit,http://www.insilico.com,"Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases. It pioneered the applications of the generative adversarial networks (GANs), reinforcement learning, transfer learning, and meta-learning for the generation of novel molecular structures for the diseases with known and unknown targets, and, unlike the other companies in the field, is developing the end-to-end pipeline covering every step of drug discovery, clinical trials analysis, and digital medicine. Insilico Medicine is pursuing internal drug discovery programs in cancer, dermatological diseases, fibrosis, Parkinson's Disease, Alzheimer's Disease, ALS, diabetes, sarcopenia, and aging. Through a partnership with Life Extension, the company launched a range of nutraceutical products, which were compounded using advanced bioinformatics techniques and deep learning approaches. It also provides a range of consumer-facing applications including Young.AI.",Late Stage Venture,401300000,USD,401300000
Foresee pharma,https://www.crunchbase.com/organization/foresee-pharma,"Biotechnology, Health Care, Medical, Pharmaceutical","Taipei, T'ai-pei, Taiwan","Foresee Pharmaceuticals Co., Ltd. (FP) is a clinical-stage pharmaceutical company.","33,693",,Active,2013-01-01,year,2018-06-29,day,,,For Profit,https://www.foreseepharma.com/,"Foresee Pharmaceuticals Co., Ltd. (FP) is a clinical-stage pharmaceutical company. Our mission is to serve patients. We strive to improve patients' quality of life and provide cure through innovative research. We are committed to apply the highest ethical standards to our products, services and communications. Foresee's core competency includes rapid development and commercialization of new drugs using its proprietary drug delivery technology as well as develop first-in-class NCE in disease areas of high unmet medical needs.",IPO,1312500000,TWD,42320416
Caliway,https://www.crunchbase.com/organization/caliway,"Biotechnology, Health Care, Medical, Pharmaceutical","Taipei, T'ai-pei, Taiwan",Caliway is a biopharmaceutical company that develops drugs for medical aesthetic and anti-aging medicine products.,"35,495",,Active,2012-01-01,year,,,,,For Profit,https://www.caliway.com.tw,,,3040000000,TWD,97439027
Kira Pharmaceuticals,https://www.crunchbase.com/organization/kira-pharmaceuticals,"Biotechnology, Medical, Pharmaceutical","Hong Kong, Hong Kong Island, Hong Kong",Kira Pharmaceuticals is a Biotechnology Research Company.,"44,255",,Active,2017-01-01,year,,,,,For Profit,http://www.kirapharma.com/,Kira Pharmaceuticals their treatment gives pioneering complement drug discovery to deliver transformative therapies for people with complement-mediated diseases.,Early Stage Venture,99500000,USD,99500000
