Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Organization),Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD)
Alto Neuroscience,https://www.crunchbase.com/organization/alto-neuroscience,"Artificial Intelligence (AI), Biopharma, Biotechnology, Neuroscience, Precision Medicine","Los Altos, California, United States",Alto Neuroscience is a clinical-stage biopharmaceutical company that creates precision medicines through its AI-driven biomarker platform.,68,$10M to $50M,Active,2019-01-01,year,2024-02-02,day,,,For Profit,https://www.altoneuroscience.com,"Alto Neuroscience is a clinical-stage biopharmaceutical company that integrates the biology of the patient into drug development to improve the lives of people with mental health conditions. Through its AI-enabled biomarker platform, Alto Neuroscience combines rich sources of information on patients’ brain activity and behavior to rapidly develop highly-effective medicines for targeted populations. Alto Neuroscience aims to replace today's trial-and-error clinical approach by aligning the right Alto drug with the right patient, redefining psychiatry at a time when the world needs it most.",IPO,239261815,USD,239261815
Cellares,https://www.crunchbase.com/organization/cellares,"Biotechnology, Life Science, Manufacturing, Medical, Therapeutics","South San Francisco, California, United States",Cellares is a life sciences technology company that develops the Cell Shuttle to automate cell therapy manufacturing.,670,$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://www.cellares.com,"Cellares develops the Cell Shuttle, to overcome the challenges associated with manufacturing so these life-saving therapies are affordable and widely available to patients who can benefit. The clinical impact of cell therapy in treating cancer has been proven, but this therapeutic approach has several limitations, especially in manufacturing, leaving extremely sick patients waiting for treatment and desperate for hope. Since cell therapy is currently produced for a single patient at a time, it is expensive to manufacture, requiring significant time and resources, and is difficult to scale.  Preclinical and clinical scientists, as well as commercial cell therapy manufacturers also lack the options to fully automate their manufacturing process quickly, safely, cost-effectively, and at the scale they need. The Cell Shuttle is an automated and closed end-to-end manufacturing solution that is flexible and scalable, enabling customers to run exact processes specified for their cell therapy. Compared with the current manual manufacturing processes for cell therapy, the Cell Shuttle’s next-generation automated manufacturing solution has 10 times the scalability (meaning 10 times more patient doses can be produced simultaneously), enables a three-fold reduction in process failure rates, and will reduce the per-patient manufacturing cost by up to 70 percent for most processes.",Late Stage Venture,355000000,USD,355000000
Remix Therapeutics,https://www.crunchbase.com/organization/remix-therapeutics,"Biotechnology, Health Care, Medical, Therapeutics","Cambridge, Massachusetts, United States",Remix Therapeutics is a biotechnology company that is working on developing small molecule medicines.,703,$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.remixtx.com,"Remix Therapeutics is a biotechnology business that is working on developing small-molecule medicines to reprogram ribonucleic acid processing and cure disease in novel ways. The company's medicines aid in the identification of patterns in ribonucleic acid processing and their application to control gene expression in order to change the way genes are read from the genome, correcting, enhancing, or eliminating the gene message, allowing healthcare practitioners to address disease causes at their source.",,211000000,USD,211000000
Dianthus Therapeutics,https://www.crunchbase.com/organization/dianthus-therapeutics,"Biopharma, Biotechnology, Health Care","Waltham, Massachusetts, United States",Dianthus Therapeutics is a biotech company developer of therapeutics and drugs.,"1,206",$1M to $10M,Active,2019-01-01,year,2023-09-12,day,,,For Profit,https://dianthustx.com,"Dianthus Therapeutics is a biotech company operating in stealth mode. It was founded in 2019 and is based in Waltham, Massachusetts.",IPO,351499996,USD,351499996
Genesis Therapeutics,https://www.crunchbase.com/organization/genesis-therapeutics,"Artificial Intelligence (AI), Biotechnology, Information Technology","South San Francisco, California, United States",Genesis Therapeutics unifies AI and biotech to accelerate the discovery of new medicines.,"1,629",,Active,2019-11-01,month,,,,,For Profit,https://www.genesistherapeutics.ai,"Genesis Therapeutics is a company that has its roots in academic research, which serves as the foundational element of its growing portfolio of AI technologies. The company employs a combination of innovative deep neural networks, biophysical simulation techniques, and highly scalable computing infrastructure. This amalgamation of technologies is geared towards achieving remarkable results in molecular generation and property prediction, particularly in the field of drug discovery and molecular design. Established in 2019 and headquartered in South San Francisco, California, Genesis Therapeutics focuses on leveraging innovative AI methodologies to enhance the efficiency and accuracy of molecular research. The company's approach holds promise in revolutionizing how molecules are generated and analyzed, potentially leading to advancements in drug development and related fields.",Early Stage Venture,256100000,USD,256100000
54gene,https://www.crunchbase.com/organization/54gene,"Biotechnology, Genetics, Health Care, Life Science","Washington, District of Columbia, United States",54gene is a healthcare startup that offers a genetics testing platform.,"1,835",$1M to $10M,Active,2019-01-01,year,,,,,For Profit,https://www.54gene.com,"54gene is a healthcare startup unlocking the African genome to fuel genetic research and development that may lead to new discoveries and benefit all populations. 54gene was founded in 2019 by Dr. Abasi Ene-Obong to address the significant gap in the global genomics market: Nearly 90% of genetic material used in pharmaceutical research is caucasian. Only 2% is African, despite the fact that Africans and people of African ancestry are more genetically diverse than all other world populations combined. As a result, pharmaceutical research and development is lacking the diverse data that may hold the key to medical discoveries and new healthcare solutions.",Early Stage Venture,94725000,USD,94725000
Enveda Biosciences,https://www.crunchbase.com/organization/enveda-therapeutics,"Biotechnology, Pharmaceutical, Therapeutics","Boulder, Colorado, United States",Enveda Biosciences is a biotechnology company engineering new drugs from plants.,"1,926",$10M to $50M,Active,2019-01-01,year,,,,,For Profit,https://envedabio.com,"Enveda Biosciences is a biotechnology company building new medicines from plants. It harnesses the complexity of the natural world to tackle today’s biggest healthcare challenges. With the help of the advancements in knowledge graphs, machine learning, and metabolomics, they discover the next generation of small molecules. Its technologies systematize the discovery of small molecules and novel targets for complex diseases. By probing novel chemical space and mechanisms of action, they are breaking the status quo for challenging diseases with a need for effective treatments, such as fibrosis or neurodegeneration. Enveda, launched in 2019, is headquartered in Boulder, Colorado.",Early Stage Venture,174900000,USD,174900000
Valo Health,https://www.crunchbase.com/organization/valo-health,"Biotechnology, Health Care, Information Technology, Medical","Boston, Massachusetts, United States",Valo Health is a technology company focused on utilizing large scale data and AI-driven computation to discover and develop therapeutics.,"1,993",$100M to $500M,Active,2019-01-01,year,,,,,For Profit,https://www.valohealth.com/,"Valo Health, Inc (Valo) is a technology company focused on utilizing large scale data and AI-driven computation to discover and develop therapeutics. Valo aims to fully integrate human-centric data across the entire drug development life cycle into a single unified architecture, thereby accelerating the discovery and development of life-changing drugs while simultaneously reducing costs, time, and failure rates. The company’s Opal Computational Platform™ is an end-to-end drug discovery and development platform with a unified architecture designed to transform data into valuable insights that may accelerate discoveries and enable Valo to advance a robust pipeline of programs, initially focused on cardiovascular metabolic renal, oncology, and neurodegenerative disease. Founded by Flagship Pioneering and headquartered in Boston, MA, Valo also has offices in Lexington, MA, and New York, NY. To learn more, visit valohealth.com.",Late Stage Venture,460000000,USD,460000000
BioCentriq,https://www.crunchbase.com/organization/biocentriq,"Biotechnology, Genetics, Manufacturing","Newark, New Jersey, United States",BioCentriq is a cell and gene therapy development and manufacturing center.,"2,105",$1M to $10M,Active,2019-01-01,year,2022-04-19,day,,,For Profit,https://biocentriq.com,"BioCentriq is the cell and gene therapy development and manufacturing center. Leveraging state-of-the-art facilities, cutting-edge technologies, and a team of seasoned professionals, the company has a demonstrated history of effectively transferring, developing and manufacturing GMP drug products for clinical trial use. BioCentriq is committed to driving innovation in cell therapy and assisting its partners in delivering transformative treatments to patients globally.",M&A,29200000,USD,29200000
Eikon Therapeutics,https://www.crunchbase.com/organization/eikon-therapeutics,"Biotechnology, Health Care, Life Science, Medical","Hayward, California, United States",Eikon Therapeutics is a biopharmaceutical company that develops live-cell resolution microscopy and engineering for drug discovery.,"2,207",$50M to $100M,Active,2019-01-01,year,,,,,For Profit,http://www.eikontx.com,"Eikon Therapeutics is a biopharmaceutical company employing revolutionary technology at the interface of biology, engineering, and chemistry to discover novel treatments for life-threatening diseases. Eikon’s discovery platform is built on groundbreaking innovations from its founders (Nobel Prize, 2014), culminating in the creation of microscopes that enable real-time, molecular-resolution measurements of protein movement in living cells.",Late Stage Venture,772000000,USD,772000000
