Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Hans Erni,https://www.crunchbase.com/person/hans-erni-30af,1,,,Hans Erni,Individual/Angel,,1,,,,,,,,"250,800"
Howard Rowe,https://www.crunchbase.com/person/howard-rowe,,,"London, England, United Kingdom",Mr. Rowe graduated cum laude from Harvard Law School and summa cum laude from the University of Southern California with a BS in Psychobiolo...,Investment Partner,Post-Ipo,,2,,,,,,,"250,801"
Julian Allen,https://www.crunchbase.com/person/julian-allen,,,"San Francisco, California, United States",Julian Allen - Board of Directors @ LoanTrader,Investment Partner,,,1,,,,,,,"250,805"
Joe Scarpaccio,https://www.crunchbase.com/person/joe-scarpaccio,,,"Los Angeles, California, United States",Joe Scarpaccio is the current CEO of Fetcharate. He previously worked at Capstone Partners LLC as a Director of Marketing. Joe Scarpaccio at...,,,,,,,,,,,"250,817"
Vincent Jardin,https://www.crunchbase.com/person/vincent-jardin,,,,Vincent Jardin,,,,,,,,,,,"250,823"
Kiran Karnawat,https://www.crunchbase.com/person/kiran-karnawat,1,,,Kiran Karnawat,Individual/Angel,Seed,1,,1,,,,,,"250,803"
Jermey Ernst,https://www.crunchbase.com/person/jermey-ernst,1,,,Jermey Ernst,Individual/Angel,,1,,,1,,,,,"250,824"
William Li,https://www.crunchbase.com/person/william-li,,,,William holds the positions of Project manager and Deputy Manager of the Investment Dept of CSVC and has done so for 5 years. Mr. Li was Pro...,,,,,,,,,,,"250,811"
Manju Han,https://www.crunchbase.com/person/manju-han,,,"Seongnam, Kyonggi-do, South Korea",Manju Han,,,,,,,,,,,"250,812"
Ning Zhu,https://www.crunchbase.com/person/ning-zhu-124a,1,,,Ning Zhu,Individual/Angel,,1,,,,,,,,"250,813"
Diego Del Vecchio,https://www.crunchbase.com/person/diego-del-vecchio,,,"Milan, Lombardia, Italy",Diego Delvecchio is the Chief Technology Officer at e-Shock.,,,,,,,,,,,"250,814"
Mayank Agrawal,https://www.crunchbase.com/person/mayank-agrawal-2c34,,,"Bhopal, Madhya Pradesh, India",Mayank Agrawal,,,,,,,,,,,"250,810"
Matt Cuts,https://www.crunchbase.com/person/matt-cuts,1,,,Matt Cuts,Individual/Angel,Seed,1,,,1,,,,,"250,825"
Mark Langner,https://www.crunchbase.com/person/mark-langner,,,,Mark Langner,,,,,,,,,,,"250,815"
Stephanie Lemos,https://www.crunchbase.com/person/stephanie-lemos,,,,Marketing Thought Leader | Demand Gen Expert | Digital Marketer,,,,,,,,,,,"250,816"
Guilherme Longoni Lara,https://www.crunchbase.com/person/guilherme-longoni-lara,,,"Porto Alegre, Rio Grande do Sul, Brazil",Guilherme Longoni Lara - Co-founder | CFO @ ONNi,,,,,,,,,,,"250,820"
Chris Mihalicz,https://www.crunchbase.com/person/chris-mihalicz,,,"Toronto, Ontario, Canada",Chris Mihalicz,,,,,,,,,,,"250,818"
Marco Pisani,https://www.crunchbase.com/person/marco-pisani,,,,Marco Pisani,,,,,,,,,,,"250,807"
Grégoire Schlumberger,https://www.crunchbase.com/person/grégoire-schlumberger,,,"London, England, United Kingdom",Grégoire Schlumberger,Investment Partner,,,1,,,,,,,"250,826"
Raphaël Kattan,https://www.crunchbase.com/person/raphaël-kattan,,,"Paris, Ile-de-France, France",Raphaël Kattan - Council Associate Director @ Talenco,Investment Partner,,,1,,,,,,,"250,828"
Gabriel von dem Bussche,https://www.crunchbase.com/person/gabriel-von-dem-bussche,2,,,Gabriel von dem Bussche,Individual/Angel,,2,,,,,,,,"250,829"
Xiaoping Ju,https://www.crunchbase.com/person/xiaoping-ju,1,,,Xiaoping Ju,Individual/Angel,,1,,1,,,,,,"250,832"
Abitter Mehmet Turktas,https://www.crunchbase.com/person/abitter-mehmet-türktaş,,,"Istanbul, Turkey, Europe",Abitter Mehmet Turktas - Founder & Managing Director @ GOTOCURE,,,,,,,,,,,"250,805"
Kathleen Knight,https://www.crunchbase.com/person/kathleen-knight-1626,,,"New York, New York, United States",Kathleen Knight,Investment Partner,,,9,,,,,,,"250,836"
Janice Stein,https://www.crunchbase.com/person/janice-stein,,,"Santiago, Region Metropolitana, Chile",Janice Stein,,,,,,,,,,,"250,833"
Mohamed Shahin Fathy,https://www.crunchbase.com/person/mohamed-shahin-fathy,,,,Mohamed Shahin Fathy,,Private Equity,,,,,,,,,"250,840"
Bose Zhan,https://www.crunchbase.com/person/poson-jon,,,"Guangzhou, Guangdong, China","Cofounder of hufu.com (hufu means ""skincare"" in Chinese), a stealth mode SNS related to Skincare topics.",,,,,,,,,,,"250,841"
John Bailey,https://www.crunchbase.com/person/john-bailey-275c,,,"San Francisco Bay Area, California, United States",John Bailey,Investment Partner,,,1,,,,,,,"250,835"
Dieter Weiss,https://www.crunchbase.com/person/dieter-weiss,1,,,Dieter Weiss,Individual/Angel,Seed,1,,,,,,,,"250,837"
Matteo Mastrotto,https://www.crunchbase.com/person/matteo-mastrotto,,,,Matteo Mastrotto,,,,,,,,,,,"250,838"
Daniel Opris,https://www.crunchbase.com/person/daniel-opris,,,,Daniel Opris,,Grant,,,,,,,,,"250,848"
Steve Muller,https://www.crunchbase.com/person/steve-muller,1,1,,Steve Muller,Individual/Angel,Seed,1,,,1,1,,,,"250,834"
Dennis Goetges,https://www.crunchbase.com/person/dennis-goetges-034a,,,"Lake Saint Louis, Missouri, United States",Dennis Goetges,,,,,,,,,,,"250,859"
Perry Vieth,https://www.crunchbase.com/person/perry-vieth,,,"Hingham, Massachusetts, United States","Perry Vieth is the President at Ceres Partners, LLC.",,,,,,,,,,,"250,843"
Rafael Guasti,https://www.crunchbase.com/person/rafael-guasti,,,"Ribeirão, Sao Paulo, Brazil",CEO no MeuJardim App,,,,,,,,,,,"250,842"
Keith Straker,https://www.crunchbase.com/person/keith-straker,,,"Newcastle upon Tyne, United Kingdom, Europe",Keith Straker,,,,,,,,,,,"250,852"
Markus Enzelberger,https://www.crunchbase.com/person/markus-enzelberger-7fe4,,,"Munich, Bayern, Germany",Markus Enzelberger is a Partner at Versant Ventures.,Investment Partner,,,1,,,,,,,"250,849"
Kai Janssen,https://www.crunchbase.com/person/kai-janssen,,,,Kai Janssen,,,,,,,,,,,"250,844"
Bring love back by Vashi-Karan specialist,https://www.crunchbase.com/person/vashikaran-to-get-love-back,,,"New Delhi, Delhi, India","Online Vashikaran specialist astrologer, Acharya Ravi Ji Vashikaran is an art that helps people to control the mind of your beloved and way ...",,,,,,,,,,,"250,845"
Sean Creehan,https://www.crunchbase.com/person/sean-creehan-6f7e,,,,653 Investment Partners Co-Founder and Principal,,,,,,,,,,,"250,851"
Paul Hamlin,https://www.crunchbase.com/person/paul-hamlin,,,,Paul Hamlin,,,,,,,,,,,"250,853"
Dr. Hua Yi,https://www.crunchbase.com/person/dr-hua-yi,,,,Dr. Hua Yi is a managing Director of CS Capital.,Investment Partner,,,1,,,,,,,"250,850"
John Butterworth,https://www.crunchbase.com/person/john-butterworth,,,"London, England, United Kingdom","John is an Investment Manager responsible for sourcing, executing and managing Connection Capital's private equity transactions alongside Be...",,,,,,,,,,,"250,847"
Wei Li,https://www.crunchbase.com/person/wei-li-87fc,,,,Li Wei is a joint partner at QianHai FoFs and the founding partner of Songhe Capital.,Investment Partner,,,1,,,,,,,"250,824"
webomax webomax,https://www.crunchbase.com/person/webomax-webomax,,,,webomax webomax,,,,,,,,,,,"250,860"
Jonathan Isaacsohn,https://www.crunchbase.com/person/jonathan-isaacsohn,,,"Cincinnati, Ohio, United States",Jonathan Isaacsohn,,,,,,,,,,,"250,834"
Joseph Quintilian,https://www.crunchbase.com/person/joseph-quintilian-895b,1,,,Joseph Quintilian is an individual investor.,Individual/Angel,,1,,,,,,,,"250,861"
Jorge Shwartzman,https://www.crunchbase.com/person/jorge-shwartzman,1,,,Jorge Shwartzman,Individual/Angel,Seed,1,,,,,,,,"250,862"
