Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Lead Investments,CB Rank (Investor)
La Factoria de Proyectos,https://www.crunchbase.com/organization/la-factoria-de-proyectos,,,"Valladolid, Castilla y Leon, Spain","Selection of ideas, helps in ripening, and pull Contatos portfolio finance.",University Program,,,"226,738"
CSU Management Corporation,https://www.crunchbase.com/organization/csu-management-corporation,,,"Fort Collins, Colorado, United States",CSU Management Corporation has access to Colorado State University’s extensive technical expertise.,University Program,,,"224,975"
BioEmprendedorXXI,https://www.crunchbase.com/organization/bioemprendedorxxi,,,"Barcelona, Catalonia, Spain",Entrepreneurship program in the field of life sciences.,University Program,,,"223,291"
Emprende Con Datos,https://www.crunchbase.com/organization/emprende-con-datos,,,"Bogotá, Distrito Especial, Colombia",Emprende Con Datos provides support to teams of entrepreneurs through mentoring and consulting for the construction of business models.,Government Office,,,"221,965"
PSU Entrepreneurship,https://www.crunchbase.com/organization/psu-entrepreneurship,,,"Portland, Oregon, United States",The PSU eClub is committed to fostering entrepreneurial innovation by providing a setting for dreams and ideas.,University Program,,,"217,157"
Global Currenciez LLC,https://www.crunchbase.com/organization/global-currenciez-llc,,,"Frisco, Texas, United States","Global Currenciez, LLC is an online investment management firm and trading university specializing in the worlds financial markets +(Forex).","Entrepreneurship Program, University Program",,,"216,866"
ABRAII,https://www.crunchbase.com/organization/abraii,,,,"ABRAII articulates joint actions, coordinates fundraising actions for startups, and boost technology-based innovation.",Government Office,,,"214,774"
Electricity network technologies,https://www.crunchbase.com/organization/electricity-network-technologies,,,"Moscow, Moscow City, Russian Federation",Developing technologies for Smart Grid,Government Office,"Crowdfunding, Late Stage Venture",,"213,774"
Business Birmingham,https://www.crunchbase.com/organization/business-birmingham,,,"Birmingham, Birmingham, United Kingdom",Business Birmingham is the city’s official inward investment programme.,Government Office,,,"212,180"
Africa Investment Authority,https://www.crunchbase.com/organization/africa-investment-authority,,,,Africa Investment Authority is a sovereign wealth fund that protects and grows financial assets and diversifies the economy.,"Corporate Venture Capital, Government Office, Private Equity Firm, Venture Debt","Late Stage Venture, Private Equity",,"210,798"
Arkansas SourceLink,https://www.crunchbase.com/organization/arkansas-sourcelink,,,"Little Rock, Arkansas, United States",Arkansas SourceLink’s mission is to help small businesses across the state of Arkansas grow and succeed.,Government Office,,,"209,794"
ePlus Ecosystem,https://www.crunchbase.com/organization/eplus-ecosystem,,,"Matosinhos, Porto, Portugal",ePlus is an ambitious and important undertaking aiming to help scale regional startups to European and international levels.,Government Office,,,"206,457"
101 Start Up Visa,https://www.crunchbase.com/organization/101-start-up-visa,,,,101 Start Up Visa can assist you to get your business idea funded and immigrate to Canada permanently.,Government Office,,,"204,922"
Government of Denmark,https://www.crunchbase.com/organization/government-of-denmark,3,,"Copenhagen, Hovedstaden, Denmark",Government of Denmark wants constructive dialogue and therefore encourages all participants to maintain a proper tone in comments.,Government Office,,3,"203,451"
Money Train,https://www.crunchbase.com/organization/money-train,,,"Tel Aviv, Tel Aviv, Israel",In cooperation with Israel Railways & leading Corporate / Investment partners.,Government Office,,,"202,764"
